date,available
2023-12-18,35
2023-12-19,36
2023-12-20,35
2023-12-21,36
2023-12-22,37
2023-12-23,38
2023-12-24,41
2023-12-25,39
2023-12-26,38
2023-12-27,39
2023-12-28,34
2023-12-29,30
2023-12-30,30
2023-12-31,31
2024-01-01,41
2024-01-02,49
2024-01-03,56
2024-01-04,59
2024-01-05,61
2024-01-06,61
2024-01-07,64
2024-01-08,65
2024-01-09,65
2024-01-10,65
2024-01-11,64
2024-01-12,64
2024-01-13,65
2024-01-14,65
2024-01-15,68
2024-01-16,68
2024-01-17,64
2024-01-18,62
2024-01-19,57
2024-01-20,53
2024-01-21,50
2024-01-22,51
2024-01-23,54
2024-01-24,58
2024-01-25,63
2024-01-26,64
2024-01-27,64
2024-01-28,63
2024-01-29,63
2024-01-30,63
2024-01-31,67
2024-02-01,68
2024-02-02,68
2024-02-03,68
2024-02-04,68
2024-02-05,68
2024-02-06,67
2024-02-07,67
2024-02-08,67
2024-02-09,67
2024-02-10,68
2024-02-11,66
2024-02-12,65
2024-02-13,66
2024-02-14,65
2024-02-15,66
2024-02-16,65
2024-02-17,66
2024-02-18,64
2024-02-19,65
2024-02-20,66
2024-02-21,66
2024-02-22,57
2024-02-23,56
2024-02-24,56
2024-02-25,64
2024-02-26,68
2024-02-27,67
2024-02-28,68
2024-02-29,68
2024-03-01,68
2024-03-02,69
2024-03-03,69
2024-03-04,71
2024-03-05,71
2024-03-06,71
2024-03-07,71
2024-03-08,71
2024-03-09,72
2024-03-10,73
2024-03-11,71
2024-03-12,71
2024-03-13,71
2024-03-14,72
2024-03-15,68
2024-03-16,66
2024-03-17,60
2024-03-18,63
2024-03-19,65
2024-03-20,66
2024-03-21,67
2024-03-22,67
2024-03-23,67
2024-03-24,67
2024-03-25,67
2024-03-26,67
2024-03-27,67
2024-03-28,67
2024-03-29,67
2024-03-30,66
2024-03-31,68
2024-04-01,70
2024-04-02,69
2024-04-03,68
2024-04-04,69
2024-04-05,68
2024-04-06,69
2024-04-07,70
2024-04-08,70
2024-04-09,70
2024-04-10,68
2024-04-11,66
2024-04-12,65
2024-04-13,65
2024-04-14,68
2024-04-15,70
2024-04-16,71
2024-04-17,71
2024-04-18,71
2024-04-19,71
2024-04-20,71
2024-04-21,71
2024-04-22,72
2024-04-23,73
2024-04-24,72
2024-04-25,68
2024-04-26,65
2024-04-27,64
2024-04-28,69
2024-04-29,71
2024-04-30,71
2024-05-01,71
2024-05-02,72
2024-05-03,71
2024-05-04,70
2024-05-05,71
2024-05-06,71
2024-05-07,72
2024-05-08,73
2024-05-09,73
2024-05-10,73
2024-05-11,73
2024-05-12,73
2024-05-13,73
2024-05-14,72
2024-05-15,71
2024-05-16,71
2024-05-17,68
2024-05-18,68
2024-05-19,68
2024-05-20,69
2024-05-21,70
2024-05-22,71
2024-05-23,71
2024-05-24,68
2024-05-25,68
2024-05-26,68
2024-05-27,70
2024-05-28,72
2024-05-29,72
2024-05-30,68
2024-05-31,64
2024-06-01,63
2024-06-02,65
2024-06-03,70
2024-06-04,73
2024-06-05,73
2024-06-06,71
2024-06-07,71
2024-06-08,72
2024-06-09,73
2024-06-10,73
2024-06-11,73
2024-06-12,73
2024-06-13,73
2024-06-14,73
2024-06-15,61
2024-06-16,61
2024-06-17,60
2024-06-18,60
2024-06-19,61
2024-06-20,61
2024-06-21,62
2024-06-22,60
2024-06-23,60
2024-06-24,60
2024-06-25,60
2024-06-26,58
2024-06-27,57
2024-06-28,57
2024-06-29,59
2024-06-30,60
2024-07-01,61
2024-07-02,61
2024-07-03,62
2024-07-04,62
2024-07-05,62
2024-07-06,62
2024-07-07,62
2024-07-08,62
2024-07-09,62
2024-07-10,62
2024-07-11,62
2024-07-12,62
2024-07-13,62
2024-07-14,62
2024-07-15,62
2024-07-16,62
2024-07-17,62
2024-07-18,61
2024-07-19,60
2024-07-20,60
2024-07-21,62
