date,available
2023-12-18,60
2023-12-19,81
2023-12-20,80
2023-12-21,74
2023-12-22,69
2023-12-23,60
2023-12-24,58
2023-12-25,56
2023-12-26,66
2023-12-27,71
2023-12-28,70
2023-12-29,67
2023-12-30,61
2023-12-31,70
2024-01-01,82
2024-01-02,96
2024-01-03,105
2024-01-04,105
2024-01-05,106
2024-01-06,109
2024-01-07,116
2024-01-08,115
2024-01-09,118
2024-01-10,117
2024-01-11,113
2024-01-12,106
2024-01-13,106
2024-01-14,110
2024-01-15,113
2024-01-16,118
2024-01-17,120
2024-01-18,115
2024-01-19,114
2024-01-20,116
2024-01-21,114
2024-01-22,115
2024-01-23,118
2024-01-24,121
2024-01-25,121
2024-01-26,120
2024-01-27,122
2024-01-28,125
2024-01-29,126
2024-01-30,127
2024-01-31,126
2024-02-01,122
2024-02-02,124
2024-02-03,123
2024-02-04,124
2024-02-05,125
2024-02-06,130
2024-02-07,129
2024-02-08,129
2024-02-09,128
2024-02-10,128
2024-02-11,131
2024-02-12,134
2024-02-13,132
2024-02-14,131
2024-02-15,127
2024-02-16,127
2024-02-17,125
2024-02-18,125
2024-02-19,127
2024-02-20,127
2024-02-21,127
2024-02-22,128
2024-02-23,127
2024-02-24,130
2024-02-25,133
2024-02-26,133
2024-02-27,133
2024-02-28,131
2024-02-29,129
2024-03-01,126
2024-03-02,126
2024-03-03,131
2024-03-04,131
2024-03-05,131
2024-03-06,132
2024-03-07,131
2024-03-08,132
2024-03-09,130
2024-03-10,129
2024-03-11,128
2024-03-12,129
2024-03-13,129
2024-03-14,125
2024-03-15,123
2024-03-16,121
2024-03-17,113
2024-03-18,115
2024-03-19,115
2024-03-20,116
2024-03-21,115
2024-03-22,115
2024-03-23,113
2024-03-24,111
2024-03-25,110
2024-03-26,112
2024-03-27,111
2024-03-28,111
2024-03-29,112
2024-03-30,114
2024-03-31,113
2024-04-01,114
2024-04-02,115
2024-04-03,116
2024-04-04,114
2024-04-05,113
2024-04-06,114
2024-04-07,115
2024-04-08,115
2024-04-09,115
2024-04-10,115
2024-04-11,115
2024-04-12,115
2024-04-13,116
2024-04-14,117
2024-04-15,117
2024-04-16,118
2024-04-17,118
2024-04-18,118
2024-04-19,117
2024-04-20,117
2024-04-21,117
2024-04-22,117
2024-04-23,117
2024-04-24,118
2024-04-25,117
2024-04-26,116
2024-04-27,117
2024-04-28,118
2024-04-29,118
2024-04-30,118
2024-05-01,118
2024-05-02,117
2024-05-03,117
2024-05-04,117
2024-05-05,119
2024-05-06,119
2024-05-07,119
2024-05-08,120
2024-05-09,119
2024-05-10,119
2024-05-11,118
2024-05-12,118
2024-05-13,117
2024-05-14,117
2024-05-15,115
2024-05-16,114
2024-05-17,115
2024-05-18,116
2024-05-19,116
2024-05-20,117
2024-05-21,116
2024-05-22,115
2024-05-23,114
2024-05-24,115
2024-05-25,115
2024-05-26,117
2024-05-27,117
2024-05-28,117
2024-05-29,117
2024-05-30,117
2024-05-31,114
2024-06-01,114
2024-06-02,116
2024-06-03,116
2024-06-04,116
2024-06-05,118
2024-06-06,118
2024-06-07,118
2024-06-08,117
2024-06-09,118
2024-06-10,119
2024-06-11,119
2024-06-12,119
2024-06-13,117
2024-06-14,110
2024-06-15,74
2024-06-16,73
2024-06-17,74
2024-06-18,74
2024-06-19,73
2024-06-20,74
2024-06-21,73
2024-06-22,73
2024-06-23,74
2024-06-24,74
2024-06-25,74
2024-06-26,73
2024-06-27,73
2024-06-28,72
2024-06-29,72
2024-06-30,73
2024-07-01,72
2024-07-02,72
2024-07-03,72
2024-07-04,72
2024-07-05,71
2024-07-06,72
2024-07-07,72
2024-07-08,72
2024-07-09,72
2024-07-10,71
2024-07-11,71
2024-07-12,71
2024-07-13,72
2024-07-14,71
2024-07-15,71
2024-07-16,73
2024-07-17,73
2024-07-18,73
2024-07-19,72
2024-07-20,71
2024-07-21,71
2024-07-22,71
2024-07-23,73
2024-07-24,73
2024-07-25,70
2024-07-26,70
2024-07-27,73
2024-07-28,70
2024-07-29,72
2024-07-30,71
2024-07-31,72
2024-08-01,69
2024-08-02,66
2024-08-03,65
2024-08-04,66
2024-08-05,66
2024-08-06,67
2024-08-07,69
2024-08-08,68
2024-08-09,66
2024-08-10,66
2024-08-11,68
2024-08-12,67
2024-08-13,67
2024-08-14,67
2024-08-15,66
2024-08-16,66
2024-08-17,68
2024-08-18,66
2024-08-19,67
2024-08-20,67
2024-08-21,66
2024-08-22,67
2024-08-23,68
2024-08-24,68
2024-08-25,70
2024-08-26,69
2024-08-27,69
2024-08-28,69
2024-08-29,68
2024-08-30,68
2024-08-31,67
2024-09-01,68
2024-09-02,68
2024-09-03,69
2024-09-04,67
2024-09-05,67
2024-09-06,69
2024-09-07,68
2024-09-08,69
2024-09-09,68
2024-09-10,69
2024-09-11,69
2024-09-12,66
2024-09-13,50
2024-09-14,50
2024-09-15,50
2024-09-16,53
2024-09-17,52
2024-09-18,52
2024-09-19,52
2024-09-20,52
2024-09-21,51
2024-09-22,51
2024-09-23,51
2024-09-24,53
2024-09-25,53
2024-09-26,53
2024-09-27,52
2024-09-28,52
2024-09-29,53
2024-09-30,52
2024-10-01,51
2024-10-02,51
2024-10-03,52
2024-10-04,53
2024-10-05,52
2024-10-06,52
2024-10-07,51
2024-10-08,50
2024-10-09,48
2024-10-10,45
2024-10-11,40
2024-10-12,39
2024-10-13,41
2024-10-14,46
2024-10-15,49
2024-10-16,51
2024-10-17,52
2024-10-18,52
2024-10-19,53
2024-10-20,53
2024-10-21,53
2024-10-22,53
2024-10-23,53
2024-10-24,53
2024-10-25,52
2024-10-26,52
2024-10-27,52
2024-10-28,52
2024-10-29,53
2024-10-30,53
2024-10-31,53
2024-11-01,54
2024-11-02,53
2024-11-03,53
2024-11-04,52
2024-11-05,53
2024-11-06,53
2024-11-07,53
2024-11-08,52
2024-11-09,52
2024-11-10,52
2024-11-11,52
2024-11-12,52
2024-11-13,53
2024-11-14,52
2024-11-15,52
2024-11-16,52
2024-11-17,52
2024-11-18,54
2024-11-19,53
2024-11-20,54
2024-11-21,52
2024-11-22,52
2024-11-23,52
2024-11-24,54
2024-11-25,54
2024-11-26,52
2024-11-27,52
2024-11-28,53
2024-11-29,53
2024-11-30,53
2024-12-01,55
2024-12-02,54
2024-12-03,54
2024-12-04,54
2024-12-05,54
2024-12-06,54
2024-12-07,54
2024-12-08,54
2024-12-09,54
2024-12-10,55
2024-12-11,55
2024-12-12,55
2024-12-13,55
2024-12-14,54
2024-12-15,54
2024-12-16,51
