date,available
2023-12-18,25
2023-12-19,33
2023-12-20,31
2023-12-21,31
2023-12-22,31
2023-12-23,31
2023-12-24,32
2023-12-25,31
2023-12-26,31
2023-12-27,30
2023-12-28,32
2023-12-29,31
2023-12-30,31
2023-12-31,31
2024-01-01,32
2024-01-02,34
2024-01-03,35
2024-01-04,34
2024-01-05,34
2024-01-06,35
2024-01-07,34
2024-01-08,35
2024-01-09,36
2024-01-10,35
2024-01-11,36
2024-01-12,35
2024-01-13,35
2024-01-14,37
2024-01-15,37
2024-01-16,37
2024-01-17,36
2024-01-18,37
2024-01-19,36
2024-01-20,36
2024-01-21,37
2024-01-22,37
2024-01-23,37
2024-01-24,37
2024-01-25,37
2024-01-26,37
2024-01-27,37
2024-01-28,37
2024-01-29,37
2024-01-30,37
2024-01-31,37
2024-02-01,36
2024-02-02,36
2024-02-03,36
2024-02-04,36
2024-02-05,36
2024-02-06,36
2024-02-07,36
2024-02-08,36
2024-02-09,36
2024-02-10,36
2024-02-11,36
2024-02-12,36
2024-02-13,36
2024-02-14,35
2024-02-15,36
2024-02-16,35
2024-02-17,36
2024-02-18,35
2024-02-19,36
2024-02-20,36
2024-02-21,36
2024-02-22,36
2024-02-23,36
2024-02-24,36
2024-02-25,37
2024-02-26,36
2024-02-27,36
2024-02-28,36
2024-02-29,36
2024-03-01,36
2024-03-02,36
2024-03-03,36
2024-03-04,36
2024-03-05,36
2024-03-06,35
2024-03-07,36
2024-03-08,36
2024-03-09,36
2024-03-10,37
2024-03-11,37
2024-03-12,37
2024-03-13,37
2024-03-14,37
2024-03-15,36
2024-03-16,37
2024-03-17,36
2024-03-18,36
2024-03-19,36
2024-03-20,36
2024-03-21,36
2024-03-22,36
2024-03-23,36
2024-03-24,36
2024-03-25,36
2024-03-26,36
2024-03-27,35
2024-03-28,35
2024-03-29,35
2024-03-30,35
2024-03-31,35
2024-04-01,36
2024-04-02,36
2024-04-03,36
2024-04-04,36
2024-04-05,35
2024-04-06,35
2024-04-07,36
2024-04-08,36
2024-04-09,36
2024-04-10,35
2024-04-11,36
2024-04-12,36
2024-04-13,36
2024-04-14,35
2024-04-15,35
2024-04-16,36
2024-04-17,36
2024-04-18,35
2024-04-19,36
2024-04-20,36
2024-04-21,36
2024-04-22,35
2024-04-23,36
2024-04-24,36
2024-04-25,35
2024-04-26,36
2024-04-27,36
2024-04-28,36
2024-04-29,35
2024-04-30,37
2024-05-01,37
