date,available
2023-12-18,69
2023-12-19,81
2023-12-20,81
2023-12-21,80
2023-12-22,89
2023-12-23,87
2023-12-24,88
2023-12-25,85
2023-12-26,91
2023-12-27,95
2023-12-28,91
2023-12-29,79
2023-12-30,79
2023-12-31,85
2024-01-01,102
2024-01-02,114
2024-01-03,121
2024-01-04,122
2024-01-05,126
2024-01-06,125
2024-01-07,128
2024-01-08,133
2024-01-09,134
2024-01-10,130
2024-01-11,132
2024-01-12,128
2024-01-13,129
2024-01-14,133
2024-01-15,133
2024-01-16,134
2024-01-17,133
2024-01-18,133
2024-01-19,132
2024-01-20,131
2024-01-21,129
2024-01-22,130
2024-01-23,132
2024-01-24,132
2024-01-25,133
2024-01-26,138
2024-01-27,139
2024-01-28,142
2024-01-29,142
2024-01-30,143
2024-01-31,142
2024-02-01,144
2024-02-02,143
2024-02-03,144
2024-02-04,145
2024-02-05,146
2024-02-06,145
2024-02-07,147
2024-02-08,145
2024-02-09,147
2024-02-10,147
2024-02-11,149
2024-02-12,150
2024-02-13,151
2024-02-14,150
2024-02-15,152
2024-02-16,150
2024-02-17,151
2024-02-18,149
2024-02-19,150
2024-02-20,148
2024-02-21,148
2024-02-22,142
2024-02-23,143
2024-02-24,142
2024-02-25,145
2024-02-26,148
2024-02-27,149
2024-02-28,148
2024-02-29,149
2024-03-01,149
2024-03-02,150
2024-03-03,149
2024-03-04,151
2024-03-05,150
2024-03-06,151
2024-03-07,152
2024-03-08,152
2024-03-09,151
2024-03-10,154
2024-03-11,153
2024-03-12,153
2024-03-13,153
2024-03-14,152
2024-03-15,151
2024-03-16,149
2024-03-17,141
2024-03-18,142
2024-03-19,144
2024-03-20,145
2024-03-21,142
2024-03-22,144
2024-03-23,144
2024-03-24,144
2024-03-25,143
2024-03-26,143
2024-03-27,142
2024-03-28,141
2024-03-29,141
2024-03-30,142
2024-03-31,142
2024-04-01,147
2024-04-02,144
2024-04-03,145
2024-04-04,146
2024-04-05,148
2024-04-06,148
2024-04-07,151
2024-04-08,152
2024-04-09,153
2024-04-10,149
2024-04-11,150
2024-04-12,149
2024-04-13,150
2024-04-14,150
2024-04-15,150
2024-04-16,149
2024-04-17,150
2024-04-18,149
2024-04-19,149
2024-04-20,148
2024-04-21,150
2024-04-22,151
2024-04-23,152
2024-04-24,149
2024-04-25,148
2024-04-26,147
2024-04-27,149
2024-04-28,149
2024-04-29,152
2024-04-30,152
2024-05-01,155
2024-05-02,156
2024-05-03,155
2024-05-04,154
2024-05-05,155
2024-05-06,154
2024-05-07,156
2024-05-08,155
2024-05-09,156
2024-05-10,155
2024-05-11,156
2024-05-12,156
2024-05-13,156
2024-05-14,155
2024-05-15,153
2024-05-16,150
2024-05-17,150
2024-05-18,149
2024-05-19,153
2024-05-20,151
2024-05-21,152
2024-05-22,153
2024-05-23,152
2024-05-24,149
2024-05-25,152
2024-05-26,152
2024-05-27,156
2024-05-28,155
2024-05-29,156
2024-05-30,150
2024-05-31,147
2024-06-01,146
2024-06-02,153
