date,available
2023-12-18,18
2023-12-19,19
2023-12-20,20
2023-12-21,20
2023-12-22,20
2023-12-23,19
2023-12-24,20
2023-12-25,21
2023-12-26,20
2023-12-27,19
2023-12-28,19
2023-12-29,20
2023-12-30,20
2023-12-31,19
2024-01-01,20
2024-01-02,22
2024-01-03,22
2024-01-04,22
2024-01-05,23
2024-01-06,21
2024-01-07,21
2024-01-08,22
2024-01-09,22
2024-01-10,22
2024-01-11,22
2024-01-12,23
2024-01-13,23
2024-01-14,23
2024-01-15,23
2024-01-16,23
2024-01-17,23
2024-01-18,23
2024-01-19,22
2024-01-20,22
2024-01-21,23
2024-01-22,22
2024-01-23,22
2024-01-24,22
2024-01-25,22
2024-01-26,22
2024-01-27,23
2024-01-28,23
2024-01-29,23
2024-01-30,23
2024-01-31,23
2024-02-01,23
2024-02-02,23
2024-02-03,23
2024-02-04,23
2024-02-05,24
2024-02-06,24
2024-02-07,24
2024-02-08,24
2024-02-09,24
2024-02-10,24
2024-02-11,24
2024-02-12,24
2024-02-13,24
2024-02-14,24
2024-02-15,24
2024-02-16,24
2024-02-17,24
2024-02-18,24
2024-02-19,24
2024-02-20,24
2024-02-21,24
2024-02-22,24
2024-02-23,24
2024-02-24,24
2024-02-25,24
2024-02-26,24
2024-02-27,24
2024-02-28,24
2024-02-29,26
2024-03-01,23
2024-03-02,23
2024-03-03,24
2024-03-04,24
2024-03-05,24
2024-03-06,24
2024-03-07,24
2024-03-08,24
2024-03-09,24
2024-03-10,24
2024-03-11,24
2024-03-12,24
2024-03-13,24
2024-03-14,24
2024-03-15,24
2024-03-16,24
2024-03-17,21
2024-03-18,21
2024-03-19,21
2024-03-20,20
2024-03-21,20
2024-03-22,20
2024-03-23,20
2024-03-24,20
2024-03-25,22
2024-03-26,22
2024-03-27,22
2024-03-28,22
2024-03-29,22
2024-03-30,22
2024-03-31,22
2024-04-01,22
2024-04-02,22
2024-04-03,23
2024-04-04,23
2024-04-05,23
2024-04-06,23
2024-04-07,23
2024-04-08,23
2024-04-09,23
2024-04-10,23
2024-04-11,23
2024-04-12,23
2024-04-13,23
2024-04-14,23
2024-04-15,23
2024-04-16,23
2024-04-17,23
2024-04-18,23
2024-04-19,23
2024-04-20,23
2024-04-21,23
2024-04-22,23
2024-04-23,23
2024-04-24,23
2024-04-25,23
2024-04-26,23
2024-04-27,23
2024-04-28,23
2024-04-29,23
2024-04-30,23
2024-05-01,25
2024-05-02,23
2024-05-03,23
2024-05-04,23
2024-05-05,23
2024-05-06,23
2024-05-07,23
2024-05-08,24
2024-05-09,24
2024-05-10,24
2024-05-11,24
2024-05-12,23
2024-05-13,23
2024-05-14,23
2024-05-15,23
2024-05-16,23
2024-05-17,23
2024-05-18,23
2024-05-19,24
2024-05-20,24
2024-05-21,24
2024-05-22,24
2024-05-23,24
2024-05-24,24
2024-05-25,24
2024-05-26,24
2024-05-27,24
2024-05-28,24
2024-05-29,24
2024-05-30,24
2024-05-31,23
2024-06-01,24
2024-06-02,24
2024-06-03,24
2024-06-04,24
2024-06-05,24
2024-06-06,24
2024-06-07,24
2024-06-08,24
2024-06-09,24
