date,available
2023-12-18,20
2023-12-19,30
2023-12-20,29
2023-12-21,28
2023-12-22,27
2023-12-23,27
2023-12-24,27
2023-12-25,27
2023-12-26,28
2023-12-27,28
2023-12-28,24
2023-12-29,25
2023-12-30,27
2023-12-31,27
2024-01-01,30
2024-01-02,34
2024-01-03,34
2024-01-04,32
2024-01-05,32
2024-01-06,34
2024-01-07,37
2024-01-08,36
2024-01-09,38
2024-01-10,38
2024-01-11,39
2024-01-12,39
2024-01-13,39
2024-01-14,38
2024-01-15,39
2024-01-16,38
2024-01-17,39
2024-01-18,38
2024-01-19,38
2024-01-20,38
2024-01-21,39
2024-01-22,40
2024-01-23,40
2024-01-24,41
2024-01-25,41
2024-01-26,41
2024-01-27,41
2024-01-28,41
2024-01-29,40
2024-01-30,40
2024-01-31,40
2024-02-01,36
2024-02-02,36
2024-02-03,38
2024-02-04,41
2024-02-05,41
2024-02-06,42
2024-02-07,42
2024-02-08,42
2024-02-09,42
2024-02-10,42
2024-02-11,42
2024-02-12,42
2024-02-13,42
2024-02-14,42
2024-02-15,41
2024-02-16,42
2024-02-17,42
2024-02-18,42
2024-02-19,43
2024-02-20,43
2024-02-21,43
2024-02-22,43
2024-02-23,43
2024-02-24,43
2024-02-25,43
2024-02-26,43
2024-02-27,43
2024-02-28,43
2024-02-29,43
2024-03-01,44
2024-03-02,43
2024-03-03,43
2024-03-04,43
2024-03-05,43
2024-03-06,43
2024-03-07,43
2024-03-08,43
2024-03-09,43
2024-03-10,43
2024-03-11,42
2024-03-12,42
2024-03-13,42
2024-03-14,42
2024-03-15,43
2024-03-16,41
2024-03-17,39
2024-03-18,39
2024-03-19,39
2024-03-20,39
2024-03-21,39
2024-03-22,39
2024-03-23,39
2024-03-24,39
2024-03-25,39
2024-03-26,39
2024-03-27,39
2024-03-28,38
2024-03-29,38
2024-03-30,39
2024-03-31,39
2024-04-01,38
2024-04-02,37
2024-04-03,37
2024-04-04,37
2024-04-05,37
2024-04-06,37
2024-04-07,37
2024-04-08,37
2024-04-09,40
2024-04-10,40
2024-04-11,40
2024-04-12,38
2024-04-13,38
2024-04-14,40
2024-04-15,40
2024-04-16,40
2024-04-17,40
2024-04-18,38
2024-04-19,38
2024-04-20,38
2024-04-21,40
2024-04-22,39
2024-04-23,39
2024-04-24,39
2024-04-25,39
2024-04-26,39
2024-04-27,39
2024-04-28,39
2024-04-29,40
2024-04-30,40
2024-05-01,40
2024-05-02,40
2024-05-03,40
2024-05-04,40
2024-05-05,40
2024-05-06,40
2024-05-07,40
2024-05-08,40
2024-05-09,40
2024-05-10,40
2024-05-11,40
2024-05-12,40
2024-05-13,40
2024-05-14,40
2024-05-15,38
2024-05-16,36
2024-05-17,36
2024-05-18,36
2024-05-19,36
2024-05-20,38
2024-05-21,39
2024-05-22,39
2024-05-23,39
2024-05-24,40
2024-05-25,40
2024-05-26,40
2024-05-27,40
2024-05-28,40
2024-05-29,40
2024-05-30,40
2024-05-31,39
2024-06-01,39
2024-06-02,38
2024-06-03,38
2024-06-04,39
2024-06-05,39
2024-06-06,39
2024-06-07,39
2024-06-08,39
2024-06-09,39
2024-06-10,39
2024-06-11,37
2024-06-12,37
2024-06-13,37
2024-06-14,37
2024-06-15,31
2024-06-16,32
2024-06-17,32
2024-06-18,32
2024-06-19,32
2024-06-20,32
2024-06-21,32
2024-06-22,32
2024-06-23,32
2024-06-24,32
2024-06-25,32
2024-06-26,32
2024-06-27,32
2024-06-28,32
2024-06-29,30
2024-06-30,30
2024-07-01,32
2024-07-02,32
2024-07-03,32
2024-07-04,32
2024-07-05,31
2024-07-06,30
2024-07-07,31
2024-07-08,30
2024-07-09,32
2024-07-10,32
2024-07-11,32
2024-07-12,32
2024-07-13,32
2024-07-14,32
2024-07-15,32
2024-07-16,32
2024-07-17,32
2024-07-18,32
2024-07-19,32
2024-07-20,32
2024-07-21,32
2024-07-22,32
2024-07-23,32
2024-07-24,32
2024-07-25,32
2024-07-26,33
2024-07-27,31
2024-07-28,31
2024-07-29,30
2024-07-30,30
2024-07-31,31
2024-08-01,32
2024-08-02,32
2024-08-03,34
2024-08-04,34
2024-08-05,34
2024-08-06,34
2024-08-07,34
2024-08-08,34
2024-08-09,34
2024-08-10,34
2024-08-11,35
2024-08-12,35
2024-08-13,35
2024-08-14,35
2024-08-15,35
2024-08-16,35
2024-08-17,35
2024-08-18,35
2024-08-19,35
2024-08-20,35
2024-08-21,35
2024-08-22,35
2024-08-23,35
2024-08-24,35
2024-08-25,35
2024-08-26,35
2024-08-27,35
2024-08-28,35
2024-08-29,35
2024-08-30,35
2024-08-31,35
2024-09-01,35
2024-09-02,35
2024-09-03,35
2024-09-04,35
2024-09-05,35
2024-09-06,35
2024-09-07,35
2024-09-08,35
2024-09-09,35
2024-09-10,35
2024-09-11,35
2024-09-12,32
2024-09-13,23
2024-09-14,23
2024-09-15,23
2024-09-16,23
2024-09-17,23
2024-09-18,23
2024-09-19,23
2024-09-20,23
2024-09-21,23
2024-09-22,23
2024-09-23,23
2024-09-24,23
2024-09-25,23
2024-09-26,23
2024-09-27,23
2024-09-28,23
2024-09-29,23
2024-09-30,23
2024-10-01,23
2024-10-02,23
2024-10-03,23
2024-10-04,23
2024-10-05,23
2024-10-06,23
2024-10-07,23
2024-10-08,23
2024-10-09,20
2024-10-10,19
2024-10-11,18
2024-10-12,18
2024-10-13,18
2024-10-14,18
2024-10-15,18
2024-10-16,21
2024-10-17,23
2024-10-18,23
2024-10-19,23
2024-10-20,23
2024-10-21,23
2024-10-22,23
2024-10-23,23
2024-10-24,23
2024-10-25,23
2024-10-26,23
2024-10-27,23
2024-10-28,23
2024-10-29,23
2024-10-30,23
2024-10-31,23
2024-11-01,23
2024-11-02,23
2024-11-03,23
2024-11-04,23
2024-11-05,23
2024-11-06,23
2024-11-07,23
2024-11-08,23
2024-11-09,23
2024-11-10,23
2024-11-11,23
2024-11-12,23
2024-11-13,23
2024-11-14,23
2024-11-15,23
2024-11-16,23
2024-11-17,23
2024-11-18,23
2024-11-19,23
2024-11-20,23
2024-11-21,23
2024-11-22,23
2024-11-23,23
2024-11-24,23
2024-11-25,23
2024-11-26,23
2024-11-27,23
2024-11-28,23
2024-11-29,23
2024-11-30,23
2024-12-01,23
2024-12-02,23
2024-12-03,23
2024-12-04,23
2024-12-05,23
2024-12-06,23
2024-12-07,23
2024-12-08,23
2024-12-09,23
2024-12-10,22
2024-12-11,23
2024-12-12,23
2024-12-13,23
2024-12-14,23
2024-12-15,23
2024-12-16,23
