date,available
2023-12-18,65
2023-12-19,84
2023-12-20,81
2023-12-21,77
2023-12-22,63
2023-12-23,60
2023-12-24,57
2023-12-25,63
2023-12-26,72
2023-12-27,81
2023-12-28,76
2023-12-29,75
2023-12-30,75
2023-12-31,81
2024-01-01,100
2024-01-02,112
2024-01-03,112
2024-01-04,111
2024-01-05,113
2024-01-06,120
2024-01-07,123
2024-01-08,117
2024-01-09,116
2024-01-10,116
2024-01-11,112
2024-01-12,107
2024-01-13,107
2024-01-14,115
2024-01-15,117
2024-01-16,123
2024-01-17,123
2024-01-18,122
2024-01-19,119
2024-01-20,117
2024-01-21,122
2024-01-22,121
2024-01-23,121
2024-01-24,121
2024-01-25,117
2024-01-26,117
2024-01-27,117
2024-01-28,125
2024-01-29,126
2024-01-30,127
2024-01-31,128
2024-02-01,118
2024-02-02,118
2024-02-03,119
2024-02-04,121
2024-02-05,118
2024-02-06,120
2024-02-07,120
2024-02-08,118
2024-02-09,117
2024-02-10,120
2024-02-11,122
2024-02-12,124
2024-02-13,123
2024-02-14,123
2024-02-15,124
2024-02-16,122
2024-02-17,122
2024-02-18,123
2024-02-19,126
2024-02-20,128
2024-02-21,127
2024-02-22,126
2024-02-23,124
2024-02-24,125
2024-02-25,131
2024-02-26,130
2024-02-27,130
2024-02-28,129
2024-02-29,132
2024-03-01,128
2024-03-02,127
2024-03-03,129
2024-03-04,129
2024-03-05,128
2024-03-06,125
2024-03-07,124
2024-03-08,124
2024-03-09,126
2024-03-10,129
2024-03-11,130
2024-03-12,129
2024-03-13,133
2024-03-14,131
2024-03-15,128
2024-03-16,128
2024-03-17,110
2024-03-18,114
2024-03-19,114
2024-03-20,114
2024-03-21,114
2024-03-22,114
2024-03-23,113
2024-03-24,112
2024-03-25,113
2024-03-26,113
2024-03-27,113
2024-03-28,113
2024-03-29,112
2024-03-30,111
2024-03-31,114
2024-04-01,111
2024-04-02,112
2024-04-03,115
2024-04-04,114
2024-04-05,113
2024-04-06,115
2024-04-07,116
2024-04-08,113
2024-04-09,114
2024-04-10,113
2024-04-11,113
2024-04-12,115
2024-04-13,116
2024-04-14,116
2024-04-15,117
2024-04-16,120
2024-04-17,119
2024-04-18,116
2024-04-19,115
2024-04-20,117
2024-04-21,119
2024-04-22,120
2024-04-23,121
2024-04-24,119
2024-04-25,119
2024-04-26,118
2024-04-27,117
2024-04-28,119
2024-04-29,120
2024-04-30,115
2024-05-01,115
2024-05-02,115
2024-05-03,115
2024-05-04,115
2024-05-05,114
2024-05-06,112
2024-05-07,107
2024-05-08,106
2024-05-09,101
2024-05-10,106
2024-05-11,109
2024-05-12,112
2024-05-13,115
2024-05-14,118
2024-05-15,116
2024-05-16,115
2024-05-17,114
2024-05-18,109
2024-05-19,109
2024-05-20,112
2024-05-21,114
2024-05-22,114
2024-05-23,110
2024-05-24,113
2024-05-25,112
2024-05-26,112
2024-05-27,112
2024-05-28,115
2024-05-29,113
2024-05-30,110
2024-05-31,110
2024-06-01,111
2024-06-02,113
2024-06-03,115
2024-06-04,115
2024-06-05,116
2024-06-06,114
2024-06-07,107
2024-06-08,104
2024-06-09,103
2024-06-10,110
2024-06-11,111
2024-06-12,112
2024-06-13,111
2024-06-14,109
2024-06-15,76
2024-06-16,79
2024-06-17,81
2024-06-18,80
2024-06-19,81
2024-06-20,80
2024-06-21,80
2024-06-22,82
2024-06-23,83
2024-06-24,84
2024-06-25,80
2024-06-26,81
2024-06-27,80
2024-06-28,79
2024-06-29,79
2024-06-30,82
2024-07-01,82
2024-07-02,80
2024-07-03,80
2024-07-04,80
2024-07-05,80
2024-07-06,81
2024-07-07,82
2024-07-08,85
2024-07-09,86
2024-07-10,82
2024-07-11,82
2024-07-12,82
2024-07-13,82
2024-07-14,84
2024-07-15,84
2024-07-16,84
2024-07-17,82
2024-07-18,81
2024-07-19,81
2024-07-20,80
2024-07-21,81
2024-07-22,82
2024-07-23,82
2024-07-24,83
