date,available
2023-12-18,18
2023-12-19,23
2023-12-20,25
2023-12-21,25
2023-12-22,26
2023-12-23,27
2023-12-24,26
2023-12-25,28
2023-12-26,28
2023-12-27,28
2023-12-28,26
2023-12-29,25
2023-12-30,25
2023-12-31,25
2024-01-01,27
2024-01-02,28
2024-01-03,30
2024-01-04,30
2024-01-05,31
2024-01-06,32
2024-01-07,33
2024-01-08,33
2024-01-09,33
2024-01-10,33
2024-01-11,33
2024-01-12,33
2024-01-13,33
2024-01-14,34
2024-01-15,34
2024-01-16,34
2024-01-17,34
2024-01-18,34
2024-01-19,34
2024-01-20,34
2024-01-21,34
2024-01-22,34
2024-01-23,34
2024-01-24,34
2024-01-25,34
2024-01-26,34
2024-01-27,34
2024-01-28,34
2024-01-29,35
2024-01-30,34
2024-01-31,34
2024-02-01,34
2024-02-02,34
2024-02-03,35
2024-02-04,35
2024-02-05,35
2024-02-06,35
2024-02-07,35
2024-02-08,35
2024-02-09,35
2024-02-10,35
2024-02-11,35
2024-02-12,35
2024-02-13,35
2024-02-14,35
2024-02-15,35
2024-02-16,35
2024-02-17,35
2024-02-18,35
2024-02-19,35
2024-02-20,35
2024-02-21,35
2024-02-22,35
2024-02-23,35
2024-02-24,35
2024-02-25,35
2024-02-26,35
2024-02-27,35
2024-02-28,35
2024-02-29,35
2024-03-01,35
2024-03-02,35
2024-03-03,35
2024-03-04,35
2024-03-05,36
2024-03-06,36
2024-03-07,36
2024-03-08,36
2024-03-09,36
2024-03-10,36
2024-03-11,36
2024-03-12,36
2024-03-13,36
2024-03-14,36
2024-03-15,36
2024-03-16,27
2024-03-17,18
2024-03-18,18
2024-03-19,18
2024-03-20,18
2024-03-21,18
2024-03-22,18
2024-03-23,18
2024-03-24,18
2024-03-25,18
2024-03-26,18
2024-03-27,18
2024-03-28,18
2024-03-29,18
2024-03-30,18
2024-03-31,18
2024-04-01,18
2024-04-02,18
2024-04-03,18
2024-04-04,18
2024-04-05,18
2024-04-06,19
2024-04-07,19
2024-04-08,19
2024-04-09,19
2024-04-10,19
2024-04-11,19
2024-04-12,19
2024-04-13,19
2024-04-14,19
2024-04-15,19
2024-04-16,19
2024-04-17,19
2024-04-18,19
2024-04-19,19
2024-04-20,19
2024-04-21,19
2024-04-22,19
2024-04-23,19
2024-04-24,19
2024-04-25,19
2024-04-26,19
2024-04-27,19
2024-04-28,19
2024-04-29,19
2024-04-30,19
2024-05-01,19
2024-05-02,19
2024-05-03,19
2024-05-04,19
2024-05-05,19
2024-05-06,19
2024-05-07,19
2024-05-08,19
2024-05-09,19
2024-05-10,19
2024-05-11,19
2024-05-12,19
2024-05-13,19
2024-05-14,19
2024-05-15,19
2024-05-16,19
2024-05-17,19
2024-05-18,19
2024-05-19,19
2024-05-20,19
2024-05-21,19
2024-05-22,19
2024-05-23,19
2024-05-24,19
2024-05-25,19
2024-05-26,19
2024-05-27,19
2024-05-28,19
2024-05-29,19
2024-05-30,19
2024-05-31,19
2024-06-01,20
2024-06-02,20
2024-06-03,20
2024-06-04,20
2024-06-05,20
2024-06-06,20
2024-06-07,20
2024-06-08,20
2024-06-09,20
2024-06-10,20
2024-06-11,20
2024-06-12,20
2024-06-13,20
2024-06-14,20
2024-06-15,18
2024-06-16,18
2024-06-17,18
2024-06-18,18
2024-06-19,18
2024-06-20,18
2024-06-21,18
2024-06-22,18
2024-06-23,18
2024-06-24,18
2024-06-25,18
2024-06-26,18
2024-06-27,18
2024-06-28,18
2024-06-29,18
2024-06-30,18
2024-07-01,18
2024-07-02,18
2024-07-03,18
2024-07-04,18
2024-07-05,18
2024-07-06,18
2024-07-07,18
2024-07-08,18
2024-07-09,18
2024-07-10,18
2024-07-11,18
2024-07-12,18
2024-07-13,18
2024-07-14,18
2024-07-15,18
2024-07-16,18
2024-07-17,18
2024-07-18,18
2024-07-19,18
2024-07-20,18
2024-07-21,18
2024-07-22,18
2024-07-23,18
2024-07-24,18
2024-07-25,18
2024-07-26,18
2024-07-27,18
2024-07-28,18
2024-07-29,18
2024-07-30,18
2024-07-31,18
2024-08-01,18
2024-08-02,18
2024-08-03,18
2024-08-04,18
2024-08-05,18
2024-08-06,18
2024-08-07,18
2024-08-08,18
2024-08-09,18
2024-08-10,18
2024-08-11,18
2024-08-12,18
2024-08-13,18
2024-08-14,18
2024-08-15,18
2024-08-16,18
2024-08-17,18
2024-08-18,18
2024-08-19,18
2024-08-20,18
2024-08-21,18
2024-08-22,18
2024-08-23,18
2024-08-24,18
2024-08-25,18
2024-08-26,18
2024-08-27,18
2024-08-28,18
2024-08-29,18
2024-08-30,18
2024-08-31,18
2024-09-01,18
2024-09-02,18
2024-09-03,18
2024-09-04,18
2024-09-05,18
2024-09-06,18
2024-09-07,18
2024-09-08,18
2024-09-09,18
2024-09-10,18
2024-09-11,18
2024-09-12,18
2024-09-13,16
2024-09-14,16
2024-09-15,16
2024-09-16,16
2024-09-17,16
2024-09-18,16
2024-09-19,16
2024-09-20,16
2024-09-21,16
2024-09-22,16
2024-09-23,16
2024-09-24,16
2024-09-25,16
2024-09-26,16
2024-09-27,16
2024-09-28,16
2024-09-29,16
2024-09-30,16
2024-10-01,16
2024-10-02,16
2024-10-03,16
2024-10-04,16
2024-10-05,16
2024-10-06,16
2024-10-07,16
2024-10-08,16
2024-10-09,16
2024-10-10,16
2024-10-11,16
2024-10-12,16
2024-10-13,16
2024-10-14,16
2024-10-15,16
2024-10-16,16
2024-10-17,16
2024-10-18,16
2024-10-19,16
2024-10-20,16
2024-10-21,16
2024-10-22,16
2024-10-23,16
2024-10-24,16
2024-10-25,16
2024-10-26,16
2024-10-27,16
2024-10-28,16
2024-10-29,16
2024-10-30,16
2024-10-31,16
2024-11-01,16
2024-11-02,16
2024-11-03,16
2024-11-04,16
2024-11-05,16
2024-11-06,16
2024-11-07,16
2024-11-08,16
2024-11-09,16
2024-11-10,16
2024-11-11,16
2024-11-12,16
2024-11-13,16
2024-11-14,16
2024-11-15,16
2024-11-16,16
2024-11-17,16
2024-11-18,16
2024-11-19,16
2024-11-20,16
2024-11-21,16
2024-11-22,16
2024-11-23,16
2024-11-24,16
2024-11-25,16
2024-11-26,16
2024-11-27,16
2024-11-28,16
2024-11-29,16
2024-11-30,16
2024-12-01,16
2024-12-02,16
2024-12-03,16
2024-12-04,16
2024-12-05,16
2024-12-06,16
2024-12-07,16
2024-12-08,16
2024-12-09,16
2024-12-10,16
2024-12-11,16
2024-12-12,16
2024-12-13,16
2024-12-14,16
2024-12-15,16
2024-12-16,16
