date,available
2023-12-18,27
2023-12-19,32
2023-12-20,37
2023-12-21,35
2023-12-22,33
2023-12-23,28
2023-12-24,27
2023-12-25,34
2023-12-26,34
2023-12-27,33
2023-12-28,35
2023-12-29,34
2023-12-30,28
2023-12-31,31
2024-01-01,38
2024-01-02,41
2024-01-03,41
2024-01-04,41
2024-01-05,40
2024-01-06,43
2024-01-07,43
2024-01-08,42
2024-01-09,42
2024-01-10,42
2024-01-11,42
2024-01-12,42
2024-01-13,42
2024-01-14,42
2024-01-15,43
2024-01-16,43
2024-01-17,43
2024-01-18,43
2024-01-19,43
2024-01-20,43
2024-01-21,43
2024-01-22,43
2024-01-23,43
2024-01-24,43
2024-01-25,43
2024-01-26,43
2024-01-27,43
2024-01-28,43
2024-01-29,43
2024-01-30,43
2024-01-31,43
2024-02-01,42
2024-02-02,42
2024-02-03,42
2024-02-04,42
2024-02-05,42
2024-02-06,42
2024-02-07,42
2024-02-08,42
2024-02-09,42
2024-02-10,41
2024-02-11,41
2024-02-12,41
2024-02-13,41
2024-02-14,41
2024-02-15,41
2024-02-16,41
2024-02-17,42
2024-02-18,42
2024-02-19,42
2024-02-20,42
2024-02-21,43
2024-02-22,43
2024-02-23,43
2024-02-24,43
2024-02-25,43
2024-02-26,43
2024-02-27,43
2024-02-28,43
2024-02-29,43
2024-03-01,43
2024-03-02,45
2024-03-03,45
2024-03-04,44
2024-03-05,44
2024-03-06,44
2024-03-07,44
2024-03-08,44
2024-03-09,44
2024-03-10,45
2024-03-11,45
2024-03-12,45
2024-03-13,45
2024-03-14,45
2024-03-15,44
2024-03-16,42
2024-03-17,39
2024-03-18,38
2024-03-19,38
2024-03-20,38
2024-03-21,38
2024-03-22,37
2024-03-23,37
2024-03-24,37
2024-03-25,37
2024-03-26,38
2024-03-27,38
2024-03-28,38
2024-03-29,38
2024-03-30,38
2024-03-31,39
2024-04-01,37
2024-04-02,41
2024-04-03,41
2024-04-04,41
2024-04-05,41
2024-04-06,41
2024-04-07,41
2024-04-08,42
2024-04-09,42
2024-04-10,42
2024-04-11,42
2024-04-12,42
2024-04-13,42
2024-04-14,42
2024-04-15,42
2024-04-16,42
2024-04-17,42
2024-04-18,42
2024-04-19,42
2024-04-20,42
2024-04-21,42
2024-04-22,42
2024-04-23,42
2024-04-24,42
2024-04-25,42
2024-04-26,42
2024-04-27,42
2024-04-28,42
2024-04-29,42
2024-04-30,43
2024-05-01,43
2024-05-02,43
2024-05-03,43
2024-05-04,43
2024-05-05,43
2024-05-06,43
2024-05-07,43
2024-05-08,43
2024-05-09,43
2024-05-10,42
2024-05-11,42
2024-05-12,42
2024-05-13,43
2024-05-14,43
2024-05-15,42
2024-05-16,42
2024-05-17,42
2024-05-18,42
2024-05-19,43
2024-05-20,43
2024-05-21,43
2024-05-22,43
2024-05-23,42
2024-05-24,42
2024-05-25,42
2024-05-26,42
2024-05-27,42
2024-05-28,43
2024-05-29,43
2024-05-30,42
2024-05-31,41
2024-06-01,41
2024-06-02,41
2024-06-03,42
2024-06-04,43
2024-06-05,43
2024-06-06,43
2024-06-07,42
2024-06-08,42
2024-06-09,42
2024-06-10,43
2024-06-11,43
2024-06-12,43
2024-06-13,42
2024-06-14,41
2024-06-15,34
2024-06-16,34
2024-06-17,34
2024-06-18,34
2024-06-19,35
2024-06-20,35
2024-06-21,35
2024-06-22,35
2024-06-23,35
2024-06-24,35
2024-06-25,35
2024-06-26,35
2024-06-27,35
2024-06-28,35
2024-06-29,35
2024-06-30,35
2024-07-01,36
2024-07-02,35
2024-07-03,35
2024-07-04,35
2024-07-05,35
2024-07-06,36
2024-07-07,36
2024-07-08,35
2024-07-09,35
2024-07-10,35
2024-07-11,35
2024-07-12,35
2024-07-13,35
2024-07-14,35
2024-07-15,35
2024-07-16,35
2024-07-17,35
2024-07-18,35
2024-07-19,34
2024-07-20,34
2024-07-21,34
2024-07-22,35
2024-07-23,35
2024-07-24,35
2024-07-25,35
2024-07-26,35
2024-07-27,35
2024-07-28,35
2024-07-29,35
2024-07-30,35
2024-07-31,35
2024-08-01,35
2024-08-02,35
2024-08-03,35
2024-08-04,35
2024-08-05,35
2024-08-06,35
2024-08-07,35
2024-08-08,35
2024-08-09,35
2024-08-10,34
2024-08-11,34
2024-08-12,34
2024-08-13,34
2024-08-14,34
2024-08-15,34
2024-08-16,34
2024-08-17,34
2024-08-18,34
2024-08-19,34
2024-08-20,34
2024-08-21,34
2024-08-22,34
2024-08-23,35
2024-08-24,35
2024-08-25,35
2024-08-26,35
2024-08-27,35
2024-08-28,35
2024-08-29,35
2024-08-30,35
2024-08-31,35
2024-09-01,35
2024-09-02,35
2024-09-03,35
2024-09-04,35
2024-09-05,35
2024-09-06,35
2024-09-07,35
2024-09-08,35
2024-09-09,35
2024-09-10,35
2024-09-11,35
2024-09-12,31
2024-09-13,28
2024-09-14,28
2024-09-15,28
2024-09-16,28
2024-09-17,28
2024-09-18,28
2024-09-19,28
2024-09-20,28
