date,available
2023-12-18,16
2023-12-19,19
2023-12-20,19
2023-12-21,20
2023-12-22,19
2023-12-23,16
2023-12-24,16
2023-12-25,16
2023-12-26,19
2023-12-27,19
2023-12-28,20
2023-12-29,18
2023-12-30,19
2023-12-31,20
2024-01-01,22
2024-01-02,23
2024-01-03,22
2024-01-04,22
2024-01-05,22
2024-01-06,22
2024-01-07,22
2024-01-08,23
2024-01-09,23
2024-01-10,23
2024-01-11,22
2024-01-12,22
2024-01-13,22
2024-01-14,22
2024-01-15,22
2024-01-16,23
2024-01-17,22
2024-01-18,22
2024-01-19,22
2024-01-20,22
2024-01-21,22
2024-01-22,22
2024-01-23,22
2024-01-24,22
2024-01-25,23
2024-01-26,23
2024-01-27,23
2024-01-28,23
2024-01-29,22
2024-01-30,23
2024-01-31,22
2024-02-01,23
2024-02-02,23
2024-02-03,24
2024-02-04,24
2024-02-05,24
2024-02-06,24
2024-02-07,24
2024-02-08,24
2024-02-09,23
2024-02-10,23
2024-02-11,23
2024-02-12,23
2024-02-13,23
2024-02-14,23
2024-02-15,24
2024-02-16,24
2024-02-17,24
2024-02-18,24
2024-02-19,24
2024-02-20,24
2024-02-21,24
2024-02-22,24
2024-02-23,24
2024-02-24,24
2024-02-25,25
2024-02-26,24
2024-02-27,24
2024-02-28,24
2024-02-29,24
2024-03-01,24
2024-03-02,25
2024-03-03,24
2024-03-04,24
2024-03-05,25
2024-03-06,25
2024-03-07,25
2024-03-08,25
2024-03-09,25
2024-03-10,24
2024-03-11,25
2024-03-12,25
2024-03-13,25
2024-03-14,25
2024-03-15,25
2024-03-16,23
2024-03-17,20
2024-03-18,20
2024-03-19,20
2024-03-20,20
2024-03-21,20
2024-03-22,20
2024-03-23,20
2024-03-24,20
2024-03-25,20
2024-03-26,20
2024-03-27,20
2024-03-28,20
2024-03-29,20
2024-03-30,20
2024-03-31,20
2024-04-01,21
2024-04-02,21
2024-04-03,21
2024-04-04,21
2024-04-05,21
2024-04-06,21
2024-04-07,21
2024-04-08,21
2024-04-09,21
2024-04-10,21
2024-04-11,21
2024-04-12,21
2024-04-13,21
2024-04-14,21
2024-04-15,21
2024-04-16,21
2024-04-17,21
2024-04-18,21
2024-04-19,21
2024-04-20,21
2024-04-21,21
2024-04-22,21
2024-04-23,21
2024-04-24,21
2024-04-25,21
2024-04-26,21
2024-04-27,21
2024-04-28,21
2024-04-29,21
2024-04-30,21
2024-05-01,21
2024-05-02,21
2024-05-03,21
2024-05-04,21
2024-05-05,21
2024-05-06,21
2024-05-07,21
2024-05-08,21
2024-05-09,21
2024-05-10,21
2024-05-11,21
2024-05-12,21
2024-05-13,21
2024-05-14,21
2024-05-15,21
2024-05-16,21
2024-05-17,21
2024-05-18,21
2024-05-19,21
2024-05-20,21
2024-05-21,21
2024-05-22,21
2024-05-23,21
2024-05-24,21
2024-05-25,21
2024-05-26,21
2024-05-27,21
2024-05-28,21
2024-05-29,21
2024-05-30,21
2024-05-31,21
2024-06-01,21
2024-06-02,21
2024-06-03,21
2024-06-04,21
2024-06-05,21
2024-06-06,21
2024-06-07,21
2024-06-08,21
2024-06-09,21
2024-06-10,21
2024-06-11,21
2024-06-12,20
2024-06-13,20
2024-06-14,17
2024-06-15,16
2024-06-16,17
2024-06-17,17
2024-06-18,17
2024-06-19,17
2024-06-20,17
2024-06-21,16
2024-06-22,16
2024-06-23,16
2024-06-24,17
2024-06-25,17
2024-06-26,17
2024-06-27,17
2024-06-28,17
2024-06-29,17
2024-06-30,17
2024-07-01,18
2024-07-02,18
2024-07-03,18
2024-07-04,18
2024-07-05,18
2024-07-06,18
2024-07-07,18
2024-07-08,18
2024-07-09,18
2024-07-10,18
2024-07-11,18
2024-07-12,18
2024-07-13,18
2024-07-14,18
2024-07-15,18
2024-07-16,18
2024-07-17,18
2024-07-18,18
2024-07-19,18
2024-07-20,18
2024-07-21,18
2024-07-22,18
2024-07-23,18
2024-07-24,18
2024-07-25,18
2024-07-26,18
2024-07-27,18
2024-07-28,18
2024-07-29,18
2024-07-30,18
2024-07-31,18
2024-08-01,17
2024-08-02,17
2024-08-03,17
2024-08-04,18
2024-08-05,18
2024-08-06,18
2024-08-07,18
2024-08-08,18
2024-08-09,18
2024-08-10,18
2024-08-11,18
2024-08-12,18
2024-08-13,18
2024-08-14,18
2024-08-15,18
2024-08-16,18
2024-08-17,18
2024-08-18,17
2024-08-19,17
2024-08-20,17
2024-08-21,18
2024-08-22,18
2024-08-23,18
2024-08-24,18
2024-08-25,18
2024-08-26,18
2024-08-27,18
2024-08-28,18
2024-08-29,18
2024-08-30,18
2024-08-31,18
2024-09-01,18
2024-09-02,18
2024-09-03,18
2024-09-04,18
2024-09-05,18
2024-09-06,18
2024-09-07,18
2024-09-08,18
2024-09-09,18
2024-09-10,18
2024-09-11,18
2024-09-12,18
2024-09-13,15
2024-09-14,15
2024-09-15,15
2024-09-16,15
2024-09-17,15
2024-09-18,15
2024-09-19,15
2024-09-20,15
2024-09-21,15
2024-09-22,15
2024-09-23,15
2024-09-24,15
2024-09-25,15
2024-09-26,15
2024-09-27,15
2024-09-28,15
2024-09-29,15
2024-09-30,15
2024-10-01,15
2024-10-02,15
2024-10-03,15
2024-10-04,15
2024-10-05,15
2024-10-06,15
2024-10-07,15
2024-10-08,15
2024-10-09,15
2024-10-10,13
2024-10-11,12
2024-10-12,12
2024-10-13,12
2024-10-14,13
2024-10-15,14
2024-10-16,15
2024-10-17,15
2024-10-18,15
2024-10-19,15
2024-10-20,15
2024-10-21,15
2024-10-22,15
2024-10-23,15
2024-10-24,15
2024-10-25,15
2024-10-26,15
2024-10-27,15
2024-10-28,15
2024-10-29,15
2024-10-30,15
2024-10-31,15
2024-11-01,15
2024-11-02,15
2024-11-03,15
2024-11-04,15
2024-11-05,15
2024-11-06,15
2024-11-07,15
2024-11-08,15
2024-11-09,15
2024-11-10,15
2024-11-11,15
2024-11-12,15
2024-11-13,15
2024-11-14,15
2024-11-15,15
2024-11-16,15
2024-11-17,15
2024-11-18,15
2024-11-19,15
2024-11-20,15
2024-11-21,15
2024-11-22,15
2024-11-23,15
2024-11-24,15
2024-11-25,15
2024-11-26,15
2024-11-27,15
2024-11-28,15
2024-11-29,15
2024-11-30,15
2024-12-01,15
2024-12-02,15
2024-12-03,15
2024-12-04,15
2024-12-05,15
2024-12-06,15
2024-12-07,15
2024-12-08,15
2024-12-09,15
2024-12-10,15
2024-12-11,15
2024-12-12,15
2024-12-13,15
2024-12-14,15
2024-12-15,15
2024-12-16,13
