date,available
2023-12-18,37
2023-12-19,46
2023-12-20,48
2023-12-21,50
2023-12-22,46
2023-12-23,43
2023-12-24,37
2023-12-25,36
2023-12-26,43
2023-12-27,41
2023-12-28,41
2023-12-29,42
2023-12-30,39
2023-12-31,42
2024-01-01,46
2024-01-02,49
2024-01-03,54
2024-01-04,59
2024-01-05,58
2024-01-06,59
2024-01-07,59
2024-01-08,59
2024-01-09,59
2024-01-10,62
2024-01-11,62
2024-01-12,64
2024-01-13,67
2024-01-14,71
2024-01-15,71
2024-01-16,72
2024-01-17,73
2024-01-18,74
2024-01-19,77
2024-01-20,76
2024-01-21,72
2024-01-22,71
2024-01-23,73
2024-01-24,76
2024-01-25,79
2024-01-26,78
2024-01-27,80
2024-01-28,78
2024-01-29,78
2024-01-30,77
2024-01-31,77
2024-02-01,76
2024-02-02,79
2024-02-03,79
2024-02-04,80
2024-02-05,80
2024-02-06,82
2024-02-07,82
2024-02-08,81
2024-02-09,83
2024-02-10,83
2024-02-11,80
2024-02-12,80
2024-02-13,80
2024-02-14,76
2024-02-15,77
2024-02-16,79
2024-02-17,79
2024-02-18,80
2024-02-19,80
2024-02-20,80
2024-02-21,80
2024-02-22,80
2024-02-23,84
2024-02-24,84
2024-02-25,84
2024-02-26,84
2024-02-27,84
2024-02-28,84
2024-02-29,84
2024-03-01,89
2024-03-02,89
2024-03-03,88
2024-03-04,88
2024-03-05,89
2024-03-06,88
2024-03-07,86
2024-03-08,88
2024-03-09,90
2024-03-10,87
2024-03-11,88
2024-03-12,88
2024-03-13,88
2024-03-14,85
2024-03-15,87
2024-03-16,83
2024-03-17,83
2024-03-18,84
2024-03-19,84
2024-03-20,83
2024-03-21,82
2024-03-22,82
2024-03-23,82
2024-03-24,81
2024-03-25,82
2024-03-26,83
2024-03-27,84
2024-03-28,83
2024-03-29,84
2024-03-30,85
2024-03-31,85
2024-04-01,82
2024-04-02,82
2024-04-03,82
2024-04-04,82
2024-04-05,82
2024-04-06,82
2024-04-07,80
2024-04-08,79
2024-04-09,80
2024-04-10,80
2024-04-11,80
2024-04-12,80
2024-04-13,78
2024-04-14,79
2024-04-15,76
2024-04-16,76
2024-04-17,76
2024-04-18,77
2024-04-19,78
2024-04-20,79
2024-04-21,79
2024-04-22,80
2024-04-23,79
2024-04-24,80
2024-04-25,79
2024-04-26,80
2024-04-27,80
2024-04-28,81
2024-04-29,80
2024-04-30,79
2024-05-01,75
2024-05-02,74
2024-05-03,74
2024-05-04,76
2024-05-05,75
2024-05-06,74
2024-05-07,76
2024-05-08,75
2024-05-09,76
2024-05-10,78
2024-05-11,78
2024-05-12,76
2024-05-13,76
2024-05-14,76
2024-05-15,75
2024-05-16,72
2024-05-17,74
2024-05-18,73
2024-05-19,76
2024-05-20,76
2024-05-21,76
2024-05-22,77
2024-05-23,77
2024-05-24,76
2024-05-25,77
2024-05-26,77
2024-05-27,76
2024-05-28,77
2024-05-29,71
2024-05-30,60
2024-05-31,48
2024-06-01,50
2024-06-02,68
2024-06-03,74
2024-06-04,80
2024-06-05,80
2024-06-06,76
2024-06-07,76
2024-06-08,77
2024-06-09,77
2024-06-10,79
2024-06-11,82
2024-06-12,82
2024-06-13,83
2024-06-14,80
2024-06-15,74
2024-06-16,74
2024-06-17,73
2024-06-18,73
2024-06-19,73
2024-06-20,73
2024-06-21,74
