date,available
2023-12-18,70
2023-12-19,89
2023-12-20,97
2023-12-21,98
2023-12-22,82
2023-12-23,77
2023-12-24,79
2023-12-25,81
2023-12-26,81
2023-12-27,85
2023-12-28,86
2023-12-29,76
2023-12-30,74
2023-12-31,87
2024-01-01,94
2024-01-02,112
2024-01-03,121
2024-01-04,123
2024-01-05,122
2024-01-06,126
2024-01-07,126
2024-01-08,130
2024-01-09,130
2024-01-10,131
2024-01-11,130
2024-01-12,128
2024-01-13,127
2024-01-14,130
2024-01-15,131
2024-01-16,132
2024-01-17,135
2024-01-18,134
2024-01-19,135
2024-01-20,136
2024-01-21,135
2024-01-22,136
2024-01-23,134
2024-01-24,134
2024-01-25,135
2024-01-26,132
2024-01-27,131
2024-01-28,134
2024-01-29,134
2024-01-30,134
2024-01-31,133
2024-02-01,134
2024-02-02,134
2024-02-03,135
2024-02-04,135
2024-02-05,136
2024-02-06,136
2024-02-07,136
2024-02-08,137
2024-02-09,137
2024-02-10,137
2024-02-11,135
2024-02-12,135
2024-02-13,135
2024-02-14,134
2024-02-15,133
2024-02-16,133
2024-02-17,133
2024-02-18,134
2024-02-19,135
2024-02-20,135
2024-02-21,136
2024-02-22,136
2024-02-23,136
2024-02-24,137
2024-02-25,136
2024-02-26,137
2024-02-27,138
2024-02-28,139
2024-02-29,138
2024-03-01,139
2024-03-02,140
2024-03-03,139
2024-03-04,140
2024-03-05,140
2024-03-06,140
2024-03-07,140
2024-03-08,141
2024-03-09,142
2024-03-10,141
2024-03-11,141
2024-03-12,138
2024-03-13,138
2024-03-14,138
2024-03-15,137
2024-03-16,133
2024-03-17,122
2024-03-18,124
2024-03-19,127
2024-03-20,126
2024-03-21,126
2024-03-22,126
2024-03-23,125
2024-03-24,127
2024-03-25,125
2024-03-26,125
2024-03-27,125
2024-03-28,126
2024-03-29,126
2024-03-30,127
2024-03-31,128
2024-04-01,128
2024-04-02,128
2024-04-03,126
2024-04-04,129
2024-04-05,130
2024-04-06,130
2024-04-07,130
2024-04-08,130
2024-04-09,130
2024-04-10,130
2024-04-11,130
2024-04-12,131
2024-04-13,131
2024-04-14,131
2024-04-15,131
2024-04-16,129
2024-04-17,129
2024-04-18,128
2024-04-19,128
2024-04-20,130
2024-04-21,130
2024-04-22,131
2024-04-23,130
2024-04-24,129
2024-04-25,130
2024-04-26,130
2024-04-27,130
2024-04-28,130
2024-04-29,131
2024-04-30,132
2024-05-01,131
2024-05-02,132
2024-05-03,132
2024-05-04,131
2024-05-05,130
2024-05-06,131
2024-05-07,132
2024-05-08,131
2024-05-09,130
2024-05-10,130
2024-05-11,130
2024-05-12,130
2024-05-13,130
2024-05-14,130
2024-05-15,130
2024-05-16,128
2024-05-17,127
2024-05-18,125
2024-05-19,126
2024-05-20,127
2024-05-21,129
2024-05-22,130
2024-05-23,130
2024-05-24,132
2024-05-25,131
2024-05-26,130
2024-05-27,131
2024-05-28,129
2024-05-29,131
2024-05-30,130
2024-05-31,127
2024-06-01,128
2024-06-02,129
2024-06-03,133
2024-06-04,134
2024-06-05,134
2024-06-06,134
2024-06-07,131
2024-06-08,131
2024-06-09,131
2024-06-10,131
2024-06-11,132
2024-06-12,134
2024-06-13,131
2024-06-14,109
2024-06-15,82
2024-06-16,83
2024-06-17,85
2024-06-18,85
2024-06-19,83
2024-06-20,82
2024-06-21,81
2024-06-22,83
2024-06-23,81
2024-06-24,82
2024-06-25,82
2024-06-26,81
2024-06-27,80
2024-06-28,79
2024-06-29,80
2024-06-30,79
2024-07-01,79
2024-07-02,80
2024-07-03,79
2024-07-04,78
2024-07-05,79
2024-07-06,80
2024-07-07,80
2024-07-08,81
2024-07-09,82
2024-07-10,81
2024-07-11,81
2024-07-12,81
2024-07-13,81
2024-07-14,81
2024-07-15,82
2024-07-16,82
2024-07-17,83
2024-07-18,83
2024-07-19,83
2024-07-20,82
2024-07-21,82
2024-07-22,83
2024-07-23,83
2024-07-24,83
2024-07-25,82
2024-07-26,82
2024-07-27,83
2024-07-28,83
2024-07-29,83
2024-07-30,83
2024-07-31,83
2024-08-01,82
2024-08-02,81
2024-08-03,80
2024-08-04,80
2024-08-05,81
2024-08-06,81
2024-08-07,80
2024-08-08,80
2024-08-09,80
2024-08-10,81
2024-08-11,82
2024-08-12,81
2024-08-13,80
2024-08-14,80
2024-08-15,81
2024-08-16,79
2024-08-17,79
2024-08-18,81
2024-08-19,81
2024-08-20,82
2024-08-21,82
2024-08-22,82
2024-08-23,83
2024-08-24,83
2024-08-25,83
2024-08-26,83
2024-08-27,83
2024-08-28,83
2024-08-29,83
2024-08-30,82
2024-08-31,81
2024-09-01,83
2024-09-02,83
2024-09-03,84
2024-09-04,85
2024-09-05,85
2024-09-06,85
2024-09-07,85
2024-09-08,85
2024-09-09,85
2024-09-10,85
2024-09-11,86
2024-09-12,78
2024-09-13,61
2024-09-14,61
2024-09-15,61
2024-09-16,61
2024-09-17,60
2024-09-18,60
2024-09-19,60
2024-09-20,60
2024-09-21,60
2024-09-22,61
2024-09-23,62
2024-09-24,62
2024-09-25,62
2024-09-26,62
2024-09-27,61
2024-09-28,61
2024-09-29,61
2024-09-30,62
2024-10-01,63
2024-10-02,62
2024-10-03,62
2024-10-04,62
2024-10-05,62
2024-10-06,63
2024-10-07,62
2024-10-08,61
2024-10-09,52
2024-10-10,50
2024-10-11,38
2024-10-12,38
2024-10-13,39
2024-10-14,47
2024-10-15,54
2024-10-16,60
2024-10-17,62
2024-10-18,63
2024-10-19,62
2024-10-20,63
2024-10-21,63
2024-10-22,63
2024-10-23,63
2024-10-24,63
2024-10-25,62
2024-10-26,62
2024-10-27,63
2024-10-28,63
2024-10-29,63
2024-10-30,63
2024-10-31,63
2024-11-01,63
2024-11-02,63
2024-11-03,63
2024-11-04,63
2024-11-05,63
2024-11-06,63
2024-11-07,63
2024-11-08,63
2024-11-09,63
2024-11-10,63
2024-11-11,63
2024-11-12,63
2024-11-13,63
2024-11-14,63
2024-11-15,63
2024-11-16,63
2024-11-17,63
2024-11-18,63
2024-11-19,63
2024-11-20,63
2024-11-21,63
2024-11-22,63
2024-11-23,63
2024-11-24,63
2024-11-25,63
2024-11-26,62
2024-11-27,61
2024-11-28,61
2024-11-29,60
2024-11-30,60
2024-12-01,62
2024-12-02,62
2024-12-03,62
2024-12-04,63
2024-12-05,63
2024-12-06,63
2024-12-07,63
2024-12-08,63
2024-12-09,63
2024-12-10,63
2024-12-11,63
2024-12-12,63
2024-12-13,63
2024-12-14,62
2024-12-15,62
2024-12-16,56
