date,available
2023-12-18,22
2023-12-19,26
2023-12-20,32
2023-12-21,27
2023-12-22,29
2023-12-23,24
2023-12-24,23
2023-12-25,21
2023-12-26,22
2023-12-27,25
2023-12-28,24
2023-12-29,23
2023-12-30,22
2023-12-31,21
2024-01-01,27
2024-01-02,35
2024-01-03,36
2024-01-04,38
2024-01-05,41
2024-01-06,43
2024-01-07,41
2024-01-08,42
2024-01-09,41
2024-01-10,41
2024-01-11,41
2024-01-12,41
2024-01-13,41
2024-01-14,42
2024-01-15,42
2024-01-16,41
2024-01-17,41
2024-01-18,42
2024-01-19,43
2024-01-20,44
2024-01-21,46
2024-01-22,45
2024-01-23,45
2024-01-24,45
2024-01-25,45
2024-01-26,46
2024-01-27,45
2024-01-28,44
2024-01-29,44
2024-01-30,44
2024-01-31,46
2024-02-01,46
2024-02-02,41
2024-02-03,42
2024-02-04,45
2024-02-05,47
2024-02-06,47
2024-02-07,48
2024-02-08,48
2024-02-09,48
2024-02-10,48
2024-02-11,48
2024-02-12,48
2024-02-13,49
2024-02-14,48
2024-02-15,47
2024-02-16,47
2024-02-17,44
2024-02-18,45
2024-02-19,47
2024-02-20,47
2024-02-21,47
2024-02-22,48
2024-02-23,48
2024-02-24,48
2024-02-25,48
2024-02-26,48
2024-02-27,49
2024-02-28,50
2024-02-29,50
2024-03-01,48
2024-03-02,47
2024-03-03,48
2024-03-04,48
2024-03-05,48
2024-03-06,48
2024-03-07,48
2024-03-08,48
2024-03-09,46
2024-03-10,46
2024-03-11,46
2024-03-12,47
2024-03-13,47
2024-03-14,47
2024-03-15,47
2024-03-16,46
2024-03-17,39
2024-03-18,39
2024-03-19,40
2024-03-20,40
2024-03-21,40
2024-03-22,40
2024-03-23,40
2024-03-24,40
2024-03-25,40
2024-03-26,39
2024-03-27,39
2024-03-28,39
2024-03-29,39
2024-03-30,40
2024-03-31,40
2024-04-01,41
2024-04-02,42
2024-04-03,42
2024-04-04,40
2024-04-05,37
2024-04-06,37
2024-04-07,38
2024-04-08,41
2024-04-09,41
2024-04-10,41
2024-04-11,39
2024-04-12,39
2024-04-13,39
2024-04-14,39
2024-04-15,42
2024-04-16,41
2024-04-17,40
2024-04-18,39
2024-04-19,39
2024-04-20,40
2024-04-21,41
2024-04-22,42
2024-04-23,42
2024-04-24,41
2024-04-25,41
2024-04-26,41
2024-04-27,41
2024-04-28,41
2024-04-29,41
2024-04-30,41
2024-05-01,41
2024-05-02,41
2024-05-03,41
2024-05-04,41
2024-05-05,42
2024-05-06,41
2024-05-07,41
2024-05-08,40
2024-05-09,41
2024-05-10,39
2024-05-11,40
2024-05-12,40
2024-05-13,41
2024-05-14,40
2024-05-15,42
2024-05-16,38
2024-05-17,38
2024-05-18,38
2024-05-19,41
2024-05-20,41
2024-05-21,42
2024-05-22,40
2024-05-23,41
2024-05-24,38
2024-05-25,40
2024-05-26,39
2024-05-27,42
2024-05-28,41
2024-05-29,42
2024-05-30,40
2024-05-31,41
2024-06-01,41
2024-06-02,42
2024-06-03,41
2024-06-04,42
2024-06-05,41
2024-06-06,42
2024-06-07,40
2024-06-08,39
2024-06-09,38
2024-06-10,40
2024-06-11,39
2024-06-12,42
2024-06-13,40
2024-06-14,39
2024-06-15,24
2024-06-16,26
2024-06-17,25
2024-06-18,25
2024-06-19,24
2024-06-20,25
2024-06-21,24
2024-06-22,25
2024-06-23,24
2024-06-24,25
2024-06-25,24
2024-06-26,24
2024-06-27,23
2024-06-28,24
2024-06-29,23
2024-06-30,25
2024-07-01,24
2024-07-02,24
2024-07-03,25
2024-07-04,23
2024-07-05,24
2024-07-06,23
2024-07-07,25
2024-07-08,23
2024-07-09,24
2024-07-10,23
2024-07-11,24
2024-07-12,23
2024-07-13,24
2024-07-14,23
2024-07-15,24
2024-07-16,23
2024-07-17,23
2024-07-18,23
2024-07-19,23
2024-07-20,23
2024-07-21,23
