date,available
2023-12-18,34
2023-12-19,35
2023-12-20,40
2023-12-21,42
2023-12-22,40
2023-12-23,39
2023-12-24,41
2023-12-25,39
2023-12-26,41
2023-12-27,41
2023-12-28,41
2023-12-29,40
2023-12-30,39
2023-12-31,38
2024-01-01,39
2024-01-02,42
2024-01-03,45
2024-01-04,46
2024-01-05,47
2024-01-06,47
2024-01-07,46
2024-01-08,46
2024-01-09,48
2024-01-10,48
2024-01-11,48
2024-01-12,48
2024-01-13,48
2024-01-14,46
2024-01-15,46
2024-01-16,46
2024-01-17,45
2024-01-18,45
2024-01-19,46
2024-01-20,45
2024-01-21,45
2024-01-22,44
2024-01-23,44
2024-01-24,44
2024-01-25,45
2024-01-26,46
2024-01-27,47
2024-01-28,47
2024-01-29,46
2024-01-30,47
2024-01-31,47
2024-02-01,47
2024-02-02,47
2024-02-03,47
2024-02-04,47
2024-02-05,48
2024-02-06,48
2024-02-07,48
2024-02-08,48
2024-02-09,48
2024-02-10,48
2024-02-11,48
2024-02-12,48
2024-02-13,48
2024-02-14,48
2024-02-15,47
2024-02-16,47
2024-02-17,47
2024-02-18,47
2024-02-19,47
2024-02-20,47
2024-02-21,48
2024-02-22,47
2024-02-23,47
2024-02-24,47
2024-02-25,48
2024-02-26,48
2024-02-27,48
2024-02-28,48
2024-02-29,48
2024-03-01,48
2024-03-02,48
2024-03-03,48
2024-03-04,49
2024-03-05,49
2024-03-06,49
2024-03-07,49
2024-03-08,49
2024-03-09,49
2024-03-10,49
2024-03-11,49
2024-03-12,50
2024-03-13,49
2024-03-14,49
2024-03-15,49
2024-03-16,49
2024-03-17,48
2024-03-18,48
2024-03-19,48
2024-03-20,48
2024-03-21,48
2024-03-22,48
2024-03-23,48
2024-03-24,48
2024-03-25,48
2024-03-26,48
2024-03-27,48
2024-03-28,48
2024-03-29,48
2024-03-30,49
2024-03-31,51
2024-04-01,50
2024-04-02,50
2024-04-03,50
2024-04-04,50
2024-04-05,50
2024-04-06,50
2024-04-07,50
2024-04-08,50
2024-04-09,50
2024-04-10,49
2024-04-11,49
2024-04-12,49
2024-04-13,49
2024-04-14,49
2024-04-15,49
2024-04-16,49
2024-04-17,49
2024-04-18,49
2024-04-19,49
2024-04-20,49
2024-04-21,49
2024-04-22,49
