date,available
2023-12-18,231
2023-12-19,294
2023-12-20,314
2023-12-21,293
2023-12-22,266
2023-12-23,259
2023-12-24,245
2023-12-25,248
2023-12-26,267
2023-12-27,286
2023-12-28,284
2023-12-29,260
2023-12-30,239
2023-12-31,242
2024-01-01,358
2024-01-02,400
2024-01-03,411
2024-01-04,412
2024-01-05,418
2024-01-06,419
2024-01-07,435
2024-01-08,445
2024-01-09,449
2024-01-10,444
2024-01-11,443
2024-01-12,403
2024-01-13,392
2024-01-14,416
2024-01-15,439
2024-01-16,447
2024-01-17,445
2024-01-18,442
2024-01-19,435
2024-01-20,437
2024-01-21,448
2024-01-22,459
2024-01-23,463
2024-01-24,464
2024-01-25,466
2024-01-26,453
2024-01-27,452
2024-01-28,473
2024-01-29,472
2024-01-30,474
2024-01-31,475
2024-02-01,464
2024-02-02,461
2024-02-03,468
2024-02-04,482
2024-02-05,484
2024-02-06,489
2024-02-07,492
2024-02-08,493
2024-02-09,481
2024-02-10,482
2024-02-11,492
2024-02-12,496
2024-02-13,496
2024-02-14,495
2024-02-15,493
2024-02-16,490
2024-02-17,487
2024-02-18,496
2024-02-19,498
2024-02-20,499
2024-02-21,497
2024-02-22,488
2024-02-23,484
2024-02-24,483
2024-02-25,497
2024-02-26,498
2024-02-27,499
2024-02-28,500
2024-02-29,500
2024-03-01,480
2024-03-02,481
2024-03-03,491
2024-03-04,492
2024-03-05,491
2024-03-06,491
2024-03-07,488
2024-03-08,479
2024-03-09,481
2024-03-10,491
2024-03-11,494
2024-03-12,494
2024-03-13,488
2024-03-14,476
2024-03-15,452
2024-03-16,454
2024-03-17,430
2024-03-18,442
2024-03-19,448
2024-03-20,448
2024-03-21,444
2024-03-22,435
2024-03-23,430
2024-03-24,444
2024-03-25,444
2024-03-26,444
2024-03-27,442
2024-03-28,447
2024-03-29,443
2024-03-30,437
2024-03-31,430
2024-04-01,416
2024-04-02,427
2024-04-03,435
2024-04-04,418
2024-04-05,412
2024-04-06,413
2024-04-07,434
2024-04-08,442
2024-04-09,444
2024-04-10,444
2024-04-11,441
2024-04-12,434
2024-04-13,433
2024-04-14,447
2024-04-15,447
2024-04-16,445
2024-04-17,445
2024-04-18,440
2024-04-19,439
2024-04-20,437
2024-04-21,445
2024-04-22,443
2024-04-23,438
2024-04-24,426
2024-04-25,423
2024-04-26,426
2024-04-27,427
2024-04-28,440
2024-04-29,446
2024-04-30,446
2024-05-01,438
2024-05-02,430
2024-05-03,425
2024-05-04,424
2024-05-05,426
2024-05-06,426
2024-05-07,425
2024-05-08,422
2024-05-09,431
2024-05-10,418
2024-05-11,419
2024-05-12,427
2024-05-13,432
2024-05-14,440
2024-05-15,440
2024-05-16,436
2024-05-17,422
2024-05-18,416
2024-05-19,428
2024-05-20,432
2024-05-21,432
2024-05-22,431
