date,available
2023-12-18,43
2023-12-19,51
2023-12-20,60
2023-12-21,49
2023-12-22,40
2023-12-23,35
2023-12-24,36
2023-12-25,38
2023-12-26,46
2023-12-27,48
2023-12-28,51
2023-12-29,40
2023-12-30,40
2023-12-31,44
2024-01-01,57
2024-01-02,65
2024-01-03,72
2024-01-04,71
2024-01-05,72
2024-01-06,69
2024-01-07,72
2024-01-08,75
2024-01-09,75
2024-01-10,76
2024-01-11,75
2024-01-12,74
2024-01-13,73
2024-01-14,76
2024-01-15,78
2024-01-16,80
2024-01-17,81
2024-01-18,80
2024-01-19,79
2024-01-20,80
2024-01-21,81
2024-01-22,81
2024-01-23,81
2024-01-24,80
2024-01-25,77
2024-01-26,76
2024-01-27,76
2024-01-28,79
2024-01-29,81
2024-01-30,83
2024-01-31,82
2024-02-01,80
2024-02-02,77
2024-02-03,78
2024-02-04,79
2024-02-05,84
2024-02-06,84
2024-02-07,86
2024-02-08,85
2024-02-09,83
2024-02-10,83
2024-02-11,86
2024-02-12,86
2024-02-13,85
2024-02-14,85
2024-02-15,84
2024-02-16,82
2024-02-17,81
2024-02-18,80
2024-02-19,82
2024-02-20,84
2024-02-21,84
2024-02-22,84
2024-02-23,81
2024-02-24,82
2024-02-25,84
2024-02-26,84
2024-02-27,84
2024-02-28,84
2024-02-29,85
2024-03-01,85
2024-03-02,85
2024-03-03,86
2024-03-04,87
2024-03-05,86
2024-03-06,86
2024-03-07,87
2024-03-08,86
2024-03-09,88
2024-03-10,88
2024-03-11,86
2024-03-12,86
2024-03-13,87
2024-03-14,85
2024-03-15,82
2024-03-16,78
2024-03-17,70
2024-03-18,75
2024-03-19,76
2024-03-20,76
2024-03-21,76
2024-03-22,73
2024-03-23,73
2024-03-24,73
2024-03-25,74
2024-03-26,75
2024-03-27,75
2024-03-28,75
2024-03-29,74
2024-03-30,76
2024-03-31,74
2024-04-01,76
2024-04-02,76
2024-04-03,74
2024-04-04,73
2024-04-05,72
2024-04-06,74
2024-04-07,79
2024-04-08,81
2024-04-09,81
2024-04-10,80
2024-04-11,80
2024-04-12,80
2024-04-13,80
2024-04-14,80
2024-04-15,81
2024-04-16,81
2024-04-17,79
2024-04-18,78
2024-04-19,76
2024-04-20,76
2024-04-21,78
2024-04-22,78
2024-04-23,77
2024-04-24,78
2024-04-25,75
2024-04-26,76
2024-04-27,76
2024-04-28,78
2024-04-29,80
2024-04-30,79
2024-05-01,78
2024-05-02,76
2024-05-03,75
2024-05-04,75
2024-05-05,76
2024-05-06,77
2024-05-07,78
2024-05-08,77
2024-05-09,78
2024-05-10,77
2024-05-11,76
2024-05-12,76
2024-05-13,79
2024-05-14,79
2024-05-15,75
2024-05-16,73
2024-05-17,73
2024-05-18,72
2024-05-19,73
2024-05-20,75
2024-05-21,78
2024-05-22,78
2024-05-23,77
2024-05-24,74
2024-05-25,74
2024-05-26,73
2024-05-27,75
2024-05-28,74
2024-05-29,75
2024-05-30,77
2024-05-31,73
2024-06-01,70
2024-06-02,73
2024-06-03,76
2024-06-04,76
2024-06-05,76
2024-06-06,68
2024-06-07,67
2024-06-08,66
2024-06-09,66
2024-06-10,66
2024-06-11,69
2024-06-12,69
2024-06-13,68
2024-06-14,60
2024-06-15,42
2024-06-16,43
2024-06-17,45
2024-06-18,44
2024-06-19,41
2024-06-20,40
2024-06-21,40
2024-06-22,39
2024-06-23,41
2024-06-24,41
2024-06-25,42
2024-06-26,42
2024-06-27,41
2024-06-28,39
2024-06-29,39
2024-06-30,40
2024-07-01,40
2024-07-02,41
2024-07-03,41
2024-07-04,40
2024-07-05,41
2024-07-06,42
2024-07-07,42
2024-07-08,43
2024-07-09,43
2024-07-10,43
2024-07-11,42
2024-07-12,42
2024-07-13,42
2024-07-14,42
2024-07-15,41
2024-07-16,40
2024-07-17,40
2024-07-18,39
2024-07-19,40
2024-07-20,40
2024-07-21,41
2024-07-22,42
2024-07-23,42
2024-07-24,43
2024-07-25,43
2024-07-26,43
2024-07-27,43
2024-07-28,43
2024-07-29,43
2024-07-30,45
2024-07-31,44
2024-08-01,44
2024-08-02,44
2024-08-03,44
2024-08-04,44
2024-08-05,44
2024-08-06,44
2024-08-07,43
2024-08-08,43
2024-08-09,44
2024-08-10,45
2024-08-11,44
2024-08-12,44
2024-08-13,44
2024-08-14,44
2024-08-15,42
2024-08-16,42
2024-08-17,43
2024-08-18,43
2024-08-19,43
2024-08-20,43
2024-08-21,40
2024-08-22,37
2024-08-23,37
2024-08-24,37
2024-08-25,40
2024-08-26,45
2024-08-27,45
2024-08-28,45
2024-08-29,45
2024-08-30,45
2024-08-31,46
2024-09-01,47
2024-09-02,46
2024-09-03,46
2024-09-04,46
2024-09-05,46
