date,available
2023-12-18,191
2023-12-19,244
2023-12-20,247
2023-12-21,221
2023-12-22,182
2023-12-23,170
2023-12-24,168
2023-12-25,181
2023-12-26,194
2023-12-27,194
2023-12-28,184
2023-12-29,179
2023-12-30,179
2023-12-31,208
2024-01-01,236
2024-01-02,271
2024-01-03,283
2024-01-04,290
2024-01-05,282
2024-01-06,291
2024-01-07,309
2024-01-08,314
2024-01-09,317
2024-01-10,313
2024-01-11,309
2024-01-12,285
2024-01-13,286
2024-01-14,299
2024-01-15,314
2024-01-16,323
2024-01-17,323
2024-01-18,319
2024-01-19,311
2024-01-20,311
2024-01-21,323
2024-01-22,326
2024-01-23,328
2024-01-24,332
2024-01-25,335
2024-01-26,336
2024-01-27,335
2024-01-28,343
2024-01-29,343
2024-01-30,344
2024-01-31,344
2024-02-01,345
2024-02-02,337
2024-02-03,335
2024-02-04,338
2024-02-05,342
2024-02-06,344
2024-02-07,344
2024-02-08,344
2024-02-09,343
2024-02-10,341
2024-02-11,343
2024-02-12,345
2024-02-13,347
2024-02-14,345
2024-02-15,334
2024-02-16,332
2024-02-17,330
2024-02-18,341
2024-02-19,345
2024-02-20,344
2024-02-21,347
2024-02-22,344
2024-02-23,342
2024-02-24,344
2024-02-25,348
2024-02-26,350
2024-02-27,351
2024-02-28,351
2024-02-29,350
2024-03-01,346
2024-03-02,348
2024-03-03,350
2024-03-04,350
2024-03-05,351
2024-03-06,350
2024-03-07,347
2024-03-08,345
2024-03-09,340
2024-03-10,343
2024-03-11,342
2024-03-12,344
2024-03-13,346
2024-03-14,335
2024-03-15,335
2024-03-16,330
2024-03-17,289
2024-03-18,295
2024-03-19,296
2024-03-20,297
2024-03-21,292
2024-03-22,285
2024-03-23,285
2024-03-24,295
2024-03-25,299
2024-03-26,301
2024-03-27,302
2024-03-28,295
2024-03-29,285
2024-03-30,287
2024-03-31,297
2024-04-01,298
2024-04-02,301
2024-04-03,303
2024-04-04,301
2024-04-05,296
2024-04-06,297
2024-04-07,307
2024-04-08,306
2024-04-09,306
2024-04-10,307
2024-04-11,306
2024-04-12,303
2024-04-13,304
2024-04-14,306
2024-04-15,311
2024-04-16,312
2024-04-17,309
2024-04-18,301
2024-04-19,298
2024-04-20,298
2024-04-21,304
2024-04-22,309
2024-04-23,310
2024-04-24,311
2024-04-25,308
2024-04-26,307
2024-04-27,307
2024-04-28,312
2024-04-29,317
2024-04-30,320
2024-05-01,311
2024-05-02,308
2024-05-03,304
2024-05-04,300
2024-05-05,302
2024-05-06,309
2024-05-07,311
2024-05-08,310
2024-05-09,308
2024-05-10,306
2024-05-11,305
2024-05-12,309
2024-05-13,311
2024-05-14,311
2024-05-15,310
2024-05-16,305
2024-05-17,301
2024-05-18,300
2024-05-19,305
2024-05-20,306
2024-05-21,308
2024-05-22,308
2024-05-23,305
2024-05-24,297
2024-05-25,298
2024-05-26,301
2024-05-27,310
2024-05-28,311
2024-05-29,309
2024-05-30,305
2024-05-31,296
2024-06-01,289
2024-06-02,297
2024-06-03,305
2024-06-04,308
2024-06-05,309
2024-06-06,308
2024-06-07,307
2024-06-08,307
2024-06-09,304
2024-06-10,308
2024-06-11,309
2024-06-12,307
2024-06-13,301
2024-06-14,296
2024-06-15,218
2024-06-16,222
2024-06-17,226
2024-06-18,229
2024-06-19,226
2024-06-20,222
2024-06-21,218
2024-06-22,216
2024-06-23,221
2024-06-24,225
2024-06-25,224
2024-06-26,222
2024-06-27,219
2024-06-28,218
2024-06-29,217
2024-06-30,219
2024-07-01,215
2024-07-02,216
2024-07-03,215
2024-07-04,216
2024-07-05,214
2024-07-06,215
2024-07-07,215
2024-07-08,214
2024-07-09,215
2024-07-10,213
2024-07-11,213
2024-07-12,212
2024-07-13,214
2024-07-14,217
2024-07-15,217
2024-07-16,216
2024-07-17,218
2024-07-18,217
2024-07-19,219
2024-07-20,219
2024-07-21,218
2024-07-22,218
2024-07-23,220
2024-07-24,219
2024-07-25,218
2024-07-26,217
2024-07-27,218
2024-07-28,217
2024-07-29,218
2024-07-30,216
2024-07-31,216
2024-08-01,215
2024-08-02,216
2024-08-03,216
2024-08-04,219
2024-08-05,222
2024-08-06,223
2024-08-07,223
2024-08-08,218
2024-08-09,212
2024-08-10,212
2024-08-11,214
2024-08-12,221
2024-08-13,222
2024-08-14,222
2024-08-15,223
2024-08-16,224
2024-08-17,223
2024-08-18,222
2024-08-19,221
2024-08-20,220
2024-08-21,220
2024-08-22,221
2024-08-23,221
2024-08-24,220
2024-08-25,221
2024-08-26,220
2024-08-27,221
2024-08-28,224
2024-08-29,222
2024-08-30,220
2024-08-31,220
2024-09-01,213
2024-09-02,217
2024-09-03,219
2024-09-04,218
2024-09-05,217
2024-09-06,217
2024-09-07,218
2024-09-08,220
2024-09-09,221
2024-09-10,223
2024-09-11,222
2024-09-12,221
2024-09-13,172
2024-09-14,171
2024-09-15,170
2024-09-16,171
2024-09-17,172
2024-09-18,172
2024-09-19,172
2024-09-20,170
2024-09-21,169
2024-09-22,173
2024-09-23,174
2024-09-24,173
2024-09-25,174
2024-09-26,172
2024-09-27,170
2024-09-28,168
2024-09-29,168
2024-09-30,173
2024-10-01,172
2024-10-02,172
2024-10-03,171
2024-10-04,171
2024-10-05,171
2024-10-06,173
2024-10-07,172
2024-10-08,172
2024-10-09,159
2024-10-10,140
2024-10-11,113
2024-10-12,112
2024-10-13,114
2024-10-14,146
2024-10-15,165
2024-10-16,171
2024-10-17,172
2024-10-18,174
2024-10-19,174
2024-10-20,174
2024-10-21,176
2024-10-22,175
2024-10-23,175
2024-10-24,172
2024-10-25,171
2024-10-26,171
2024-10-27,174
2024-10-28,173
2024-10-29,172
2024-10-30,172
2024-10-31,171
2024-11-01,178
2024-11-02,179
2024-11-03,177
2024-11-04,176
2024-11-05,177
2024-11-06,177
2024-11-07,177
2024-11-08,177
2024-11-09,176
2024-11-10,176
2024-11-11,176
2024-11-12,176
2024-11-13,177
2024-11-14,176
2024-11-15,175
2024-11-16,175
2024-11-17,174
2024-11-18,174
2024-11-19,174
2024-11-20,175
2024-11-21,175
2024-11-22,175
2024-11-23,175
2024-11-24,175
2024-11-25,172
2024-11-26,172
2024-11-27,172
2024-11-28,173
2024-11-29,174
2024-11-30,176
2024-12-01,176
2024-12-02,176
2024-12-03,176
2024-12-04,176
2024-12-05,176
2024-12-06,177
2024-12-07,177
2024-12-08,177
2024-12-09,178
2024-12-10,178
2024-12-11,178
2024-12-12,178
2024-12-13,178
2024-12-14,172
2024-12-15,168
2024-12-16,164
