date,available
2023-12-18,182
2023-12-19,212
2023-12-20,223
2023-12-21,223
2023-12-22,205
2023-12-23,210
2023-12-24,232
2023-12-25,246
2023-12-26,237
2023-12-27,223
2023-12-28,223
2023-12-29,216
2023-12-30,216
2023-12-31,222
2024-01-01,260
2024-01-02,275
2024-01-03,280
2024-01-04,271
2024-01-05,265
2024-01-06,277
2024-01-07,285
2024-01-08,294
2024-01-09,294
2024-01-10,292
2024-01-11,291
2024-01-12,283
2024-01-13,283
2024-01-14,294
2024-01-15,305
2024-01-16,307
2024-01-17,308
2024-01-18,306
2024-01-19,289
2024-01-20,276
2024-01-21,265
2024-01-22,265
2024-01-23,270
2024-01-24,295
2024-01-25,311
2024-01-26,303
2024-01-27,307
2024-01-28,316
2024-01-29,320
2024-01-30,317
2024-01-31,317
2024-02-01,298
2024-02-02,298
2024-02-03,300
2024-02-04,303
2024-02-05,308
2024-02-06,307
2024-02-07,308
2024-02-08,308
2024-02-09,309
2024-02-10,314
2024-02-11,316
2024-02-12,316
2024-02-13,322
2024-02-14,321
2024-02-15,305
2024-02-16,302
2024-02-17,299
2024-02-18,311
2024-02-19,313
2024-02-20,315
2024-02-21,311
2024-02-22,302
2024-02-23,301
2024-02-24,301
2024-02-25,308
2024-02-26,316
2024-02-27,316
2024-02-28,314
2024-02-29,314
2024-03-01,313
2024-03-02,313
2024-03-03,315
2024-03-04,320
2024-03-05,320
2024-03-06,322
2024-03-07,323
2024-03-08,316
2024-03-09,312
2024-03-10,317
2024-03-11,323
2024-03-12,323
2024-03-13,324
2024-03-14,320
2024-03-15,310
2024-03-16,307
2024-03-17,297
2024-03-18,302
2024-03-19,298
2024-03-20,297
2024-03-21,299
2024-03-22,297
2024-03-23,295
2024-03-24,294
2024-03-25,294
2024-03-26,297
2024-03-27,297
2024-03-28,299
2024-03-29,299
2024-03-30,300
2024-03-31,300
2024-04-01,294
2024-04-02,295
2024-04-03,296
2024-04-04,295
2024-04-05,297
2024-04-06,296
2024-04-07,298
2024-04-08,299
2024-04-09,299
2024-04-10,298
2024-04-11,294
2024-04-12,293
2024-04-13,295
2024-04-14,297
2024-04-15,297
2024-04-16,299
2024-04-17,295
2024-04-18,293
2024-04-19,290
2024-04-20,293
2024-04-21,297
2024-04-22,298
2024-04-23,299
2024-04-24,298
2024-04-25,296
2024-04-26,296
2024-04-27,297
2024-04-28,300
2024-04-29,302
2024-04-30,302
2024-05-01,305
2024-05-02,299
2024-05-03,300
2024-05-04,302
2024-05-05,302
2024-05-06,303
2024-05-07,300
2024-05-08,298
2024-05-09,300
2024-05-10,300
2024-05-11,300
2024-05-12,303
2024-05-13,306
2024-05-14,306
2024-05-15,305
2024-05-16,299
2024-05-17,295
2024-05-18,293
2024-05-19,293
2024-05-20,294
2024-05-21,294
2024-05-22,295
2024-05-23,297
2024-05-24,291
2024-05-25,293
2024-05-26,293
2024-05-27,302
2024-05-28,303
2024-05-29,297
2024-05-30,282
2024-05-31,271
2024-06-01,260
2024-06-02,274
2024-06-03,281
2024-06-04,281
2024-06-05,288
2024-06-06,290
2024-06-07,290
2024-06-08,286
2024-06-09,285
2024-06-10,270
2024-06-11,284
2024-06-12,288
2024-06-13,291
2024-06-14,283
2024-06-15,262
2024-06-16,266
2024-06-17,267
2024-06-18,268
2024-06-19,266
2024-06-20,265
2024-06-21,265
2024-06-22,264
2024-06-23,260
2024-06-24,261
2024-06-25,261
2024-06-26,266
2024-06-27,264
2024-06-28,266
2024-06-29,269
2024-06-30,269
2024-07-01,272
2024-07-02,269
2024-07-03,268
2024-07-04,268
2024-07-05,269
2024-07-06,269
2024-07-07,270
2024-07-08,271
2024-07-09,271
2024-07-10,269
2024-07-11,268
2024-07-12,269
2024-07-13,270
2024-07-14,270
2024-07-15,271
2024-07-16,271
2024-07-17,269
2024-07-18,269
2024-07-19,266
2024-07-20,263
2024-07-21,269
2024-07-22,269
2024-07-23,268
2024-07-24,269
2024-07-25,269
2024-07-26,267
2024-07-27,272
2024-07-28,274
2024-07-29,272
2024-07-30,272
2024-07-31,274
2024-08-01,271
2024-08-02,273
2024-08-03,274
2024-08-04,274
2024-08-05,276
2024-08-06,276
2024-08-07,275
2024-08-08,274
2024-08-09,270
2024-08-10,272
2024-08-11,280
2024-08-12,286
2024-08-13,287
2024-08-14,285
2024-08-15,284
2024-08-16,284
2024-08-17,281
2024-08-18,257
2024-08-19,258
2024-08-20,258
2024-08-21,259
2024-08-22,260
2024-08-23,287
2024-08-24,287
2024-08-25,288
2024-08-26,289
2024-08-27,290
2024-08-28,290
2024-08-29,290
2024-08-30,290
2024-08-31,291
2024-09-01,287
2024-09-02,288
2024-09-03,288
2024-09-04,286
2024-09-05,286
2024-09-06,285
2024-09-07,286
2024-09-08,284
2024-09-09,285
2024-09-10,284
2024-09-11,286
2024-09-12,284
2024-09-13,273
2024-09-14,274
2024-09-15,275
2024-09-16,275
2024-09-17,274
2024-09-18,274
2024-09-19,275
2024-09-20,275
2024-09-21,275
2024-09-22,274
2024-09-23,273
2024-09-24,273
2024-09-25,272
2024-09-26,273
2024-09-27,269
2024-09-28,270
2024-09-29,274
2024-09-30,276
2024-10-01,277
2024-10-02,277
2024-10-03,275
2024-10-04,271
2024-10-05,271
2024-10-06,271
2024-10-07,272
2024-10-08,272
2024-10-09,276
2024-10-10,269
2024-10-11,253
2024-10-12,248
2024-10-13,254
2024-10-14,264
2024-10-15,269
2024-10-16,270
2024-10-17,270
2024-10-18,269
2024-10-19,269
2024-10-20,269
2024-10-21,271
2024-10-22,271
2024-10-23,271
2024-10-24,271
2024-10-25,270
2024-10-26,270
2024-10-27,269
2024-10-28,269
2024-10-29,269
2024-10-30,269
2024-10-31,268
2024-11-01,256
2024-11-02,253
2024-11-03,253
2024-11-04,252
2024-11-05,252
2024-11-06,254
2024-11-07,257
2024-11-08,257
2024-11-09,257
2024-11-10,257
2024-11-11,257
2024-11-12,257
2024-11-13,257
2024-11-14,257
2024-11-15,257
2024-11-16,257
2024-11-17,257
2024-11-18,257
2024-11-19,257
2024-11-20,257
2024-11-21,256
2024-11-22,257
2024-11-23,257
2024-11-24,257
2024-11-25,257
2024-11-26,257
2024-11-27,247
2024-11-28,257
2024-11-29,257
