date,available
2023-12-18,91
2023-12-19,111
2023-12-20,113
2023-12-21,108
2023-12-22,104
2023-12-23,99
2023-12-24,101
2023-12-25,106
2023-12-26,107
2023-12-27,115
2023-12-28,115
2023-12-29,98
2023-12-30,94
2023-12-31,93
2024-01-01,111
2024-01-02,129
2024-01-03,137
2024-01-04,139
2024-01-05,137
2024-01-06,137
2024-01-07,140
2024-01-08,144
2024-01-09,148
2024-01-10,152
2024-01-11,149
2024-01-12,141
2024-01-13,144
2024-01-14,152
2024-01-15,155
2024-01-16,158
2024-01-17,158
2024-01-18,155
2024-01-19,152
2024-01-20,146
2024-01-21,143
2024-01-22,145
2024-01-23,142
2024-01-24,148
2024-01-25,155
2024-01-26,153
2024-01-27,155
2024-01-28,160
2024-01-29,163
2024-01-30,162
2024-01-31,168
2024-02-01,171
2024-02-02,167
2024-02-03,167
2024-02-04,169
2024-02-05,172
2024-02-06,171
2024-02-07,171
2024-02-08,171
2024-02-09,172
2024-02-10,171
2024-02-11,173
2024-02-12,173
2024-02-13,172
2024-02-14,172
2024-02-15,172
2024-02-16,167
2024-02-17,168
2024-02-18,172
2024-02-19,171
2024-02-20,174
2024-02-21,175
2024-02-22,171
2024-02-23,170
2024-02-24,169
2024-02-25,173
2024-02-26,177
2024-02-27,177
2024-02-28,178
2024-02-29,177
2024-03-01,176
2024-03-02,177
2024-03-03,181
2024-03-04,180
2024-03-05,182
2024-03-06,180
2024-03-07,179
2024-03-08,174
2024-03-09,173
2024-03-10,179
2024-03-11,179
2024-03-12,177
2024-03-13,176
2024-03-14,172
2024-03-15,170
2024-03-16,166
2024-03-17,142
2024-03-18,145
2024-03-19,147
2024-03-20,151
2024-03-21,149
2024-03-22,147
2024-03-23,147
2024-03-24,146
2024-03-25,147
2024-03-26,146
2024-03-27,145
2024-03-28,146
2024-03-29,145
2024-03-30,145
2024-03-31,147
2024-04-01,148
2024-04-02,148
2024-04-03,150
2024-04-04,148
2024-04-05,147
2024-04-06,147
2024-04-07,147
2024-04-08,147
2024-04-09,147
2024-04-10,146
2024-04-11,147
2024-04-12,147
2024-04-13,147
2024-04-14,146
2024-04-15,146
2024-04-16,145
2024-04-17,145
2024-04-18,143
2024-04-19,143
2024-04-20,144
2024-04-21,146
2024-04-22,145
2024-04-23,148
2024-04-24,148
2024-04-25,148
2024-04-26,149
2024-04-27,150
2024-04-28,149
2024-04-29,152
2024-04-30,151
2024-05-01,147
2024-05-02,147
2024-05-03,146
2024-05-04,146
2024-05-05,146
2024-05-06,147
2024-05-07,145
2024-05-08,145
2024-05-09,145
2024-05-10,145
2024-05-11,147
2024-05-12,148
2024-05-13,149
2024-05-14,150
2024-05-15,150
2024-05-16,150
2024-05-17,146
2024-05-18,146
2024-05-19,146
2024-05-20,148
2024-05-21,148
2024-05-22,150
2024-05-23,148
2024-05-24,145
2024-05-25,144
2024-05-26,144
2024-05-27,147
2024-05-28,147
2024-05-29,150
2024-05-30,142
2024-05-31,139
2024-06-01,138
2024-06-02,147
2024-06-03,151
2024-06-04,153
2024-06-05,154
2024-06-06,153
2024-06-07,154
2024-06-08,153
2024-06-09,155
2024-06-10,154
2024-06-11,154
2024-06-12,153
2024-06-13,153
2024-06-14,152
2024-06-15,109
2024-06-16,111
2024-06-17,111
2024-06-18,112
2024-06-19,110
2024-06-20,109
2024-06-21,108
2024-06-22,108
2024-06-23,109
2024-06-24,111
2024-06-25,111
2024-06-26,111
2024-06-27,110
2024-06-28,108
2024-06-29,109
2024-06-30,108
2024-07-01,108
2024-07-02,108
2024-07-03,108
2024-07-04,107
2024-07-05,108
2024-07-06,108
2024-07-07,108
2024-07-08,108
2024-07-09,108
2024-07-10,108
2024-07-11,108
2024-07-12,107
2024-07-13,108
2024-07-14,108
2024-07-15,108
2024-07-16,109
2024-07-17,107
2024-07-18,108
2024-07-19,107
2024-07-20,107
2024-07-21,107
2024-07-22,108
2024-07-23,109
2024-07-24,110
2024-07-25,110
2024-07-26,110
2024-07-27,109
2024-07-28,108
2024-07-29,107
2024-07-30,107
2024-07-31,107
2024-08-01,108
2024-08-02,109
2024-08-03,110
2024-08-04,110
2024-08-05,112
2024-08-06,111
2024-08-07,112
2024-08-08,110
2024-08-09,105
2024-08-10,104
2024-08-11,105
2024-08-12,109
2024-08-13,112
2024-08-14,112
2024-08-15,111
2024-08-16,111
2024-08-17,112
2024-08-18,111
2024-08-19,111
2024-08-20,112
2024-08-21,111
2024-08-22,112
2024-08-23,114
2024-08-24,114
2024-08-25,115
2024-08-26,115
2024-08-27,115
2024-08-28,115
2024-08-29,114
2024-08-30,114
2024-08-31,114
2024-09-01,114
2024-09-02,114
2024-09-03,114
2024-09-04,114
2024-09-05,114
2024-09-06,114
2024-09-07,113
2024-09-08,113
2024-09-09,115
2024-09-10,115
2024-09-11,115
2024-09-12,113
2024-09-13,96
2024-09-14,96
2024-09-15,96
2024-09-16,98
2024-09-17,97
2024-09-18,95
2024-09-19,88
2024-09-20,87
2024-09-21,88
2024-09-22,92
2024-09-23,96
2024-09-24,99
2024-09-25,99
2024-09-26,99
2024-09-27,98
2024-09-28,99
2024-09-29,99
2024-09-30,99
2024-10-01,98
2024-10-02,98
2024-10-03,97
2024-10-04,97
2024-10-05,97
2024-10-06,98
2024-10-07,97
2024-10-08,97
2024-10-09,95
2024-10-10,78
2024-10-11,68
2024-10-12,67
2024-10-13,69
2024-10-14,78
2024-10-15,90
2024-10-16,93
2024-10-17,98
2024-10-18,97
2024-10-19,97
2024-10-20,98
2024-10-21,98
2024-10-22,99
2024-10-23,98
