date,available
2023-12-18,18
2023-12-19,18
2023-12-20,25
2023-12-21,28
2023-12-22,28
2023-12-23,26
2023-12-24,25
2023-12-25,25
2023-12-26,24
2023-12-27,28
2023-12-28,30
2023-12-29,25
2023-12-30,25
2023-12-31,26
2024-01-01,36
2024-01-02,42
2024-01-03,44
2024-01-04,44
2024-01-05,43
2024-01-06,44
2024-01-07,45
2024-01-08,45
2024-01-09,46
2024-01-10,46
2024-01-11,46
2024-01-12,47
2024-01-13,47
2024-01-14,48
2024-01-15,48
2024-01-16,49
2024-01-17,49
2024-01-18,49
2024-01-19,49
2024-01-20,49
2024-01-21,48
2024-01-22,48
2024-01-23,49
2024-01-24,49
2024-01-25,49
2024-01-26,49
2024-01-27,49
2024-01-28,49
2024-01-29,48
2024-01-30,48
2024-01-31,49
2024-02-01,50
2024-02-02,50
2024-02-03,51
2024-02-04,51
2024-02-05,51
2024-02-06,51
2024-02-07,51
2024-02-08,51
2024-02-09,51
2024-02-10,52
2024-02-11,52
2024-02-12,52
2024-02-13,52
2024-02-14,52
2024-02-15,52
2024-02-16,51
2024-02-17,51
2024-02-18,51
2024-02-19,52
2024-02-20,52
2024-02-21,52
2024-02-22,52
2024-02-23,52
2024-02-24,52
2024-02-25,52
2024-02-26,52
2024-02-27,52
2024-02-28,52
2024-02-29,52
2024-03-01,54
2024-03-02,54
2024-03-03,54
2024-03-04,54
2024-03-05,54
2024-03-06,54
2024-03-07,54
2024-03-08,54
2024-03-09,54
2024-03-10,54
2024-03-11,54
2024-03-12,54
2024-03-13,54
2024-03-14,54
2024-03-15,52
2024-03-16,52
2024-03-17,52
2024-03-18,52
2024-03-19,52
2024-03-20,52
2024-03-21,52
2024-03-22,50
2024-03-23,50
2024-03-24,51
2024-03-25,52
2024-03-26,52
2024-03-27,52
2024-03-28,52
2024-03-29,52
2024-03-30,52
2024-03-31,52
2024-04-01,52
2024-04-02,53
2024-04-03,53
2024-04-04,53
2024-04-05,52
2024-04-06,52
2024-04-07,52
2024-04-08,52
2024-04-09,53
2024-04-10,53
2024-04-11,53
2024-04-12,54
2024-04-13,54
2024-04-14,54
2024-04-15,54
2024-04-16,54
2024-04-17,54
2024-04-18,54
2024-04-19,54
2024-04-20,54
2024-04-21,54
2024-04-22,54
2024-04-23,54
2024-04-24,54
2024-04-25,54
2024-04-26,53
2024-04-27,53
2024-04-28,54
2024-04-29,54
2024-04-30,54
2024-05-01,54
2024-05-02,54
2024-05-03,54
2024-05-04,54
2024-05-05,54
2024-05-06,53
2024-05-07,53
2024-05-08,53
2024-05-09,53
2024-05-10,53
2024-05-11,53
2024-05-12,53
2024-05-13,54
2024-05-14,54
2024-05-15,56
2024-05-16,57
2024-05-17,57
2024-05-18,57
2024-05-19,57
2024-05-20,57
2024-05-21,57
2024-05-22,57
2024-05-23,56
2024-05-24,53
2024-05-25,53
2024-05-26,53
2024-05-27,54
2024-05-28,55
2024-05-29,55
2024-05-30,56
2024-05-31,56
2024-06-01,56
2024-06-02,56
2024-06-03,57
2024-06-04,57
2024-06-05,57
2024-06-06,57
2024-06-07,57
2024-06-08,57
2024-06-09,57
2024-06-10,57
2024-06-11,57
2024-06-12,57
2024-06-13,57
2024-06-14,55
2024-06-15,47
2024-06-16,48
2024-06-17,48
2024-06-18,48
2024-06-19,46
2024-06-20,46
2024-06-21,46
2024-06-22,48
2024-06-23,48
2024-06-24,48
2024-06-25,48
2024-06-26,48
2024-06-27,48
2024-06-28,48
2024-06-29,48
2024-06-30,48
2024-07-01,48
2024-07-02,48
2024-07-03,48
2024-07-04,48
2024-07-05,48
2024-07-06,48
2024-07-07,48
2024-07-08,48
2024-07-09,48
2024-07-10,48
2024-07-11,48
2024-07-12,48
2024-07-13,48
2024-07-14,48
2024-07-15,48
2024-07-16,48
2024-07-17,48
2024-07-18,47
2024-07-19,46
2024-07-20,46
2024-07-21,46
2024-07-22,47
2024-07-23,48
2024-07-24,48
2024-07-25,48
2024-07-26,47
2024-07-27,47
2024-07-28,48
2024-07-29,48
2024-07-30,48
2024-07-31,48
2024-08-01,48
2024-08-02,48
2024-08-03,48
2024-08-04,48
2024-08-05,48
2024-08-06,48
2024-08-07,47
2024-08-08,47
2024-08-09,44
2024-08-10,43
2024-08-11,43
2024-08-12,46
2024-08-13,48
2024-08-14,48
2024-08-15,48
2024-08-16,48
2024-08-17,48
2024-08-18,47
2024-08-19,47
2024-08-20,47
2024-08-21,47
2024-08-22,47
2024-08-23,46
2024-08-24,46
2024-08-25,47
2024-08-26,47
2024-08-27,47
2024-08-28,47
2024-08-29,47
2024-08-30,47
2024-08-31,47
2024-09-01,44
2024-09-02,44
2024-09-03,44
2024-09-04,44
2024-09-05,44
2024-09-06,44
2024-09-07,43
2024-09-08,43
2024-09-09,43
2024-09-10,44
2024-09-11,44
2024-09-12,40
2024-09-13,34
2024-09-14,34
2024-09-15,34
2024-09-16,34
2024-09-17,34
2024-09-18,34
2024-09-19,33
2024-09-20,33
2024-09-21,33
2024-09-22,33
2024-09-23,33
2024-09-24,34
2024-09-25,34
2024-09-26,34
2024-09-27,34
2024-09-28,34
2024-09-29,34
2024-09-30,34
2024-10-01,34
2024-10-02,34
2024-10-03,34
2024-10-04,33
2024-10-05,33
2024-10-06,33
2024-10-07,33
2024-10-08,31
2024-10-09,30
2024-10-10,28
2024-10-11,24
2024-10-12,21
2024-10-13,21
2024-10-14,28
2024-10-15,33
2024-10-16,34
2024-10-17,34
2024-10-18,34
2024-10-19,34
2024-10-20,34
2024-10-21,34
2024-10-22,34
2024-10-23,34
2024-10-24,34
2024-10-25,34
2024-10-26,34
2024-10-27,34
2024-10-28,34
2024-10-29,34
2024-10-30,34
2024-10-31,34
2024-11-01,34
2024-11-02,35
2024-11-03,35
2024-11-04,35
2024-11-05,35
2024-11-06,35
2024-11-07,35
2024-11-08,35
2024-11-09,35
2024-11-10,35
2024-11-11,35
2024-11-12,35
2024-11-13,35
2024-11-14,35
2024-11-15,35
2024-11-16,35
2024-11-17,35
2024-11-18,35
2024-11-19,35
2024-11-20,35
2024-11-21,35
2024-11-22,35
2024-11-23,35
2024-11-24,35
2024-11-25,35
2024-11-26,35
2024-11-27,35
2024-11-28,35
2024-11-29,35
2024-11-30,35
2024-12-01,35
2024-12-02,35
2024-12-03,35
2024-12-04,35
2024-12-05,35
2024-12-06,35
2024-12-07,35
2024-12-08,35
2024-12-09,35
2024-12-10,35
2024-12-11,35
2024-12-12,35
2024-12-13,35
2024-12-14,35
2024-12-15,35
2024-12-16,30
