date,available
2023-12-18,500
2023-12-19,570
2023-12-20,581
2023-12-21,618
2023-12-22,602
2023-12-23,613
2023-12-24,631
2023-12-25,650
2023-12-26,635
2023-12-27,624
2023-12-28,607
2023-12-29,567
2023-12-30,520
2023-12-31,505
2024-01-01,686
2024-01-02,730
2024-01-03,744
2024-01-04,751
2024-01-05,751
2024-01-06,757
2024-01-07,782
2024-01-08,799
2024-01-09,795
2024-01-10,798
2024-01-11,793
2024-01-12,764
2024-01-13,702
2024-01-14,733
2024-01-15,813
2024-01-16,822
2024-01-17,820
2024-01-18,813
2024-01-19,794
2024-01-20,733
2024-01-21,685
2024-01-22,674
2024-01-23,696
2024-01-24,736
2024-01-25,813
2024-01-26,807
2024-01-27,816
2024-01-28,837
2024-01-29,850
2024-01-30,853
2024-01-31,847
2024-02-01,843
2024-02-02,832
2024-02-03,835
2024-02-04,860
2024-02-05,862
2024-02-06,862
2024-02-07,862
2024-02-08,864
2024-02-09,830
2024-02-10,830
2024-02-11,879
2024-02-12,882
2024-02-13,879
2024-02-14,878
2024-02-15,863
2024-02-16,827
2024-02-17,799
2024-02-18,812
2024-02-19,848
2024-02-20,878
2024-02-21,846
2024-02-22,838
2024-02-23,813
2024-02-24,786
2024-02-25,880
2024-02-26,880
2024-02-27,884
2024-02-28,886
2024-02-29,886
2024-03-01,849
2024-03-02,825
2024-03-03,880
2024-03-04,884
2024-03-05,887
2024-03-06,887
2024-03-07,875
2024-03-08,820
2024-03-09,809
2024-03-10,860
2024-03-11,880
2024-03-12,880
2024-03-13,875
2024-03-14,848
2024-03-15,781
2024-03-16,760
2024-03-17,745
2024-03-18,773
2024-03-19,824
2024-03-20,828
2024-03-21,819
2024-03-22,783
2024-03-23,767
2024-03-24,827
2024-03-25,831
2024-03-26,828
2024-03-27,825
2024-03-28,818
2024-03-29,769
2024-03-30,767
2024-03-31,815
2024-04-01,825
2024-04-02,819
2024-04-03,823
2024-04-04,820
2024-04-05,789
2024-04-06,776
2024-04-07,811
2024-04-08,835
2024-04-09,835
2024-04-10,831
2024-04-11,816
2024-04-12,771
2024-04-13,774
2024-04-14,806
2024-04-15,828
2024-04-16,824
2024-04-17,817
2024-04-18,806
2024-04-19,778
2024-04-20,764
2024-04-21,825
2024-04-22,827
2024-04-23,833
2024-04-24,833
2024-04-25,824
2024-04-26,765
2024-04-27,765
2024-04-28,827
2024-04-29,833
2024-04-30,836
2024-05-01,819
2024-05-02,817
2024-05-03,802
2024-05-04,749
2024-05-05,752
2024-05-06,757
2024-05-07,758
2024-05-08,762
2024-05-09,802
2024-05-10,773
2024-05-11,754
2024-05-12,823
2024-05-13,824
2024-05-14,824
2024-05-15,813
2024-05-16,781
2024-05-17,742
2024-05-18,723
2024-05-19,736
2024-05-20,744
2024-05-21,803
2024-05-22,815
2024-05-23,817
2024-05-24,751
2024-05-25,747
2024-05-26,751
2024-05-27,815
2024-05-28,815
2024-05-29,811
2024-05-30,744
2024-05-31,682
2024-06-01,671
2024-06-02,703
2024-06-03,721
2024-06-04,764
2024-06-05,810
2024-06-06,803
2024-06-07,792
2024-06-08,733
2024-06-09,730
2024-06-10,731
2024-06-11,747
2024-06-12,807
2024-06-13,798
2024-06-14,737
2024-06-15,657
2024-06-16,700
2024-06-17,737
2024-06-18,737
2024-06-19,735
2024-06-20,720
2024-06-21,678
2024-06-22,674
2024-06-23,662
2024-06-24,665
2024-06-25,666
2024-06-26,720
2024-06-27,692
2024-06-28,677
2024-06-29,653
2024-06-30,730
2024-07-01,732
2024-07-02,734
2024-07-03,732
2024-07-04,700
2024-07-05,673
2024-07-06,669
2024-07-07,702
2024-07-08,732
2024-07-09,735
2024-07-10,731
2024-07-11,732
2024-07-12,697
2024-07-13,672
2024-07-14,705
2024-07-15,737
2024-07-16,737
2024-07-17,733
2024-07-18,701
2024-07-19,669
2024-07-20,668
2024-07-21,677
2024-07-22,703
2024-07-23,706
2024-07-24,705
2024-07-25,706
2024-07-26,702
2024-07-27,674
2024-07-28,682
2024-07-29,683
2024-07-30,685
2024-07-31,684
2024-08-01,676
