date,available
2023-12-18,268
2023-12-19,307
2023-12-20,313
2023-12-21,320
2023-12-22,302
2023-12-23,299
2023-12-24,296
2023-12-25,299
2023-12-26,305
2023-12-27,303
2023-12-28,303
2023-12-29,307
2023-12-30,302
2023-12-31,312
2024-01-01,351
2024-01-02,369
2024-01-03,372
2024-01-04,374
2024-01-05,377
2024-01-06,382
2024-01-07,395
2024-01-08,394
2024-01-09,387
2024-01-10,386
2024-01-11,394
2024-01-12,381
2024-01-13,380
2024-01-14,399
2024-01-15,396
2024-01-16,400
2024-01-17,402
2024-01-18,401
2024-01-19,395
2024-01-20,384
2024-01-21,390
2024-01-22,388
2024-01-23,386
2024-01-24,401
2024-01-25,404
2024-01-26,400
2024-01-27,402
2024-01-28,416
2024-01-29,414
2024-01-30,415
2024-01-31,414
2024-02-01,412
2024-02-02,408
2024-02-03,409
2024-02-04,416
2024-02-05,420
2024-02-06,421
2024-02-07,421
2024-02-08,413
2024-02-09,413
2024-02-10,411
2024-02-11,417
2024-02-12,418
2024-02-13,418
2024-02-14,418
2024-02-15,413
2024-02-16,410
2024-02-17,412
2024-02-18,418
2024-02-19,422
2024-02-20,421
2024-02-21,420
2024-02-22,414
2024-02-23,409
2024-02-24,412
2024-02-25,422
2024-02-26,424
2024-02-27,423
2024-02-28,424
2024-02-29,425
2024-03-01,432
2024-03-02,437
2024-03-03,442
2024-03-04,439
2024-03-05,437
2024-03-06,434
2024-03-07,429
2024-03-08,431
2024-03-09,436
2024-03-10,445
2024-03-11,444
2024-03-12,442
2024-03-13,439
2024-03-14,427
2024-03-15,421
2024-03-16,417
2024-03-17,405
2024-03-18,412
2024-03-19,410
2024-03-20,412
2024-03-21,411
2024-03-22,406
2024-03-23,409
2024-03-24,418
2024-03-25,416
2024-03-26,416
2024-03-27,421
2024-03-28,422
2024-03-29,422
2024-03-30,422
2024-03-31,433
2024-04-01,441
2024-04-02,441
2024-04-03,437
2024-04-04,432
2024-04-05,431
2024-04-06,429
2024-04-07,435
2024-04-08,430
2024-04-09,434
2024-04-10,433
2024-04-11,431
2024-04-12,434
2024-04-13,434
2024-04-14,436
2024-04-15,436
2024-04-16,435
2024-04-17,435
2024-04-18,434
2024-04-19,433
2024-04-20,433
2024-04-21,434
2024-04-22,441
2024-04-23,440
2024-04-24,439
2024-04-25,437
2024-04-26,434
2024-04-27,433
2024-04-28,435
2024-04-29,438
2024-04-30,439
2024-05-01,438
2024-05-02,435
2024-05-03,432
2024-05-04,434
2024-05-05,438
2024-05-06,440
2024-05-07,441
2024-05-08,440
2024-05-09,438
2024-05-10,435
2024-05-11,436
2024-05-12,438
2024-05-13,440
2024-05-14,440
2024-05-15,437
2024-05-16,433
2024-05-17,431
2024-05-18,428
2024-05-19,429
2024-05-20,427
2024-05-21,430
2024-05-22,429
2024-05-23,428
2024-05-24,428
2024-05-25,428
2024-05-26,432
2024-05-27,436
2024-05-28,437
2024-05-29,433
2024-05-30,428
2024-05-31,426
2024-06-01,418
2024-06-02,421
2024-06-03,429
2024-06-04,429
2024-06-05,431
2024-06-06,424
2024-06-07,415
2024-06-08,415
2024-06-09,417
2024-06-10,419
2024-06-11,426
2024-06-12,431
2024-06-13,429
2024-06-14,428
2024-06-15,394
2024-06-16,395
2024-06-17,395
2024-06-18,395
2024-06-19,393
2024-06-20,387
2024-06-21,385
2024-06-22,384
2024-06-23,390
2024-06-24,392
2024-06-25,393
2024-06-26,396
2024-06-27,398
2024-06-28,397
2024-06-29,398
2024-06-30,402
2024-07-01,405
2024-07-02,405
2024-07-03,405
2024-07-04,405
2024-07-05,404
2024-07-06,404
2024-07-07,404
2024-07-08,404
2024-07-09,404
2024-07-10,398
2024-07-11,390
2024-07-12,386
2024-07-13,386
2024-07-14,394
2024-07-15,405
2024-07-16,404
2024-07-17,404
2024-07-18,403
2024-07-19,401
2024-07-20,398
2024-07-21,401
2024-07-22,402
2024-07-23,401
2024-07-24,401
2024-07-25,401
2024-07-26,402
2024-07-27,404
2024-07-28,406
2024-07-29,404
2024-07-30,405
2024-07-31,402
2024-08-01,398
2024-08-02,395
2024-08-03,396
2024-08-04,398
2024-08-05,405
2024-08-06,405
2024-08-07,402
2024-08-08,401
2024-08-09,396
2024-08-10,396
2024-08-11,403
2024-08-12,408
2024-08-13,406
2024-08-14,408
2024-08-15,406
2024-08-16,406
2024-08-17,402
2024-08-18,387
2024-08-19,378
2024-08-20,377
2024-08-21,377
2024-08-22,385
2024-08-23,403
2024-08-24,405
2024-08-25,410
2024-08-26,410
2024-08-27,411
2024-08-28,409
2024-08-29,403
2024-08-30,399
2024-08-31,397
2024-09-01,386
2024-09-02,396
2024-09-03,401
2024-09-04,402
2024-09-05,400
2024-09-06,400
2024-09-07,401
2024-09-08,399
2024-09-09,399
2024-09-10,396
2024-09-11,394
2024-09-12,392
2024-09-13,348
2024-09-14,350
2024-09-15,356
2024-09-16,356
2024-09-17,357
2024-09-18,355
2024-09-19,350
2024-09-20,347
2024-09-21,347
2024-09-22,351
2024-09-23,359
2024-09-24,359
2024-09-25,359
2024-09-26,358
2024-09-27,357
2024-09-28,357
2024-09-29,357
2024-09-30,358
2024-10-01,356
2024-10-02,356
2024-10-03,352
2024-10-04,351
2024-10-05,353
2024-10-06,355
2024-10-07,355
2024-10-08,353
2024-10-09,353
2024-10-10,329
2024-10-11,310
2024-10-12,306
2024-10-13,309
2024-10-14,339
2024-10-15,349
2024-10-16,353
2024-10-17,351
2024-10-18,352
2024-10-19,352
2024-10-20,356
2024-10-21,356
2024-10-22,356
2024-10-23,356
2024-10-24,356
2024-10-25,353
2024-10-26,353
2024-10-27,358
2024-10-28,358
2024-10-29,358
2024-10-30,358
2024-10-31,358
2024-11-01,349
2024-11-02,346
2024-11-03,338
2024-11-04,338
2024-11-05,338
2024-11-06,341
2024-11-07,341
2024-11-08,341
2024-11-09,341
2024-11-10,341
2024-11-11,341
2024-11-12,341
2024-11-13,341
2024-11-14,341
2024-11-15,340
2024-11-16,340
2024-11-17,339
2024-11-18,339
2024-11-19,339
2024-11-20,339
2024-11-21,339
2024-11-22,339
2024-11-23,339
2024-11-24,339
2024-11-25,339
2024-11-26,339
2024-11-27,339
2024-11-28,339
2024-11-29,339
2024-11-30,339
2024-12-01,332
2024-12-02,332
2024-12-03,331
2024-12-04,331
