date,available
2023-12-18,28
2023-12-19,38
2023-12-20,40
2023-12-21,38
2023-12-22,38
2023-12-23,35
2023-12-24,32
2023-12-25,33
2023-12-26,38
2023-12-27,38
2023-12-28,38
2023-12-29,34
2023-12-30,34
2023-12-31,33
2024-01-01,37
2024-01-02,39
2024-01-03,41
2024-01-04,40
2024-01-05,38
2024-01-06,37
2024-01-07,40
2024-01-08,41
2024-01-09,41
2024-01-10,41
2024-01-11,41
2024-01-12,40
2024-01-13,40
2024-01-14,41
2024-01-15,41
2024-01-16,41
2024-01-17,41
2024-01-18,41
2024-01-19,39
2024-01-20,39
2024-01-21,41
2024-01-22,41
2024-01-23,41
2024-01-24,41
2024-01-25,40
2024-01-26,40
2024-01-27,40
2024-01-28,42
2024-01-29,42
2024-01-30,42
2024-01-31,42
2024-02-01,42
2024-02-02,43
2024-02-03,42
2024-02-04,42
2024-02-05,42
2024-02-06,42
2024-02-07,42
2024-02-08,40
2024-02-09,40
2024-02-10,40
2024-02-11,40
2024-02-12,42
2024-02-13,42
2024-02-14,43
2024-02-15,43
2024-02-16,43
2024-02-17,43
2024-02-18,43
2024-02-19,42
2024-02-20,42
2024-02-21,42
2024-02-22,42
2024-02-23,42
2024-02-24,42
2024-02-25,43
2024-02-26,44
2024-02-27,44
2024-02-28,44
2024-02-29,44
2024-03-01,44
2024-03-02,44
2024-03-03,44
2024-03-04,45
2024-03-05,45
2024-03-06,45
2024-03-07,45
2024-03-08,45
2024-03-09,45
2024-03-10,45
2024-03-11,45
2024-03-12,44
2024-03-13,44
2024-03-14,44
2024-03-15,44
2024-03-16,45
2024-03-17,38
2024-03-18,38
2024-03-19,38
2024-03-20,38
2024-03-21,38
2024-03-22,38
2024-03-23,37
2024-03-24,36
2024-03-25,36
2024-03-26,35
2024-03-27,35
2024-03-28,35
2024-03-29,36
2024-03-30,37
2024-03-31,38
2024-04-01,38
2024-04-02,39
2024-04-03,39
2024-04-04,39
2024-04-05,39
2024-04-06,39
2024-04-07,39
