date,available
2023-12-18,41
2023-12-19,57
2023-12-20,60
2023-12-21,61
2023-12-22,53
2023-12-23,44
2023-12-24,46
2023-12-25,49
2023-12-26,54
2023-12-27,50
2023-12-28,49
2023-12-29,43
2023-12-30,40
2023-12-31,44
2024-01-01,55
2024-01-02,62
2024-01-03,69
2024-01-04,71
2024-01-05,71
2024-01-06,73
2024-01-07,83
2024-01-08,85
2024-01-09,84
2024-01-10,84
2024-01-11,83
2024-01-12,76
2024-01-13,74
2024-01-14,75
2024-01-15,83
2024-01-16,84
2024-01-17,85
2024-01-18,81
2024-01-19,78
2024-01-20,78
2024-01-21,82
2024-01-22,85
2024-01-23,85
2024-01-24,84
2024-01-25,82
2024-01-26,82
2024-01-27,82
2024-01-28,82
2024-01-29,83
2024-01-30,84
2024-01-31,84
2024-02-01,81
2024-02-02,80
2024-02-03,81
2024-02-04,81
2024-02-05,84
2024-02-06,85
2024-02-07,83
2024-02-08,82
2024-02-09,80
2024-02-10,81
2024-02-11,81
2024-02-12,82
2024-02-13,83
2024-02-14,83
2024-02-15,83
2024-02-16,83
2024-02-17,84
2024-02-18,83
2024-02-19,86
2024-02-20,86
2024-02-21,83
2024-02-22,82
2024-02-23,80
2024-02-24,81
2024-02-25,83
2024-02-26,83
2024-02-27,83
2024-02-28,84
2024-02-29,84
2024-03-01,84
2024-03-02,84
2024-03-03,84
2024-03-04,84
2024-03-05,86
2024-03-06,87
2024-03-07,86
2024-03-08,86
2024-03-09,86
2024-03-10,86
2024-03-11,86
2024-03-12,85
2024-03-13,85
2024-03-14,85
2024-03-15,82
2024-03-16,79
2024-03-17,76
2024-03-18,74
2024-03-19,74
2024-03-20,76
2024-03-21,77
2024-03-22,76
2024-03-23,76
2024-03-24,77
2024-03-25,77
2024-03-26,77
2024-03-27,76
2024-03-28,75
2024-03-29,74
2024-03-30,74
2024-03-31,75
2024-04-01,71
2024-04-02,72
2024-04-03,72
2024-04-04,72
2024-04-05,72
2024-04-06,73
2024-04-07,73
2024-04-08,72
2024-04-09,74
2024-04-10,74
2024-04-11,75
2024-04-12,75
2024-04-13,75
2024-04-14,75
2024-04-15,75
2024-04-16,75
2024-04-17,73
2024-04-18,74
2024-04-19,74
2024-04-20,74
2024-04-21,75
2024-04-22,74
2024-04-23,75
2024-04-24,74
2024-04-25,75
2024-04-26,75
2024-04-27,74
2024-04-28,73
2024-04-29,73
2024-04-30,73
2024-05-01,68
2024-05-02,69
2024-05-03,69
2024-05-04,69
2024-05-05,71
2024-05-06,71
2024-05-07,71
2024-05-08,70
2024-05-09,70
2024-05-10,71
2024-05-11,71
2024-05-12,71
2024-05-13,70
2024-05-14,72
2024-05-15,70
2024-05-16,70
2024-05-17,70
2024-05-18,69
2024-05-19,72
2024-05-20,74
2024-05-21,74
2024-05-22,71
2024-05-23,72
2024-05-24,73
2024-05-25,72
2024-05-26,72
2024-05-27,73
2024-05-28,73
2024-05-29,71
2024-05-30,73
2024-05-31,72
2024-06-01,73
2024-06-02,73
2024-06-03,74
2024-06-04,75
2024-06-05,73
2024-06-06,75
2024-06-07,73
2024-06-08,71
2024-06-09,72
2024-06-10,74
2024-06-11,75
2024-06-12,69
2024-06-13,70
2024-06-14,68
2024-06-15,35
2024-06-16,39
2024-06-17,40
2024-06-18,40
2024-06-19,37
2024-06-20,36
2024-06-21,35
2024-06-22,35
2024-06-23,35
2024-06-24,36
2024-06-25,36
2024-06-26,37
2024-06-27,37
2024-06-28,36
2024-06-29,35
2024-06-30,35
2024-07-01,35
2024-07-02,36
2024-07-03,36
2024-07-04,36
2024-07-05,36
2024-07-06,35
2024-07-07,35
2024-07-08,36
2024-07-09,35
2024-07-10,36
2024-07-11,36
2024-07-12,36
2024-07-13,36
2024-07-14,35
2024-07-15,36
2024-07-16,35
2024-07-17,36
2024-07-18,36
2024-07-19,36
2024-07-20,35
2024-07-21,35
2024-07-22,36
2024-07-23,36
2024-07-24,36
2024-07-25,36
2024-07-26,36
2024-07-27,36
2024-07-28,37
2024-07-29,37
2024-07-30,37
2024-07-31,36
2024-08-01,39
2024-08-02,39
2024-08-03,38
2024-08-04,38
2024-08-05,39
2024-08-06,39
2024-08-07,39
2024-08-08,36
2024-08-09,38
2024-08-10,37
2024-08-11,38
2024-08-12,37
2024-08-13,39
2024-08-14,39
2024-08-15,40
2024-08-16,40
2024-08-17,39
2024-08-18,39
2024-08-19,39
2024-08-20,40
2024-08-21,40
2024-08-22,39
2024-08-23,39
2024-08-24,38
2024-08-25,39
2024-08-26,39
2024-08-27,39
2024-08-28,40
2024-08-29,40
2024-08-30,40
2024-08-31,39
2024-09-01,39
2024-09-02,41
2024-09-03,41
2024-09-04,40
2024-09-05,40
2024-09-06,41
2024-09-07,40
2024-09-08,40
2024-09-09,40
2024-09-10,41
2024-09-11,41
2024-09-12,35
2024-09-13,22
2024-09-14,22
2024-09-15,21
2024-09-16,21
2024-09-17,21
2024-09-18,22
2024-09-19,21
2024-09-20,21
2024-09-21,21
2024-09-22,21
2024-09-23,21
2024-09-24,22
2024-09-25,22
2024-09-26,22
2024-09-27,22
2024-09-28,22
2024-09-29,22
2024-09-30,22
2024-10-01,20
2024-10-02,20
2024-10-03,20
2024-10-04,21
2024-10-05,21
2024-10-06,21
2024-10-07,20
2024-10-08,20
2024-10-09,20
2024-10-10,19
2024-10-11,18
2024-10-12,17
2024-10-13,17
2024-10-14,20
2024-10-15,21
2024-10-16,21
2024-10-17,21
2024-10-18,21
2024-10-19,20
2024-10-20,20
2024-10-21,21
2024-10-22,21
2024-10-23,22
2024-10-24,21
2024-10-25,21
2024-10-26,21
2024-10-27,21
2024-10-28,21
2024-10-29,21
2024-10-30,21
2024-10-31,21
2024-11-01,22
2024-11-02,22
2024-11-03,22
2024-11-04,21
2024-11-05,22
2024-11-06,22
2024-11-07,22
2024-11-08,22
2024-11-09,22
2024-11-10,21
2024-11-11,21
2024-11-12,21
2024-11-13,22
2024-11-14,21
2024-11-15,22
2024-11-16,22
2024-11-17,22
2024-11-18,23
2024-11-19,22
2024-11-20,23
2024-11-21,23
2024-11-22,23
2024-11-23,23
2024-11-24,23
2024-11-25,22
2024-11-26,22
2024-11-27,22
2024-11-28,23
2024-11-29,23
2024-11-30,23
2024-12-01,23
2024-12-02,23
2024-12-03,23
2024-12-04,23
2024-12-05,23
2024-12-06,23
2024-12-07,23
2024-12-08,23
2024-12-09,23
2024-12-10,23
2024-12-11,23
2024-12-12,23
2024-12-13,23
2024-12-14,22
2024-12-15,22
2024-12-16,20
