date,available
2023-12-18,59
2023-12-19,81
2023-12-20,85
2023-12-21,85
2023-12-22,79
2023-12-23,72
2023-12-24,70
2023-12-25,74
2023-12-26,88
2023-12-27,85
2023-12-28,85
2023-12-29,81
2023-12-30,78
2023-12-31,81
2024-01-01,92
2024-01-02,99
2024-01-03,105
2024-01-04,107
2024-01-05,104
2024-01-06,110
2024-01-07,112
2024-01-08,115
2024-01-09,112
2024-01-10,112
2024-01-11,108
2024-01-12,105
2024-01-13,103
2024-01-14,107
2024-01-15,110
2024-01-16,115
2024-01-17,119
2024-01-18,119
2024-01-19,121
2024-01-20,119
2024-01-21,120
2024-01-22,121
2024-01-23,120
2024-01-24,121
2024-01-25,121
2024-01-26,119
2024-01-27,119
2024-01-28,122
2024-01-29,124
2024-01-30,124
2024-01-31,125
2024-02-01,126
2024-02-02,126
2024-02-03,126
2024-02-04,128
2024-02-05,128
2024-02-06,128
2024-02-07,129
2024-02-08,130
2024-02-09,128
2024-02-10,127
2024-02-11,127
2024-02-12,129
2024-02-13,129
2024-02-14,128
2024-02-15,129
2024-02-16,128
2024-02-17,127
2024-02-18,127
2024-02-19,129
2024-02-20,129
2024-02-21,129
2024-02-22,130
2024-02-23,128
2024-02-24,128
2024-02-25,130
2024-02-26,130
2024-02-27,130
2024-02-28,131
2024-02-29,131
2024-03-01,132
2024-03-02,132
2024-03-03,133
2024-03-04,133
2024-03-05,132
2024-03-06,133
2024-03-07,131
2024-03-08,132
2024-03-09,130
2024-03-10,131
2024-03-11,130
2024-03-12,129
2024-03-13,129
2024-03-14,129
2024-03-15,128
2024-03-16,126
2024-03-17,117
2024-03-18,118
2024-03-19,119
2024-03-20,120
2024-03-21,120
2024-03-22,120
2024-03-23,119
2024-03-24,119
2024-03-25,120
2024-03-26,121
2024-03-27,121
2024-03-28,119
2024-03-29,120
2024-03-30,118
2024-03-31,119
2024-04-01,117
2024-04-02,118
2024-04-03,119
2024-04-04,119
2024-04-05,118
2024-04-06,118
2024-04-07,120
2024-04-08,121
2024-04-09,121
2024-04-10,121
2024-04-11,121
2024-04-12,120
2024-04-13,119
2024-04-14,119
2024-04-15,119
2024-04-16,120
2024-04-17,120
2024-04-18,119
2024-04-19,119
