date,available
2023-12-18,32
2023-12-19,36
2023-12-20,36
2023-12-21,35
2023-12-22,36
2023-12-23,35
2023-12-24,34
2023-12-25,34
2023-12-26,35
2023-12-27,34
2023-12-28,34
2023-12-29,35
2023-12-30,34
2023-12-31,33
2024-01-01,37
2024-01-02,40
2024-01-03,40
2024-01-04,40
2024-01-05,40
2024-01-06,40
2024-01-07,40
2024-01-08,41
2024-01-09,41
2024-01-10,42
2024-01-11,41
2024-01-12,40
2024-01-13,40
2024-01-14,42
2024-01-15,43
2024-01-16,42
2024-01-17,42
2024-01-18,42
2024-01-19,41
2024-01-20,40
2024-01-21,40
2024-01-22,42
2024-01-23,41
2024-01-24,41
2024-01-25,41
2024-01-26,41
2024-01-27,41
2024-01-28,41
2024-01-29,43
2024-01-30,43
2024-01-31,43
2024-02-01,44
2024-02-02,44
2024-02-03,44
2024-02-04,44
2024-02-05,44
2024-02-06,43
2024-02-07,43
2024-02-08,43
2024-02-09,43
2024-02-10,43
2024-02-11,44
2024-02-12,44
2024-02-13,44
2024-02-14,43
2024-02-15,43
2024-02-16,43
2024-02-17,43
2024-02-18,43
2024-02-19,43
2024-02-20,43
2024-02-21,44
2024-02-22,43
2024-02-23,43
2024-02-24,43
2024-02-25,44
2024-02-26,44
2024-02-27,44
2024-02-28,44
2024-02-29,44
2024-03-01,44
2024-03-02,44
2024-03-03,44
2024-03-04,44
2024-03-05,44
2024-03-06,44
2024-03-07,44
2024-03-08,44
2024-03-09,44
2024-03-10,44
2024-03-11,43
2024-03-12,43
2024-03-13,43
2024-03-14,43
2024-03-15,42
2024-03-16,40
2024-03-17,29
2024-03-18,30
2024-03-19,30
2024-03-20,30
2024-03-21,31
2024-03-22,31
2024-03-23,31
2024-03-24,31
2024-03-25,31
2024-03-26,31
2024-03-27,31
2024-03-28,31
2024-03-29,31
2024-03-30,31
2024-03-31,31
2024-04-01,29
2024-04-02,30
2024-04-03,30
2024-04-04,30
2024-04-05,29
2024-04-06,29
2024-04-07,29
2024-04-08,30
2024-04-09,30
2024-04-10,30
2024-04-11,30
2024-04-12,30
2024-04-13,30
2024-04-14,30
2024-04-15,30
2024-04-16,30
2024-04-17,30
2024-04-18,29
2024-04-19,29
2024-04-20,30
2024-04-21,30
2024-04-22,30
2024-04-23,30
2024-04-24,30
2024-04-25,30
2024-04-26,30
2024-04-27,30
2024-04-28,31
2024-04-29,31
2024-04-30,31
2024-05-01,30
2024-05-02,29
2024-05-03,29
2024-05-04,29
2024-05-05,29
2024-05-06,29
2024-05-07,29
2024-05-08,28
2024-05-09,28
2024-05-10,28
2024-05-11,28
2024-05-12,28
2024-05-13,29
2024-05-14,29
2024-05-15,30
2024-05-16,30
2024-05-17,30
2024-05-18,30
2024-05-19,31
2024-05-20,30
2024-05-21,30
2024-05-22,30
2024-05-23,30
2024-05-24,29
2024-05-25,28
2024-05-26,28
2024-05-27,30
2024-05-28,30
2024-05-29,30
2024-05-30,30
2024-05-31,30
2024-06-01,30
2024-06-02,30
2024-06-03,30
2024-06-04,30
2024-06-05,30
2024-06-06,30
2024-06-07,30
2024-06-08,30
2024-06-09,30
2024-06-10,30
2024-06-11,30
2024-06-12,30
2024-06-13,30
2024-06-14,29
2024-06-15,24
2024-06-16,24
2024-06-17,24
2024-06-18,24
2024-06-19,23
2024-06-20,23
2024-06-21,23
2024-06-22,23
2024-06-23,23
2024-06-24,23
2024-06-25,23
2024-06-26,24
2024-06-27,24
2024-06-28,24
2024-06-29,24
2024-06-30,24
2024-07-01,24
2024-07-02,24
2024-07-03,24
2024-07-04,24
2024-07-05,24
2024-07-06,24
2024-07-07,24
2024-07-08,24
2024-07-09,24
2024-07-10,24
2024-07-11,24
2024-07-12,24
2024-07-13,24
2024-07-14,24
2024-07-15,24
2024-07-16,24
2024-07-17,24
2024-07-18,24
2024-07-19,24
2024-07-20,24
2024-07-21,24
2024-07-22,24
2024-07-23,24
2024-07-24,24
2024-07-25,24
2024-07-26,24
2024-07-27,24
2024-07-28,24
2024-07-29,24
2024-07-30,24
2024-07-31,24
2024-08-01,23
2024-08-02,23
2024-08-03,23
2024-08-04,23
2024-08-05,23
2024-08-06,23
2024-08-07,24
2024-08-08,23
2024-08-09,23
2024-08-10,23
2024-08-11,23
2024-08-12,24
2024-08-13,24
2024-08-14,24
2024-08-15,24
2024-08-16,24
2024-08-17,24
2024-08-18,23
2024-08-19,22
2024-08-20,22
2024-08-21,23
2024-08-22,23
2024-08-23,24
2024-08-24,24
2024-08-25,23
2024-08-26,23
2024-08-27,23
2024-08-28,23
2024-08-29,24
2024-08-30,24
2024-08-31,24
2024-09-01,24
2024-09-02,24
2024-09-03,24
2024-09-04,24
