date,available
2023-12-18,58
2023-12-19,74
2023-12-20,76
2023-12-21,76
2023-12-22,69
2023-12-23,69
2023-12-24,69
2023-12-25,73
2023-12-26,78
2023-12-27,78
2023-12-28,76
2023-12-29,78
2023-12-30,73
2023-12-31,72
2024-01-01,76
2024-01-02,87
2024-01-03,90
2024-01-04,90
2024-01-05,88
2024-01-06,85
2024-01-07,86
2024-01-08,89
2024-01-09,90
2024-01-10,90
2024-01-11,89
2024-01-12,88
2024-01-13,88
2024-01-14,91
2024-01-15,92
2024-01-16,92
2024-01-17,93
2024-01-18,93
2024-01-19,95
2024-01-20,94
2024-01-21,95
2024-01-22,95
2024-01-23,94
2024-01-24,94
2024-01-25,94
2024-01-26,94
2024-01-27,94
2024-01-28,94
2024-01-29,95
2024-01-30,96
2024-01-31,98
2024-02-01,101
2024-02-02,102
2024-02-03,102
2024-02-04,101
2024-02-05,99
2024-02-06,99
2024-02-07,101
2024-02-08,102
2024-02-09,101
2024-02-10,101
2024-02-11,102
2024-02-12,103
2024-02-13,103
2024-02-14,103
2024-02-15,103
2024-02-16,102
2024-02-17,104
2024-02-18,105
2024-02-19,105
2024-02-20,105
2024-02-21,105
2024-02-22,104
2024-02-23,103
2024-02-24,103
2024-02-25,104
2024-02-26,105
2024-02-27,107
2024-02-28,108
2024-02-29,108
2024-03-01,108
2024-03-02,108
2024-03-03,108
2024-03-04,108
2024-03-05,108
2024-03-06,106
2024-03-07,106
2024-03-08,106
2024-03-09,106
2024-03-10,106
2024-03-11,106
2024-03-12,106
2024-03-13,106
2024-03-14,106
2024-03-15,106
2024-03-16,102
2024-03-17,93
2024-03-18,93
2024-03-19,93
2024-03-20,93
2024-03-21,93
2024-03-22,92
2024-03-23,92
2024-03-24,91
2024-03-25,91
2024-03-26,91
2024-03-27,92
2024-03-28,92
2024-03-29,93
2024-03-30,93
2024-03-31,95
2024-04-01,94
2024-04-02,94
2024-04-03,92
2024-04-04,92
2024-04-05,92
2024-04-06,92
2024-04-07,92
2024-04-08,92
2024-04-09,92
2024-04-10,94
2024-04-11,94
2024-04-12,94
2024-04-13,94
2024-04-14,94
2024-04-15,94
2024-04-16,93
2024-04-17,92
2024-04-18,92
2024-04-19,92
2024-04-20,92
2024-04-21,92
2024-04-22,92
2024-04-23,92
2024-04-24,94
2024-04-25,95
2024-04-26,95
2024-04-27,95
2024-04-28,95
2024-04-29,95
2024-04-30,94
2024-05-01,94
2024-05-02,94
2024-05-03,94
2024-05-04,95
2024-05-05,95
2024-05-06,95
2024-05-07,95
2024-05-08,95
2024-05-09,95
2024-05-10,95
2024-05-11,95
2024-05-12,95
2024-05-13,95
2024-05-14,95
2024-05-15,95
2024-05-16,96
2024-05-17,96
2024-05-18,96
2024-05-19,96
2024-05-20,96
2024-05-21,98
2024-05-22,97
2024-05-23,97
2024-05-24,97
2024-05-25,97
2024-05-26,97
2024-05-27,97
2024-05-28,97
