date,available
2023-12-18,68
2023-12-19,92
2023-12-20,103
2023-12-21,93
2023-12-22,86
2023-12-23,77
2023-12-24,74
2023-12-25,82
2023-12-26,84
2023-12-27,93
2023-12-28,92
2023-12-29,87
2023-12-30,75
2023-12-31,70
2024-01-01,102
2024-01-02,118
2024-01-03,124
2024-01-04,132
2024-01-05,132
2024-01-06,136
2024-01-07,139
2024-01-08,140
2024-01-09,136
2024-01-10,135
2024-01-11,134
2024-01-12,118
2024-01-13,115
2024-01-14,134
2024-01-15,140
2024-01-16,147
2024-01-17,147
2024-01-18,136
2024-01-19,138
2024-01-20,140
2024-01-21,140
2024-01-22,147
2024-01-23,145
2024-01-24,147
2024-01-25,145
2024-01-26,144
2024-01-27,143
2024-01-28,145
2024-01-29,146
2024-01-30,146
2024-01-31,150
2024-02-01,156
2024-02-02,157
2024-02-03,156
2024-02-04,161
2024-02-05,159
2024-02-06,160
2024-02-07,159
2024-02-08,159
2024-02-09,159
2024-02-10,159
2024-02-11,160
2024-02-12,161
2024-02-13,160
2024-02-14,159
2024-02-15,156
2024-02-16,152
2024-02-17,152
2024-02-18,151
2024-02-19,159
2024-02-20,160
2024-02-21,161
2024-02-22,160
2024-02-23,156
2024-02-24,156
2024-02-25,164
2024-02-26,164
2024-02-27,159
2024-02-28,158
2024-02-29,163
2024-03-01,150
2024-03-02,149
2024-03-03,151
2024-03-04,152
2024-03-05,152
2024-03-06,155
2024-03-07,155
2024-03-08,155
2024-03-09,155
2024-03-10,156
2024-03-11,158
2024-03-12,158
2024-03-13,162
2024-03-14,160
2024-03-15,152
2024-03-16,152
2024-03-17,134
2024-03-18,136
2024-03-19,139
2024-03-20,141
2024-03-21,136
2024-03-22,134
2024-03-23,131
2024-03-24,127
2024-03-25,127
2024-03-26,139
2024-03-27,143
2024-03-28,143
2024-03-29,142
2024-03-30,141
2024-03-31,141
2024-04-01,138
2024-04-02,137
2024-04-03,139
2024-04-04,137
2024-04-05,136
2024-04-06,135
2024-04-07,138
2024-04-08,142
2024-04-09,134
2024-04-10,134
2024-04-11,136
2024-04-12,137
2024-04-13,136
2024-04-14,139
2024-04-15,142
2024-04-16,144
2024-04-17,143
2024-04-18,144
2024-04-19,142
2024-04-20,143
2024-04-21,144
2024-04-22,144
2024-04-23,145
2024-04-24,144
2024-04-25,141
2024-04-26,142
2024-04-27,141
2024-04-28,143
2024-04-29,144
2024-04-30,140
2024-05-01,141
2024-05-02,142
2024-05-03,143
2024-05-04,141
2024-05-05,142
2024-05-06,141
2024-05-07,142
2024-05-08,141
2024-05-09,139
2024-05-10,139
2024-05-11,141
2024-05-12,142
2024-05-13,143
2024-05-14,142
2024-05-15,143
2024-05-16,142
2024-05-17,143
2024-05-18,141
2024-05-19,143
2024-05-20,145
2024-05-21,144
2024-05-22,145
2024-05-23,142
2024-05-24,139
2024-05-25,138
2024-05-26,138
2024-05-27,143
2024-05-28,143
2024-05-29,142
2024-05-30,141
2024-05-31,141
2024-06-01,145
2024-06-02,146
2024-06-03,147
2024-06-04,146
2024-06-05,147
2024-06-06,142
2024-06-07,138
2024-06-08,137
2024-06-09,141
2024-06-10,144
2024-06-11,145
2024-06-12,147
2024-06-13,147
2024-06-14,145
2024-06-15,105
2024-06-16,106
2024-06-17,106
2024-06-18,106
2024-06-19,106
2024-06-20,105
2024-06-21,105
2024-06-22,105
2024-06-23,105
2024-06-24,105
2024-06-25,105
2024-06-26,104
2024-06-27,104
2024-06-28,102
2024-06-29,102
2024-06-30,102
2024-07-01,104
2024-07-02,104
2024-07-03,104
2024-07-04,104
2024-07-05,104
2024-07-06,104
2024-07-07,104
2024-07-08,105
2024-07-09,105
2024-07-10,106
2024-07-11,106
2024-07-12,106
2024-07-13,105
2024-07-14,105
2024-07-15,105
2024-07-16,105
2024-07-17,105
2024-07-18,105
2024-07-19,103
2024-07-20,103
2024-07-21,107
2024-07-22,106
2024-07-23,106
2024-07-24,106
2024-07-25,107
2024-07-26,107
2024-07-27,107
2024-07-28,107
2024-07-29,107
2024-07-30,107
2024-07-31,107
2024-08-01,102
2024-08-02,102
2024-08-03,103
2024-08-04,104
2024-08-05,105
2024-08-06,105
2024-08-07,106
2024-08-08,104
2024-08-09,102
2024-08-10,101
2024-08-11,102
2024-08-12,103
2024-08-13,102
2024-08-14,102
2024-08-15,102
2024-08-16,101
2024-08-17,101
2024-08-18,102
2024-08-19,100
2024-08-20,102
2024-08-21,102
2024-08-22,102
2024-08-23,104
2024-08-24,104
2024-08-25,104
