date,available
2023-12-18,7
2023-12-19,9
2023-12-20,11
2023-12-21,11
2023-12-22,12
2023-12-23,12
2023-12-24,14
2023-12-25,14
2023-12-26,15
2023-12-27,14
2023-12-28,14
2023-12-29,15
2023-12-30,16
2023-12-31,15
2024-01-01,16
2024-01-02,16
2024-01-03,16
2024-01-04,17
2024-01-05,17
2024-01-06,17
2024-01-07,17
2024-01-08,17
2024-01-09,17
2024-01-10,17
2024-01-11,17
2024-01-12,17
2024-01-13,17
2024-01-14,17
2024-01-15,17
2024-01-16,17
2024-01-17,17
2024-01-18,17
2024-01-19,17
2024-01-20,17
2024-01-21,17
2024-01-22,17
2024-01-23,17
2024-01-24,17
2024-01-25,17
2024-01-26,18
2024-01-27,18
2024-01-28,19
2024-01-29,19
2024-01-30,19
2024-01-31,19
2024-02-01,20
2024-02-02,20
2024-02-03,21
2024-02-04,21
2024-02-05,21
2024-02-06,21
2024-02-07,21
2024-02-08,21
2024-02-09,21
2024-02-10,21
2024-02-11,22
2024-02-12,22
2024-02-13,22
2024-02-14,22
2024-02-15,22
2024-02-16,22
2024-02-17,22
2024-02-18,22
2024-02-19,22
2024-02-20,22
2024-02-21,22
2024-02-22,22
2024-02-23,22
2024-02-24,22
2024-02-25,22
2024-02-26,22
2024-02-27,22
2024-02-28,22
2024-02-29,22
2024-03-01,22
2024-03-02,22
2024-03-03,22
2024-03-04,22
2024-03-05,22
2024-03-06,22
2024-03-07,22
2024-03-08,22
2024-03-09,22
2024-03-10,22
2024-03-11,22
2024-03-12,22
2024-03-13,22
2024-03-14,22
2024-03-15,22
2024-03-16,21
2024-03-17,20
2024-03-18,20
2024-03-19,20
2024-03-20,20
2024-03-21,20
2024-03-22,20
2024-03-23,20
2024-03-24,20
2024-03-25,20
2024-03-26,20
2024-03-27,20
2024-03-28,20
2024-03-29,20
2024-03-30,20
2024-03-31,20
2024-04-01,20
2024-04-02,20
2024-04-03,20
2024-04-04,20
2024-04-05,20
2024-04-06,20
2024-04-07,20
2024-04-08,20
2024-04-09,20
2024-04-10,20
2024-04-11,20
2024-04-12,20
2024-04-13,20
2024-04-14,20
2024-04-15,20
2024-04-16,20
2024-04-17,20
2024-04-18,20
2024-04-19,20
2024-04-20,20
2024-04-21,20
2024-04-22,20
2024-04-23,20
2024-04-24,20
2024-04-25,20
2024-04-26,20
2024-04-27,20
2024-04-28,20
2024-04-29,20
2024-04-30,20
2024-05-01,20
2024-05-02,20
2024-05-03,20
2024-05-04,20
2024-05-05,20
2024-05-06,20
2024-05-07,20
2024-05-08,20
2024-05-09,20
2024-05-10,20
2024-05-11,20
2024-05-12,20
2024-05-13,20
2024-05-14,20
2024-05-15,20
2024-05-16,20
2024-05-17,20
2024-05-18,20
2024-05-19,20
2024-05-20,20
2024-05-21,20
2024-05-22,20
2024-05-23,20
2024-05-24,20
2024-05-25,20
2024-05-26,20
2024-05-27,20
2024-05-28,20
2024-05-29,20
2024-05-30,20
2024-05-31,20
2024-06-01,20
2024-06-02,20
2024-06-03,20
2024-06-04,20
2024-06-05,20
2024-06-06,20
2024-06-07,20
2024-06-08,20
2024-06-09,20
2024-06-10,20
2024-06-11,20
2024-06-12,20
2024-06-13,20
2024-06-14,20
2024-06-15,13
2024-06-16,13
2024-06-17,13
2024-06-18,13
2024-06-19,13
2024-06-20,13
2024-06-21,13
2024-06-22,13
2024-06-23,13
2024-06-24,13
2024-06-25,13
2024-06-26,13
2024-06-27,13
2024-06-28,13
2024-06-29,13
2024-06-30,13
2024-07-01,13
2024-07-02,13
2024-07-03,13
2024-07-04,13
2024-07-05,13
2024-07-06,13
2024-07-07,13
2024-07-08,13
2024-07-09,13
2024-07-10,13
2024-07-11,13
2024-07-12,13
2024-07-13,13
2024-07-14,13
2024-07-15,13
2024-07-16,13
2024-07-17,13
2024-07-18,13
2024-07-19,13
2024-07-20,13
2024-07-21,13
2024-07-22,13
2024-07-23,13
2024-07-24,13
2024-07-25,13
2024-07-26,13
2024-07-27,13
2024-07-28,13
2024-07-29,13
2024-07-30,13
2024-07-31,13
2024-08-01,13
2024-08-02,13
2024-08-03,13
2024-08-04,13
2024-08-05,13
2024-08-06,13
2024-08-07,13
2024-08-08,13
2024-08-09,12
2024-08-10,12
