date,available
2023-12-18,353
2023-12-19,432
2023-12-20,451
2023-12-21,424
2023-12-22,392
2023-12-23,371
2023-12-24,368
2023-12-25,382
2023-12-26,400
2023-12-27,399
2023-12-28,403
2023-12-29,383
2023-12-30,368
2023-12-31,375
2024-01-01,474
2024-01-02,534
2024-01-03,558
2024-01-04,556
2024-01-05,550
2024-01-06,562
2024-01-07,585
2024-01-08,580
2024-01-09,579
2024-01-10,574
2024-01-11,572
2024-01-12,545
2024-01-13,537
2024-01-14,562
2024-01-15,577
2024-01-16,581
2024-01-17,584
2024-01-18,585
2024-01-19,572
2024-01-20,560
2024-01-21,558
2024-01-22,569
2024-01-23,578
2024-01-24,598
2024-01-25,598
2024-01-26,584
2024-01-27,589
2024-01-28,609
2024-01-29,622
2024-01-30,622
2024-01-31,624
2024-02-01,612
2024-02-02,603
2024-02-03,610
2024-02-04,629
2024-02-05,632
2024-02-06,629
2024-02-07,625
2024-02-08,624
2024-02-09,618
2024-02-10,619
2024-02-11,626
2024-02-12,630
2024-02-13,634
2024-02-14,628
2024-02-15,620
2024-02-16,618
2024-02-17,617
2024-02-18,634
2024-02-19,633
2024-02-20,631
2024-02-21,630
2024-02-22,630
2024-02-23,617
2024-02-24,620
2024-02-25,631
2024-02-26,641
2024-02-27,642
2024-02-28,643
2024-02-29,636
2024-03-01,621
2024-03-02,623
2024-03-03,632
2024-03-04,634
2024-03-05,633
2024-03-06,630
2024-03-07,625
2024-03-08,616
2024-03-09,620
2024-03-10,632
2024-03-11,633
2024-03-12,635
2024-03-13,629
2024-03-14,614
2024-03-15,590
2024-03-16,593
2024-03-17,547
2024-03-18,566
2024-03-19,566
2024-03-20,567
2024-03-21,558
2024-03-22,550
2024-03-23,553
2024-03-24,555
2024-03-25,556
2024-03-26,555
2024-03-27,557
2024-03-28,556
2024-03-29,549
2024-03-30,555
2024-03-31,574
2024-04-01,575
2024-04-02,573
2024-04-03,574
2024-04-04,569
2024-04-05,572
2024-04-06,567
2024-04-07,567
2024-04-08,571
2024-04-09,571
2024-04-10,569
2024-04-11,568
2024-04-12,547
2024-04-13,550
2024-04-14,570
2024-04-15,575
2024-04-16,574
2024-04-17,574
2024-04-18,569
2024-04-19,556
2024-04-20,558
2024-04-21,572
2024-04-22,574
2024-04-23,574
2024-04-24,574
2024-04-25,572
2024-04-26,570
2024-04-27,571
2024-04-28,577
2024-04-29,579
2024-04-30,580
2024-05-01,571
2024-05-02,565
2024-05-03,556
2024-05-04,557
2024-05-05,567
2024-05-06,570
2024-05-07,573
2024-05-08,574
2024-05-09,569
2024-05-10,559
2024-05-11,560
2024-05-12,568
2024-05-13,571
2024-05-14,572
2024-05-15,569
2024-05-16,563
2024-05-17,550
2024-05-18,549
2024-05-19,564
2024-05-20,568
2024-05-21,572
2024-05-22,569
2024-05-23,562
2024-05-24,543
2024-05-25,541
2024-05-26,556
2024-05-27,570
2024-05-28,577
2024-05-29,574
2024-05-30,555
2024-05-31,525
2024-06-01,522
2024-06-02,565
2024-06-03,570
2024-06-04,573
2024-06-05,568
