date,available
2023-12-18,96
2023-12-19,108
2023-12-20,110
2023-12-21,107
2023-12-22,106
2023-12-23,110
2023-12-24,110
2023-12-25,117
2023-12-26,121
2023-12-27,121
2023-12-28,120
2023-12-29,114
2023-12-30,113
2023-12-31,116
2024-01-01,118
2024-01-02,124
2024-01-03,126
2024-01-04,128
2024-01-05,128
2024-01-06,131
2024-01-07,135
2024-01-08,137
2024-01-09,137
2024-01-10,139
2024-01-11,135
2024-01-12,134
2024-01-13,134
2024-01-14,137
2024-01-15,139
2024-01-16,142
2024-01-17,142
2024-01-18,141
2024-01-19,140
2024-01-20,139
2024-01-21,139
2024-01-22,140
2024-01-23,142
2024-01-24,143
2024-01-25,144
2024-01-26,142
2024-01-27,143
2024-01-28,145
2024-01-29,146
2024-01-30,149
2024-01-31,149
2024-02-01,154
2024-02-02,152
2024-02-03,154
2024-02-04,157
2024-02-05,158
2024-02-06,157
2024-02-07,157
2024-02-08,157
2024-02-09,160
2024-02-10,159
2024-02-11,159
2024-02-12,158
2024-02-13,159
2024-02-14,159
2024-02-15,159
2024-02-16,159
2024-02-17,160
2024-02-18,162
2024-02-19,162
2024-02-20,162
2024-02-21,162
2024-02-22,159
2024-02-23,158
2024-02-24,158
2024-02-25,160
2024-02-26,162
2024-02-27,163
2024-02-28,163
2024-02-29,165
2024-03-01,161
2024-03-02,160
2024-03-03,162
2024-03-04,162
2024-03-05,162
2024-03-06,160
2024-03-07,160
2024-03-08,161
2024-03-09,161
2024-03-10,163
2024-03-11,163
2024-03-12,164
2024-03-13,163
2024-03-14,162
2024-03-15,160
2024-03-16,159
2024-03-17,154
2024-03-18,154
2024-03-19,156
2024-03-20,155
2024-03-21,153
2024-03-22,152
2024-03-23,150
2024-03-24,151
2024-03-25,153
2024-03-26,155
2024-03-27,155
2024-03-28,155
2024-03-29,155
2024-03-30,156
2024-03-31,158
2024-04-01,158
2024-04-02,158
2024-04-03,157
2024-04-04,157
2024-04-05,157
2024-04-06,156
2024-04-07,157
2024-04-08,157
2024-04-09,157
2024-04-10,157
2024-04-11,157
2024-04-12,157
2024-04-13,157
2024-04-14,157
2024-04-15,158
2024-04-16,158
2024-04-17,157
2024-04-18,158
2024-04-19,158
2024-04-20,159
2024-04-21,161
2024-04-22,161
2024-04-23,161
2024-04-24,161
2024-04-25,161
2024-04-26,160
2024-04-27,160
2024-04-28,160
2024-04-29,161
2024-04-30,163
2024-05-01,163
2024-05-02,162
2024-05-03,163
2024-05-04,163
2024-05-05,163
2024-05-06,164
2024-05-07,163
2024-05-08,164
2024-05-09,163
2024-05-10,163
2024-05-11,163
2024-05-12,162
2024-05-13,163
2024-05-14,163
2024-05-15,163
2024-05-16,162
2024-05-17,160
2024-05-18,160
2024-05-19,162
2024-05-20,162
2024-05-21,162
2024-05-22,161
2024-05-23,161
2024-05-24,158
2024-05-25,157
2024-05-26,157
2024-05-27,160
2024-05-28,160
2024-05-29,157
2024-05-30,148
2024-05-31,141
2024-06-01,138
2024-06-02,150
2024-06-03,158
2024-06-04,163
2024-06-05,163
2024-06-06,164
2024-06-07,164
2024-06-08,164
2024-06-09,165
2024-06-10,165
2024-06-11,165
2024-06-12,165
2024-06-13,165
2024-06-14,157
2024-06-15,138
2024-06-16,138
2024-06-17,139
2024-06-18,139
2024-06-19,139
2024-06-20,138
2024-06-21,138
2024-06-22,138
2024-06-23,140
2024-06-24,139
2024-06-25,139
2024-06-26,139
2024-06-27,139
2024-06-28,139
2024-06-29,139
2024-06-30,141
2024-07-01,142
2024-07-02,142
2024-07-03,142
2024-07-04,142
2024-07-05,142
2024-07-06,142
2024-07-07,142
2024-07-08,142
2024-07-09,142
2024-07-10,142
2024-07-11,142
2024-07-12,142
2024-07-13,142
2024-07-14,142
2024-07-15,142
2024-07-16,142
2024-07-17,142
2024-07-18,141
2024-07-19,141
2024-07-20,141
2024-07-21,140
2024-07-22,141
2024-07-23,141
2024-07-24,142
2024-07-25,142
2024-07-26,142
2024-07-27,142
2024-07-28,143
2024-07-29,143
2024-07-30,143
2024-07-31,142
2024-08-01,142
