date,available
2023-12-18,1
2023-12-19,134
2023-12-20,141
2023-12-21,156
2023-12-22,159
2023-12-23,172
2023-12-24,177
2023-12-25,175
2023-12-26,180
2023-12-27,185
2023-12-28,186
2023-12-29,186
2023-12-30,184
2023-12-31,195
2024-01-01,206
2024-01-02,213
2024-01-03,210
2024-01-04,215
2024-01-05,218
2024-01-06,220
2024-01-07,222
2024-01-08,222
2024-01-09,222
2024-01-10,223
2024-01-11,226
2024-01-12,219
2024-01-13,213
2024-01-14,214
2024-01-15,219
2024-01-16,219
2024-01-17,224
2024-01-18,224
2024-01-19,222
2024-01-20,223
2024-01-21,229
2024-01-22,231
2024-01-23,229
2024-01-24,224
2024-01-25,230
2024-01-26,229
2024-01-27,228
2024-01-28,228
2024-01-29,232
2024-01-30,235
2024-01-31,241
2024-02-01,245
2024-02-02,245
2024-02-03,249
2024-02-04,253
2024-02-05,257
2024-02-06,257
2024-02-07,256
2024-02-08,256
2024-02-09,253
2024-02-10,253
2024-02-11,257
2024-02-12,257
2024-02-13,253
2024-02-14,246
2024-02-15,245
2024-02-16,242
2024-02-17,241
2024-02-18,250
2024-02-19,254
2024-02-20,254
2024-02-21,257
2024-02-22,254
2024-02-23,258
2024-02-24,257
2024-02-25,262
2024-02-26,263
2024-02-27,263
2024-02-28,264
2024-02-29,266
2024-03-01,244
2024-03-02,247
2024-03-03,247
2024-03-04,247
2024-03-05,247
2024-03-06,240
2024-03-07,242
2024-03-08,240
2024-03-09,234
2024-03-10,241
2024-03-11,246
2024-03-12,250
2024-03-13,257
2024-03-14,255
2024-03-15,251
2024-03-16,252
2024-03-17,253
2024-03-18,258
2024-03-19,251
2024-03-20,253
2024-03-21,251
2024-03-22,252
2024-03-23,253
2024-03-24,256
2024-03-25,261
2024-03-26,260
2024-03-27,259
2024-03-28,249
2024-03-29,249
2024-03-30,248
2024-03-31,261
2024-04-01,266
2024-04-02,263
2024-04-03,263
2024-04-04,263
2024-04-05,265
2024-04-06,265
2024-04-07,265
2024-04-08,263
2024-04-09,262
2024-04-10,270
2024-04-11,261
2024-04-12,233
2024-04-13,210
2024-04-14,206
2024-04-15,209
2024-04-16,255
2024-04-17,259
2024-04-18,258
2024-04-19,258
2024-04-20,261
2024-04-21,264
2024-04-22,271
2024-04-23,268
2024-04-24,269
2024-04-25,267
2024-04-26,266
