date,available
2023-12-19,55
2023-12-20,68
2023-12-21,72
2023-12-22,78
2023-12-23,79
2023-12-24,77
2023-12-25,78
2023-12-26,82
2023-12-27,83
2023-12-28,83
2023-12-29,75
2023-12-30,74
2023-12-31,75
2024-01-01,83
2024-01-02,83
2024-01-03,84
2024-01-04,82
2024-01-05,81
2024-01-06,83
2024-01-07,86
2024-01-08,83
2024-01-09,84
2024-01-10,82
2024-01-11,83
2024-01-12,78
2024-01-13,78
2024-01-14,78
2024-01-15,81
2024-01-16,79
2024-01-17,81
2024-01-18,79
2024-01-19,81
2024-01-20,82
2024-01-21,88
2024-01-22,89
2024-01-23,89
2024-01-24,90
2024-01-25,87
2024-01-26,85
2024-01-27,84
2024-01-28,88
2024-01-29,87
2024-01-30,88
2024-01-31,100
2024-02-01,95
2024-02-02,95
2024-02-03,97
2024-02-04,102
2024-02-05,97
2024-02-06,98
2024-02-07,95
2024-02-08,94
2024-02-09,92
2024-02-10,96
2024-02-11,98
2024-02-12,99
2024-02-13,100
2024-02-14,103
2024-02-15,102
2024-02-16,101
2024-02-17,104
2024-02-18,106
2024-02-19,109
2024-02-20,109
2024-02-21,109
2024-02-22,105
2024-02-23,105
2024-02-24,106
2024-02-25,106
2024-02-26,109
2024-02-27,108
2024-02-28,108
2024-02-29,108
2024-03-01,94
2024-03-02,96
2024-03-03,95
2024-03-04,97
2024-03-05,99
2024-03-06,97
2024-03-07,96
2024-03-08,96
2024-03-09,96
2024-03-10,96
2024-03-11,95
2024-03-12,97
2024-03-13,98
2024-03-14,97
2024-03-15,97
2024-03-16,98
2024-03-17,99
2024-03-18,99
2024-03-19,100
2024-03-20,98
2024-03-21,96
2024-03-22,98
2024-03-23,97
2024-03-24,97
2024-03-25,98
2024-03-26,99
2024-03-27,99
2024-03-28,97
2024-03-29,97
2024-03-30,99
2024-03-31,104
2024-04-01,101
2024-04-02,100
2024-04-03,99
2024-04-04,97
2024-04-05,98
2024-04-06,101
2024-04-07,100
2024-04-08,100
2024-04-09,101
2024-04-10,112
2024-04-11,109
2024-04-12,101
2024-04-13,91
2024-04-14,91
2024-04-15,94
2024-04-16,109
2024-04-17,104
2024-04-18,103
2024-04-19,103
2024-04-20,104
2024-04-21,104
2024-04-22,105
2024-04-23,104
2024-04-24,103
2024-04-25,104
2024-04-26,103
2024-04-27,104
2024-04-28,104
2024-04-29,104
2024-04-30,107
2024-05-01,103
2024-05-02,101
2024-05-03,100
2024-05-04,101
2024-05-05,102
2024-05-06,104
2024-05-07,105
2024-05-08,106
2024-05-09,102
2024-05-10,102
2024-05-11,101
2024-05-12,103
2024-05-13,104
2024-05-14,109
2024-05-15,111
2024-05-16,109
2024-05-17,108
2024-05-18,109
2024-05-19,109
2024-05-20,112
2024-05-21,114
2024-05-22,112
2024-05-23,111
2024-05-24,112
2024-05-25,116
2024-05-26,116
2024-05-27,117
2024-05-28,116
2024-05-29,114
2024-05-30,111
2024-05-31,112
2024-06-01,69
2024-06-02,74
2024-06-03,73
2024-06-04,73
2024-06-05,76
2024-06-06,74
2024-06-07,74
2024-06-08,72
2024-06-09,72
2024-06-10,73
2024-06-11,72
2024-06-12,72
2024-06-13,72
2024-06-14,74
2024-06-15,68
2024-06-16,67
2024-06-17,64
2024-06-18,64
2024-06-19,66
2024-06-20,65
2024-06-21,67
2024-06-22,67
2024-06-23,67
2024-06-24,65
2024-06-25,66
2024-06-26,67
2024-06-27,68
2024-06-28,69
2024-06-29,69
2024-06-30,72
2024-07-01,115
2024-07-02,115
2024-07-03,115
2024-07-04,115
2024-07-05,117
2024-07-06,116
2024-07-07,117
2024-07-08,117
2024-07-09,117
2024-07-10,117
2024-07-11,117
2024-07-12,118
2024-07-13,118
2024-07-14,118
2024-07-15,118
2024-07-16,118
2024-07-17,118
2024-07-18,117
2024-07-19,117
2024-07-20,116
2024-07-21,117
2024-07-22,116
2024-07-23,116
2024-07-24,117
2024-07-25,116
2024-07-26,116
2024-07-27,117
2024-07-28,119
2024-07-29,120
2024-07-30,119
2024-07-31,120
2024-08-01,118
2024-08-02,119
2024-08-03,119
2024-08-04,119
2024-08-05,119
2024-08-06,119
2024-08-07,118
2024-08-08,119
2024-08-09,119
2024-08-10,119
2024-08-11,119
2024-08-12,118
2024-08-13,118
2024-08-14,117
2024-08-15,117
2024-08-16,120
2024-08-17,120
2024-08-18,120
2024-08-19,120
2024-08-20,120
2024-08-21,120
2024-08-22,118
2024-08-23,118
2024-08-24,118
2024-08-25,122
2024-08-26,122
2024-08-27,122
2024-08-28,121
2024-08-29,122
2024-08-30,123
2024-08-31,123
2024-09-01,125
2024-09-02,126
2024-09-03,126
2024-09-04,126
2024-09-05,126
2024-09-06,126
2024-09-07,128
2024-09-08,128
2024-09-09,128
2024-09-10,127
2024-09-11,126
2024-09-12,127
2024-09-13,104
2024-09-14,69
2024-09-15,70
2024-09-16,70
2024-09-17,69
2024-09-18,69
2024-09-19,68
2024-09-20,70
2024-09-21,72
2024-09-22,71
2024-09-23,72
2024-09-24,73
2024-09-25,73
2024-09-26,72
2024-09-27,72
2024-09-28,70
2024-09-29,70
2024-09-30,70
2024-10-01,68
2024-10-02,68
2024-10-03,70
2024-10-04,68
2024-10-05,67
2024-10-06,69
2024-10-07,70
2024-10-08,69
2024-10-09,69
2024-10-10,69
2024-10-11,68
2024-10-12,68
2024-10-13,69
2024-10-14,69
2024-10-15,70
2024-10-16,69
2024-10-17,69
2024-10-18,69
2024-10-19,71
2024-10-20,71
2024-10-21,71
2024-10-22,72
2024-10-23,72
2024-10-24,71
2024-10-25,71
2024-10-26,71
2024-10-27,72
2024-10-28,72
2024-10-29,72
2024-10-30,72
2024-10-31,72
2024-11-01,68
2024-11-02,68
2024-11-03,68
2024-11-04,68
2024-11-05,68
2024-11-06,68
2024-11-07,68
2024-11-08,68
2024-11-09,68
2024-11-10,68
2024-11-11,62
2024-11-12,62
2024-11-13,62
2024-11-14,62
2024-11-15,62
2024-11-16,62
2024-11-17,62
2024-11-18,62
2024-11-19,62
2024-11-20,62
2024-11-21,62
2024-11-22,62
