date,available
2023-12-18,1
2023-12-19,271
2023-12-20,309
2023-12-21,304
2023-12-22,297
2023-12-23,285
2023-12-24,285
2023-12-25,295
2023-12-26,301
2023-12-27,313
2023-12-28,311
2023-12-29,301
2023-12-30,307
2023-12-31,307
2024-01-01,340
2024-01-02,352
2024-01-03,365
2024-01-04,365
2024-01-05,358
2024-01-06,358
2024-01-07,366
2024-01-08,376
2024-01-09,376
2024-01-10,375
2024-01-11,375
2024-01-12,366
2024-01-13,365
2024-01-14,370
2024-01-15,383
2024-01-16,382
2024-01-17,381
2024-01-18,380
2024-01-19,378
2024-01-20,381
2024-01-21,386
2024-01-22,389
2024-01-23,388
2024-01-24,377
2024-01-25,375
2024-01-26,369
2024-01-27,375
2024-01-28,384
2024-01-29,393
2024-01-30,392
2024-01-31,403
2024-02-01,401
2024-02-02,409
2024-02-03,410
2024-02-04,419
2024-02-05,417
2024-02-06,415
2024-02-07,413
2024-02-08,418
2024-02-09,408
2024-02-10,403
2024-02-11,415
2024-02-12,420
2024-02-13,416
2024-02-14,397
2024-02-15,396
2024-02-16,396
2024-02-17,399
2024-02-18,422
2024-02-19,423
2024-02-20,422
2024-02-21,426
2024-02-22,429
2024-02-23,429
2024-02-24,429
2024-02-25,430
2024-02-26,434
2024-02-27,434
2024-02-28,435
2024-02-29,433
2024-03-01,433
2024-03-02,436
2024-03-03,438
2024-03-04,435
2024-03-05,437
2024-03-06,433
2024-03-07,430
2024-03-08,428
2024-03-09,432
2024-03-10,433
2024-03-11,439
2024-03-12,439
2024-03-13,442
2024-03-14,440
2024-03-15,433
2024-03-16,428
2024-03-17,399
2024-03-18,403
2024-03-19,405
2024-03-20,394
2024-03-21,390
2024-03-22,388
2024-03-23,391
2024-03-24,406
2024-03-25,410
2024-03-26,410
2024-03-27,409
2024-03-28,404
2024-03-29,402
2024-03-30,397
2024-03-31,401
2024-04-01,398
2024-04-02,404
2024-04-03,404
2024-04-04,403
2024-04-05,407
2024-04-06,404
2024-04-07,410
2024-04-08,411
2024-04-09,410
2024-04-10,403
2024-04-11,376
2024-04-12,336
2024-04-13,298
2024-04-14,295
2024-04-15,306
