date,available
2023-12-19,100
2023-12-20,142
2023-12-21,148
2023-12-22,152
2023-12-23,140
2023-12-24,129
2023-12-25,131
2023-12-26,128
2023-12-27,126
2023-12-28,131
2023-12-29,144
2023-12-30,121
2023-12-31,108
2024-01-01,156
2024-01-02,156
2024-01-03,162
2024-01-04,160
2024-01-05,161
2024-01-06,162
2024-01-07,169
2024-01-08,184
2024-01-09,190
2024-01-10,188
2024-01-11,183
2024-01-12,172
2024-01-13,169
2024-01-14,187
2024-01-15,185
2024-01-16,181
2024-01-17,185
2024-01-18,168
2024-01-19,166
2024-01-20,170
2024-01-21,191
2024-01-22,189
2024-01-23,188
2024-01-24,178
2024-01-25,176
2024-01-26,177
2024-01-27,184
2024-01-28,196
2024-01-29,199
2024-01-30,199
2024-01-31,199
2024-02-01,195
2024-02-02,195
2024-02-03,198
2024-02-04,206
2024-02-05,225
2024-02-06,226
2024-02-07,230
2024-02-08,226
2024-02-09,224
2024-02-10,220
2024-02-11,228
2024-02-12,232
2024-02-13,231
2024-02-14,205
2024-02-15,199
2024-02-16,205
2024-02-17,204
2024-02-18,241
2024-02-19,245
2024-02-20,249
2024-02-21,252
2024-02-22,252
2024-02-23,248
2024-02-24,245
2024-02-25,249
2024-02-26,250
2024-02-27,250
2024-02-28,243
2024-02-29,240
2024-03-01,235
2024-03-02,240
2024-03-03,237
2024-03-04,241
2024-03-05,240
2024-03-06,245
2024-03-07,245
2024-03-08,241
2024-03-09,244
2024-03-10,243
2024-03-11,246
2024-03-12,252
2024-03-13,250
2024-03-14,248
2024-03-15,244
2024-03-16,246
2024-03-17,250
2024-03-18,254
2024-03-19,258
2024-03-20,250
2024-03-21,245
2024-03-22,245
2024-03-23,246
2024-03-24,251
2024-03-25,256
2024-03-26,255
2024-03-27,249
2024-03-28,245
2024-03-29,249
2024-03-30,249
2024-03-31,254
2024-04-01,253
2024-04-02,251
2024-04-03,249
2024-04-04,243
2024-04-05,241
2024-04-06,247
2024-04-07,252
2024-04-08,256
2024-04-09,257
2024-04-10,255
2024-04-11,241
2024-04-12,206
2024-04-13,156
2024-04-14,155
2024-04-15,157
2024-04-16,236
2024-04-17,252
2024-04-18,246
2024-04-19,247
2024-04-20,247
2024-04-21,251
2024-04-22,263
2024-04-23,264
2024-04-24,264
2024-04-25,257
2024-04-26,258
2024-04-27,255
2024-04-28,258
2024-04-29,259
2024-04-30,260
2024-05-01,254
2024-05-02,251
2024-05-03,249
2024-05-04,244
2024-05-05,245
2024-05-06,256
2024-05-07,262
2024-05-08,263
2024-05-09,261
2024-05-10,258
2024-05-11,260
2024-05-12,264
2024-05-13,268
