date,available
2023-12-18,0
2023-12-19,86
2023-12-20,93
2023-12-21,109
2023-12-22,106
2023-12-23,103
2023-12-24,101
2023-12-25,106
2023-12-26,107
2023-12-27,107
2023-12-28,110
2023-12-29,104
2023-12-30,88
2023-12-31,74
2024-01-01,126
2024-01-02,126
2024-01-03,123
2024-01-04,126
2024-01-05,124
2024-01-06,128
2024-01-07,139
2024-01-08,142
2024-01-09,134
2024-01-10,135
2024-01-11,134
2024-01-12,127
2024-01-13,125
2024-01-14,132
2024-01-15,142
2024-01-16,141
2024-01-17,141
2024-01-18,139
2024-01-19,135
2024-01-20,136
2024-01-21,141
2024-01-22,141
2024-01-23,140
2024-01-24,132
2024-01-25,126
2024-01-26,123
2024-01-27,126
2024-01-28,131
2024-01-29,139
2024-01-30,139
2024-01-31,137
2024-02-01,131
2024-02-02,130
2024-02-03,134
2024-02-04,136
2024-02-05,137
2024-02-06,139
2024-02-07,138
2024-02-08,135
2024-02-09,139
2024-02-10,138
2024-02-11,141
2024-02-12,142
2024-02-13,142
2024-02-14,121
2024-02-15,119
2024-02-16,118
2024-02-17,124
2024-02-18,139
2024-02-19,139
2024-02-20,142
2024-02-21,142
2024-02-22,140
2024-02-23,142
2024-02-24,144
2024-02-25,145
2024-02-26,144
2024-02-27,143
2024-02-28,141
2024-02-29,140
2024-03-01,141
2024-03-02,142
2024-03-03,146
2024-03-04,146
2024-03-05,147
2024-03-06,148
2024-03-07,139
2024-03-08,138
2024-03-09,139
2024-03-10,136
2024-03-11,140
2024-03-12,142
2024-03-13,138
2024-03-14,135
2024-03-15,134
2024-03-16,131
2024-03-17,120
2024-03-18,120
2024-03-19,123
2024-03-20,113
2024-03-21,106
2024-03-22,106
2024-03-23,104
2024-03-24,114
2024-03-25,121
2024-03-26,121
2024-03-27,126
2024-03-28,122
2024-03-29,119
2024-03-30,119
2024-03-31,120
2024-04-01,116
2024-04-02,117
2024-04-03,114
2024-04-04,114
2024-04-05,120
2024-04-06,119
2024-04-07,121
2024-04-08,122
2024-04-09,123
2024-04-10,124
2024-04-11,115
2024-04-12,88
2024-04-13,74
2024-04-14,74
2024-04-15,80
2024-04-16,110
2024-04-17,117
2024-04-18,118
2024-04-19,122
2024-04-20,120
2024-04-21,124
2024-04-22,125
2024-04-23,125
2024-04-24,121
2024-04-25,117
2024-04-26,118
2024-04-27,118
2024-04-28,122
2024-04-29,124
2024-04-30,125
2024-05-01,120
2024-05-02,117
2024-05-03,113
2024-05-04,113
2024-05-05,115
2024-05-06,120
2024-05-07,121
2024-05-08,118
2024-05-09,116
2024-05-10,113
2024-05-11,114
2024-05-12,120
2024-05-13,119
2024-05-14,115
2024-05-15,115
2024-05-16,109
2024-05-17,102
2024-05-18,103
2024-05-19,110
2024-05-20,116
2024-05-21,108
2024-05-22,103
2024-05-23,102
2024-05-24,109
2024-05-25,114
2024-05-26,118
2024-05-27,118
2024-05-28,117
2024-05-29,116
2024-05-30,114
2024-05-31,114
2024-06-01,113
2024-06-02,117
2024-06-03,116
2024-06-04,116
2024-06-05,121
2024-06-06,120
2024-06-07,118
2024-06-08,120
2024-06-09,121
2024-06-10,123
2024-06-11,125
2024-06-12,127
2024-06-13,126
2024-06-14,124
2024-06-15,102
2024-06-16,104
2024-06-17,106
2024-06-18,104
2024-06-19,103
2024-06-20,104
2024-06-21,103
2024-06-22,101
2024-06-23,103
2024-06-24,103
2024-06-25,104
2024-06-26,103
2024-06-27,103
2024-06-28,103
2024-06-29,103
2024-06-30,108
2024-07-01,106
2024-07-02,105
2024-07-03,103
2024-07-04,102
2024-07-05,100
2024-07-06,102
2024-07-07,103
2024-07-08,103
2024-07-09,102
2024-07-10,104
2024-07-11,103
2024-07-12,104
2024-07-13,104
2024-07-14,106
2024-07-15,106
2024-07-16,107
2024-07-17,106
2024-07-18,107
2024-07-19,104
2024-07-20,104
2024-07-21,106
2024-07-22,107
2024-07-23,106
2024-07-24,106
2024-07-25,106
2024-07-26,106
2024-07-27,108
2024-07-28,107
2024-07-29,108
2024-07-30,107
