date,available
2023-12-18,2
2023-12-19,105
2023-12-20,111
2023-12-21,120
2023-12-22,112
2023-12-23,111
2023-12-24,115
2023-12-25,119
2023-12-26,113
2023-12-27,113
2023-12-28,120
2023-12-29,127
2023-12-30,122
2023-12-31,115
2024-01-01,153
2024-01-02,153
2024-01-03,154
2024-01-04,152
2024-01-05,153
2024-01-06,155
2024-01-07,159
2024-01-08,161
2024-01-09,160
2024-01-10,162
2024-01-11,161
2024-01-12,150
2024-01-13,144
2024-01-14,155
2024-01-15,150
2024-01-16,150
2024-01-17,150
2024-01-18,153
2024-01-19,147
2024-01-20,144
2024-01-21,154
2024-01-22,156
2024-01-23,159
2024-01-24,156
2024-01-25,153
2024-01-26,149
2024-01-27,150
2024-01-28,153
2024-01-29,159
2024-01-30,159
2024-01-31,163
2024-02-01,163
2024-02-02,168
2024-02-03,171
2024-02-04,170
2024-02-05,170
2024-02-06,171
2024-02-07,170
2024-02-08,167
2024-02-09,163
2024-02-10,162
2024-02-11,168
2024-02-12,168
2024-02-13,173
2024-02-14,174
2024-02-15,172
2024-02-16,168
2024-02-17,164
2024-02-18,169
2024-02-19,174
2024-02-20,180
2024-02-21,180
2024-02-22,180
2024-02-23,182
2024-02-24,181
2024-02-25,182
2024-02-26,181
2024-02-27,182
2024-02-28,183
2024-02-29,182
2024-03-01,174
2024-03-02,175
2024-03-03,177
2024-03-04,178
2024-03-05,179
2024-03-06,179
2024-03-07,174
2024-03-08,173
2024-03-09,172
2024-03-10,176
2024-03-11,174
2024-03-12,176
2024-03-13,178
2024-03-14,176
2024-03-15,178
2024-03-16,174
2024-03-17,177
2024-03-18,176
2024-03-19,177
2024-03-20,177
2024-03-21,174
2024-03-22,178
2024-03-23,179
2024-03-24,179
2024-03-25,179
2024-03-26,178
2024-03-27,181
2024-03-28,180
2024-03-29,182
2024-03-30,180
2024-03-31,183
2024-04-01,179
2024-04-02,180
2024-04-03,180
2024-04-04,177
2024-04-05,176
2024-04-06,176
2024-04-07,177
2024-04-08,178
2024-04-09,176
2024-04-10,177
2024-04-11,174
2024-04-12,166
2024-04-13,145
2024-04-14,144
2024-04-15,144
2024-04-16,173
2024-04-17,180
2024-04-18,180
2024-04-19,182
2024-04-20,185
2024-04-21,185
2024-04-22,185
2024-04-23,185
2024-04-24,186
2024-04-25,181
2024-04-26,176
2024-04-27,176
2024-04-28,181
2024-04-29,185
2024-04-30,187
2024-05-01,186
2024-05-02,186
2024-05-03,182
2024-05-04,180
2024-05-05,182
2024-05-06,192
2024-05-07,193
2024-05-08,195
2024-05-09,194
2024-05-10,193
2024-05-11,193
2024-05-12,190
2024-05-13,193
2024-05-14,191
2024-05-15,184
2024-05-16,176
2024-05-17,169
2024-05-18,168
2024-05-19,174
2024-05-20,191
2024-05-21,192
2024-05-22,190
2024-05-23,192
2024-05-24,191
2024-05-25,197
2024-05-26,199
2024-05-27,201
2024-05-28,199
2024-05-29,195
2024-05-30,197
2024-05-31,198
2024-06-01,196
2024-06-02,202
2024-06-03,202
2024-06-04,201
2024-06-05,200
2024-06-06,201
2024-06-07,202
2024-06-08,199
2024-06-09,203
2024-06-10,202
2024-06-11,201
2024-06-12,199
2024-06-13,199
2024-06-14,200
2024-06-15,196
2024-06-16,189
2024-06-17,188
2024-06-18,187
2024-06-19,187
2024-06-20,187
2024-06-21,194
2024-06-22,192
2024-06-23,192
2024-06-24,191
2024-06-25,191
2024-06-26,191
2024-06-27,190
2024-06-28,189
2024-06-29,189
2024-06-30,191
2024-07-01,192
2024-07-02,191
2024-07-03,191
2024-07-04,191
2024-07-05,190
2024-07-06,190
2024-07-07,192
2024-07-08,192
2024-07-09,192
2024-07-10,191
2024-07-11,190
2024-07-12,190
2024-07-13,190
2024-07-14,189
2024-07-15,192
2024-07-16,191
2024-07-17,188
2024-07-18,185
2024-07-19,176
2024-07-20,175
2024-07-21,176
2024-07-22,181
2024-07-23,178
2024-07-24,192
2024-07-25,195
2024-07-26,195
2024-07-27,195
2024-07-28,195
