date,available
2023-12-18,2
2023-12-19,21
2023-12-20,27
2023-12-21,28
2023-12-22,29
2023-12-23,27
2023-12-24,25
2023-12-25,25
2023-12-26,27
2023-12-27,30
2023-12-28,27
2023-12-29,28
2023-12-30,28
2023-12-31,28
2024-01-01,30
2024-01-02,34
2024-01-03,35
2024-01-04,35
2024-01-05,37
2024-01-06,36
2024-01-07,36
2024-01-08,37
2024-01-09,37
2024-01-10,38
2024-01-11,38
2024-01-12,35
2024-01-13,35
2024-01-14,36
2024-01-15,37
2024-01-16,37
2024-01-17,37
2024-01-18,36
2024-01-19,36
2024-01-20,36
2024-01-21,39
2024-01-22,39
2024-01-23,39
2024-01-24,39
2024-01-25,39
2024-01-26,38
2024-01-27,38
2024-01-28,38
2024-01-29,37
2024-01-30,38
2024-01-31,38
2024-02-01,36
2024-02-02,36
2024-02-03,36
2024-02-04,36
2024-02-05,36
2024-02-06,35
2024-02-07,35
2024-02-08,35
2024-02-09,35
2024-02-10,35
2024-02-11,34
2024-02-12,34
2024-02-13,33
2024-02-14,32
2024-02-15,32
2024-02-16,33
2024-02-17,34
2024-02-18,35
2024-02-19,35
2024-02-20,35
2024-02-21,35
2024-02-22,35
2024-02-23,35
2024-02-24,36
2024-02-25,36
2024-02-26,35
2024-02-27,35
2024-02-28,35
2024-02-29,35
2024-03-01,36
2024-03-02,36
2024-03-03,36
2024-03-04,36
2024-03-05,36
2024-03-06,36
2024-03-07,36
2024-03-08,36
2024-03-09,36
2024-03-10,36
2024-03-11,36
2024-03-12,36
2024-03-13,36
2024-03-14,36
2024-03-15,36
2024-03-16,36
2024-03-17,33
2024-03-18,31
2024-03-19,31
2024-03-20,31
2024-03-21,29
2024-03-22,29
2024-03-23,30
2024-03-24,31
2024-03-25,31
2024-03-26,31
2024-03-27,29
2024-03-28,29
2024-03-29,29
2024-03-30,29
2024-03-31,30
2024-04-01,31
2024-04-02,31
2024-04-03,31
2024-04-04,30
2024-04-05,31
2024-04-06,32
2024-04-07,32
2024-04-08,32
2024-04-09,32
2024-04-10,34
2024-04-11,32
2024-04-12,29
2024-04-13,29
2024-04-14,28
2024-04-15,28
2024-04-16,32
2024-04-17,33
2024-04-18,34
2024-04-19,35
2024-04-20,35
2024-04-21,35
2024-04-22,35
2024-04-23,35
2024-04-24,35
2024-04-25,35
2024-04-26,35
2024-04-27,35
2024-04-28,34
2024-04-29,34
2024-04-30,37
2024-05-01,37
2024-05-02,37
2024-05-03,37
2024-05-04,37
2024-05-05,37
2024-05-06,37
2024-05-07,37
2024-05-08,38
2024-05-09,38
2024-05-10,38
2024-05-11,38
2024-05-12,38
2024-05-13,38
2024-05-14,38
2024-05-15,38
2024-05-16,38
2024-05-17,38
2024-05-18,37
2024-05-19,37
2024-05-20,37
2024-05-21,37
2024-05-22,36
2024-05-23,36
2024-05-24,36
2024-05-25,38
2024-05-26,39
2024-05-27,39
2024-05-28,39
2024-05-29,39
2024-05-30,39
2024-05-31,41
2024-06-01,41
2024-06-02,41
2024-06-03,41
2024-06-04,41
2024-06-05,41
2024-06-06,41
2024-06-07,41
2024-06-08,41
2024-06-09,41
2024-06-10,41
2024-06-11,41
2024-06-12,41
2024-06-13,41
2024-06-14,41
2024-06-15,36
2024-06-16,31
2024-06-17,30
2024-06-18,29
2024-06-19,29
2024-06-20,31
2024-06-21,31
2024-06-22,32
2024-06-23,32
2024-06-24,32
2024-06-25,32
2024-06-26,32
2024-06-27,32
2024-06-28,32
2024-06-29,31
2024-06-30,31
2024-07-01,31
2024-07-02,31
2024-07-03,31
2024-07-04,31
2024-07-05,31
2024-07-06,31
2024-07-07,31
2024-07-08,32
2024-07-09,32
2024-07-10,32
2024-07-11,32
2024-07-12,32
2024-07-13,32
2024-07-14,32
2024-07-15,34
2024-07-16,34
2024-07-17,33
2024-07-18,33
2024-07-19,33
2024-07-20,33
2024-07-21,33
2024-07-22,34
2024-07-23,34
2024-07-24,34
2024-07-25,33
2024-07-26,33
2024-07-27,33
2024-07-28,33
2024-07-29,33
2024-07-30,34
2024-07-31,33
2024-08-01,33
2024-08-02,32
2024-08-03,28
2024-08-04,32
2024-08-05,33
2024-08-06,34
2024-08-07,34
2024-08-08,34
2024-08-09,34
2024-08-10,34
2024-08-11,34
2024-08-12,34
2024-08-13,34
2024-08-14,34
2024-08-15,34
2024-08-16,34
2024-08-17,34
2024-08-18,34
2024-08-19,34
2024-08-20,34
2024-08-21,33
2024-08-22,33
2024-08-23,33
2024-08-24,33
2024-08-25,33
2024-08-26,32
2024-08-27,33
2024-08-28,33
2024-08-29,33
2024-08-30,33
2024-08-31,33
2024-09-01,33
2024-09-02,33
2024-09-03,33
2024-09-04,33
2024-09-05,33
2024-09-06,33
2024-09-07,33
2024-09-08,33
2024-09-09,33
2024-09-10,33
2024-09-11,33
2024-09-12,33
2024-09-13,31
2024-09-14,30
2024-09-15,30
2024-09-16,30
2024-09-17,30
2024-09-18,30
2024-09-19,30
2024-09-20,30
2024-09-21,30
2024-09-22,30
2024-09-23,30
2024-09-24,30
2024-09-25,30
2024-09-26,30
2024-09-27,30
2024-09-28,30
2024-09-29,30
2024-09-30,30
2024-10-01,30
2024-10-02,29
2024-10-03,29
2024-10-04,29
2024-10-05,29
2024-10-06,30
2024-10-07,30
2024-10-08,29
2024-10-09,29
2024-10-10,29
2024-10-11,29
2024-10-12,29
2024-10-13,29
2024-10-14,30
2024-10-15,30
2024-10-16,30
2024-10-17,30
2024-10-18,30
2024-10-19,30
2024-10-20,30
2024-10-21,30
2024-10-22,30
2024-10-23,30
2024-10-24,30
2024-10-25,30
2024-10-26,30
2024-10-27,30
2024-10-28,30
2024-10-29,30
2024-10-30,30
2024-10-31,30
2024-11-01,30
2024-11-02,30
2024-11-03,30
2024-11-04,30
2024-11-05,30
2024-11-06,30
