date,available
2023-12-19,21
2023-12-20,26
2023-12-21,30
2023-12-22,31
2023-12-23,32
2023-12-24,28
2023-12-25,30
2023-12-26,30
2023-12-27,30
2023-12-28,29
2023-12-29,31
2023-12-30,30
2023-12-31,33
2024-01-01,34
2024-01-02,34
2024-01-03,35
2024-01-04,37
2024-01-05,36
2024-01-06,36
2024-01-07,37
2024-01-08,38
2024-01-09,38
2024-01-10,39
2024-01-11,39
2024-01-12,39
2024-01-13,39
2024-01-14,38
2024-01-15,39
2024-01-16,39
2024-01-17,39
2024-01-18,39
2024-01-19,39
2024-01-20,39
2024-01-21,39
2024-01-22,39
2024-01-23,39
2024-01-24,38
2024-01-25,39
2024-01-26,40
2024-01-27,40
2024-01-28,40
2024-01-29,39
2024-01-30,39
2024-01-31,40
2024-02-01,40
2024-02-02,40
2024-02-03,40
2024-02-04,40
2024-02-05,40
2024-02-06,40
2024-02-07,40
2024-02-08,40
2024-02-09,40
2024-02-10,40
2024-02-11,40
2024-02-12,40
2024-02-13,40
2024-02-14,40
2024-02-15,40
2024-02-16,40
2024-02-17,40
2024-02-18,40
2024-02-19,40
2024-02-20,40
2024-02-21,40
2024-02-22,40
2024-02-23,40
2024-02-24,41
2024-02-25,43
2024-02-26,43
2024-02-27,44
2024-02-28,44
2024-02-29,44
2024-03-01,51
2024-03-02,51
2024-03-03,50
2024-03-04,49
2024-03-05,49
2024-03-06,49
2024-03-07,49
2024-03-08,49
2024-03-09,48
2024-03-10,48
2024-03-11,48
2024-03-12,48
2024-03-13,48
2024-03-14,48
2024-03-15,48
2024-03-16,48
2024-03-17,44
2024-03-18,41
2024-03-19,41
2024-03-20,41
2024-03-21,41
2024-03-22,41
2024-03-23,41
2024-03-24,42
2024-03-25,42
2024-03-26,42
2024-03-27,42
2024-03-28,42
2024-03-29,42
2024-03-30,42
2024-03-31,41
2024-04-01,41
2024-04-02,41
2024-04-03,42
2024-04-04,42
2024-04-05,42
2024-04-06,42
2024-04-07,42
2024-04-08,42
2024-04-09,42
2024-04-10,41
2024-04-11,36
2024-04-12,33
2024-04-13,32
2024-04-14,32
2024-04-15,32
2024-04-16,36
2024-04-17,41
2024-04-18,41
2024-04-19,41
2024-04-20,42
2024-04-21,44
2024-04-22,44
2024-04-23,44
2024-04-24,44
2024-04-25,44
2024-04-26,44
2024-04-27,44
2024-04-28,45
2024-04-29,45
2024-04-30,45
2024-05-01,45
2024-05-02,45
2024-05-03,45
2024-05-04,45
2024-05-05,45
2024-05-06,45
2024-05-07,45
2024-05-08,45
2024-05-09,45
2024-05-10,45
2024-05-11,45
2024-05-12,45
2024-05-13,45
2024-05-14,44
2024-05-15,43
2024-05-16,42
2024-05-17,40
2024-05-18,40
2024-05-19,41
2024-05-20,42
2024-05-21,44
2024-05-22,44
2024-05-23,42
2024-05-24,43
2024-05-25,43
2024-05-26,43
2024-05-27,43
2024-05-28,45
2024-05-29,45
2024-05-30,45
2024-05-31,46
2024-06-01,46
2024-06-02,46
2024-06-03,46
2024-06-04,46
2024-06-05,46
2024-06-06,46
2024-06-07,46
2024-06-08,46
2024-06-09,46
2024-06-10,46
2024-06-11,46
2024-06-12,46
2024-06-13,46
2024-06-14,46
2024-06-15,37
2024-06-16,34
2024-06-17,34
2024-06-18,34
2024-06-19,34
2024-06-20,34
2024-06-21,34
2024-06-22,34
2024-06-23,35
2024-06-24,35
2024-06-25,35
2024-06-26,35
2024-06-27,35
2024-06-28,35
2024-06-29,35
2024-06-30,35
2024-07-01,35
2024-07-02,35
2024-07-03,35
2024-07-04,35
2024-07-05,35
2024-07-06,35
2024-07-07,35
2024-07-08,35
