date,available
2023-12-18,0
2023-12-19,18
2023-12-20,23
2023-12-21,25
2023-12-22,24
2023-12-23,25
2023-12-24,24
2023-12-25,23
2023-12-26,24
2023-12-27,25
2023-12-28,24
2023-12-29,23
2023-12-30,24
2023-12-31,26
2024-01-01,30
2024-01-02,29
2024-01-03,29
2024-01-04,29
2024-01-05,29
2024-01-06,29
2024-01-07,28
2024-01-08,26
2024-01-09,26
2024-01-10,28
2024-01-11,28
2024-01-12,28
2024-01-13,28
2024-01-14,28
2024-01-15,29
2024-01-16,29
2024-01-17,31
2024-01-18,31
2024-01-19,31
2024-01-20,32
2024-01-21,32
2024-01-22,32
2024-01-23,31
2024-01-24,31
2024-01-25,31
2024-01-26,31
2024-01-27,31
2024-01-28,31
2024-01-29,31
2024-01-30,32
2024-01-31,34
2024-02-01,34
2024-02-02,35
2024-02-03,36
2024-02-04,36
2024-02-05,36
2024-02-06,36
2024-02-07,36
2024-02-08,34
2024-02-09,33
2024-02-10,34
2024-02-11,34
2024-02-12,36
2024-02-13,37
2024-02-14,37
2024-02-15,38
2024-02-16,38
2024-02-17,38
2024-02-18,39
2024-02-19,39
2024-02-20,40
2024-02-21,40
2024-02-22,40
2024-02-23,40
2024-02-24,39
2024-02-25,39
2024-02-26,39
2024-02-27,40
2024-02-28,41
2024-02-29,40
2024-03-01,40
2024-03-02,41
2024-03-03,40
2024-03-04,40
2024-03-05,41
2024-03-06,40
2024-03-07,40
2024-03-08,39
2024-03-09,38
2024-03-10,39
2024-03-11,38
2024-03-12,37
2024-03-13,32
2024-03-14,32
2024-03-15,33
2024-03-16,34
2024-03-17,39
2024-03-18,40
2024-03-19,40
2024-03-20,39
2024-03-21,37
2024-03-22,38
2024-03-23,38
2024-03-24,38
2024-03-25,38
2024-03-26,38
2024-03-27,38
2024-03-28,37
2024-03-29,38
2024-03-30,38
2024-03-31,30
2024-04-01,24
2024-04-02,22
2024-04-03,23
2024-04-04,23
2024-04-05,23
2024-04-06,24
2024-04-07,24
2024-04-08,24
2024-04-09,24
2024-04-10,24
2024-04-11,24
2024-04-12,24
2024-04-13,20
2024-04-14,19
2024-04-15,20
2024-04-16,24
2024-04-17,25
2024-04-18,25
2024-04-19,25
2024-04-20,25
2024-04-21,25
2024-04-22,25
2024-04-23,24
2024-04-24,24
2024-04-25,24
2024-04-26,24
2024-04-27,24
2024-04-28,25
2024-04-29,25
2024-04-30,31
2024-05-01,28
2024-05-02,28
2024-05-03,28
2024-05-04,28
2024-05-05,28
2024-05-06,30
2024-05-07,30
2024-05-08,30
2024-05-09,30
2024-05-10,30
2024-05-11,30
2024-05-12,31
2024-05-13,31
2024-05-14,31
2024-05-15,29
2024-05-16,29
2024-05-17,28
2024-05-18,28
2024-05-19,28
2024-05-20,29
2024-05-21,30
2024-05-22,30
2024-05-23,30
2024-05-24,31
2024-05-25,31
2024-05-26,31
2024-05-27,32
2024-05-28,32
2024-05-29,32
2024-05-30,32
2024-05-31,32
2024-06-01,35
2024-06-02,34
2024-06-03,34
2024-06-04,34
2024-06-05,34
2024-06-06,34
2024-06-07,32
2024-06-08,32
2024-06-09,32
2024-06-10,34
2024-06-11,34
2024-06-12,34
2024-06-13,34
2024-06-14,35
2024-06-15,28
2024-06-16,27
2024-06-17,27
2024-06-18,27
2024-06-19,27
2024-06-20,27
2024-06-21,28
2024-06-22,27
2024-06-23,28
2024-06-24,28
2024-06-25,28
2024-06-26,28
2024-06-27,28
2024-06-28,28
2024-06-29,29
2024-06-30,31
2024-07-01,30
2024-07-02,30
2024-07-03,30
2024-07-04,30
2024-07-05,30
2024-07-06,30
2024-07-07,30
2024-07-08,30
2024-07-09,30
2024-07-10,30
2024-07-11,30
2024-07-12,30
2024-07-13,30
2024-07-14,30
2024-07-15,30
2024-07-16,30
2024-07-17,30
2024-07-18,30
2024-07-19,30
2024-07-20,30
2024-07-21,30
2024-07-22,31
2024-07-23,31
2024-07-24,31
2024-07-25,31
2024-07-26,31
2024-07-27,31
2024-07-28,31
2024-07-29,31
2024-07-30,31
2024-07-31,31
2024-08-01,31
2024-08-02,31
2024-08-03,31
2024-08-04,31
2024-08-05,31
2024-08-06,31
2024-08-07,31
2024-08-08,31
2024-08-09,31
2024-08-10,31
2024-08-11,31
2024-08-12,31
2024-08-13,31
2024-08-14,31
2024-08-15,31
2024-08-16,31
2024-08-17,31
2024-08-18,31
2024-08-19,31
2024-08-20,31
2024-08-21,31
2024-08-22,32
2024-08-23,32
2024-08-24,32
2024-08-25,32
2024-08-26,32
2024-08-27,32
2024-08-28,32
2024-08-29,32
2024-08-30,32
2024-08-31,33
2024-09-01,33
2024-09-02,33
2024-09-03,33
2024-09-04,33
2024-09-05,33
2024-09-06,33
2024-09-07,33
2024-09-08,33
2024-09-09,33
2024-09-10,33
2024-09-11,33
2024-09-12,33
2024-09-13,31
2024-09-14,31
2024-09-15,31
2024-09-16,31
2024-09-17,31
2024-09-18,31
2024-09-19,31
2024-09-20,30
2024-09-21,30
2024-09-22,30
2024-09-23,30
2024-09-24,30
2024-09-25,30
2024-09-26,30
2024-09-27,30
2024-09-28,30
2024-09-29,30
2024-09-30,30
2024-10-01,30
2024-10-02,30
2024-10-03,30
2024-10-04,30
2024-10-05,30
2024-10-06,30
2024-10-07,30
2024-10-08,30
2024-10-09,30
2024-10-10,30
2024-10-11,30
2024-10-12,30
2024-10-13,30
2024-10-14,30
2024-10-15,30
2024-10-16,30
2024-10-17,30
2024-10-18,30
2024-10-19,30
2024-10-20,30
2024-10-21,30
2024-10-22,30
2024-10-23,30
2024-10-24,30
2024-10-25,30
2024-10-26,30
2024-10-27,30
2024-10-28,30
2024-10-29,30
2024-10-30,30
2024-10-31,30
2024-11-01,30
2024-11-02,30
2024-11-03,30
2024-11-04,30
2024-11-05,30
2024-11-06,30
2024-11-07,30
2024-11-08,30
2024-11-09,30
2024-11-10,30
2024-11-11,30
2024-11-12,30
2024-11-13,30
2024-11-14,30
2024-11-15,30
2024-11-16,30
2024-11-17,30
2024-11-18,30
2024-11-19,30
2024-11-20,30
2024-11-21,30
2024-11-22,30
2024-11-23,29
2024-11-24,29
2024-11-25,29
2024-11-26,29
2024-11-27,29
2024-11-28,29
2024-11-29,29
2024-11-30,29
2024-12-01,29
2024-12-02,29
2024-12-03,29
2024-12-04,29
2024-12-05,29
2024-12-06,29
2024-12-07,29
2024-12-08,28
2024-12-09,28
2024-12-10,28
2024-12-11,27
2024-12-12,27
2024-12-13,27
2024-12-14,27
2024-12-15,27
2024-12-16,27
2024-12-17,18
