date,available
2023-12-18,0
2023-12-19,49
2023-12-20,55
2023-12-21,60
2023-12-22,63
2023-12-23,64
2023-12-24,65
2023-12-25,68
2023-12-26,68
2023-12-27,63
2023-12-28,63
2023-12-29,64
2023-12-30,55
2023-12-31,58
2024-01-01,71
2024-01-02,73
2024-01-03,76
2024-01-04,76
2024-01-05,73
2024-01-06,77
2024-01-07,81
2024-01-08,80
2024-01-09,82
2024-01-10,78
2024-01-11,79
2024-01-12,79
2024-01-13,80
2024-01-14,82
2024-01-15,80
2024-01-16,80
2024-01-17,79
2024-01-18,79
2024-01-19,79
2024-01-20,80
2024-01-21,81
2024-01-22,83
2024-01-23,82
2024-01-24,83
2024-01-25,84
2024-01-26,79
2024-01-27,79
2024-01-28,81
2024-01-29,81
2024-01-30,86
2024-01-31,88
2024-02-01,85
2024-02-02,86
2024-02-03,86
2024-02-04,86
2024-02-05,89
2024-02-06,89
2024-02-07,89
2024-02-08,88
2024-02-09,88
2024-02-10,89
2024-02-11,90
2024-02-12,89
2024-02-13,89
2024-02-14,88
2024-02-15,85
2024-02-16,84
2024-02-17,86
2024-02-18,87
2024-02-19,88
2024-02-20,88
2024-02-21,89
2024-02-22,90
2024-02-23,89
2024-02-24,89
2024-02-25,90
2024-02-26,90
2024-02-27,90
2024-02-28,89
2024-02-29,90
2024-03-01,90
2024-03-02,90
2024-03-03,92
2024-03-04,95
2024-03-05,96
2024-03-06,97
2024-03-07,97
2024-03-08,96
2024-03-09,95
2024-03-10,94
2024-03-11,87
2024-03-12,88
2024-03-13,88
2024-03-14,89
2024-03-15,85
2024-03-16,90
2024-03-17,83
2024-03-18,86
2024-03-19,85
2024-03-20,84
2024-03-21,83
2024-03-22,83
2024-03-23,83
2024-03-24,85
2024-03-25,87
2024-03-26,87
2024-03-27,87
2024-03-28,83
2024-03-29,82
2024-03-30,84
2024-03-31,89
2024-04-01,84
2024-04-02,83
2024-04-03,86
2024-04-04,84
2024-04-05,81
2024-04-06,85
2024-04-07,90
2024-04-08,83
2024-04-09,83
2024-04-10,84
2024-04-11,84
2024-04-12,79
2024-04-13,72
2024-04-14,71
2024-04-15,73
2024-04-16,79
