date,available
2023-12-18,1
2023-12-19,31
2023-12-20,38
2023-12-21,41
2023-12-22,37
2023-12-23,34
2023-12-24,33
2023-12-25,33
2023-12-26,32
2023-12-27,29
2023-12-28,30
2023-12-29,30
2023-12-30,32
2023-12-31,35
2024-01-01,40
2024-01-02,41
2024-01-03,44
2024-01-04,47
2024-01-05,46
2024-01-06,46
2024-01-07,48
2024-01-08,50
2024-01-09,50
2024-01-10,50
2024-01-11,50
2024-01-12,49
2024-01-13,53
2024-01-14,52
2024-01-15,55
2024-01-16,55
2024-01-17,54
2024-01-18,54
2024-01-19,53
2024-01-20,53
2024-01-21,54
2024-01-22,54
2024-01-23,55
2024-01-24,56
2024-01-25,55
2024-01-26,55
2024-01-27,53
2024-01-28,55
2024-01-29,55
2024-01-30,55
2024-01-31,56
2024-02-01,57
2024-02-02,57
2024-02-03,57
2024-02-04,57
2024-02-05,56
2024-02-06,59
2024-02-07,59
2024-02-08,59
2024-02-09,58
2024-02-10,58
2024-02-11,58
2024-02-12,57
2024-02-13,57
2024-02-14,58
2024-02-15,57
2024-02-16,57
2024-02-17,57
2024-02-18,57
2024-02-19,56
2024-02-20,56
2024-02-21,56
2024-02-22,56
2024-02-23,56
2024-02-24,56
2024-02-25,57
2024-02-26,57
2024-02-27,58
2024-02-28,58
2024-02-29,58
2024-03-01,59
2024-03-02,59
2024-03-03,60
2024-03-04,59
2024-03-05,59
2024-03-06,59
2024-03-07,57
2024-03-08,57
2024-03-09,58
2024-03-10,59
2024-03-11,58
2024-03-12,59
2024-03-13,59
2024-03-14,59
2024-03-15,58
2024-03-16,58
2024-03-17,45
2024-03-18,41
2024-03-19,41
2024-03-20,42
2024-03-21,41
2024-03-22,41
2024-03-23,40
2024-03-24,41
2024-03-25,41
2024-03-26,42
2024-03-27,40
2024-03-28,39
2024-03-29,39
2024-03-30,39
2024-03-31,39
2024-04-01,42
2024-04-02,42
2024-04-03,43
2024-04-04,44
2024-04-05,44
2024-04-06,45
2024-04-07,45
2024-04-08,45
2024-04-09,45
2024-04-10,46
2024-04-11,43
2024-04-12,39
2024-04-13,37
2024-04-14,35
2024-04-15,35
2024-04-16,41
2024-04-17,47
2024-04-18,47
2024-04-19,47
2024-04-20,48
2024-04-21,47
2024-04-22,47
2024-04-23,46
2024-04-24,45
2024-04-25,44
2024-04-26,45
2024-04-27,45
2024-04-28,46
2024-04-29,44
2024-04-30,44
2024-05-01,46
2024-05-02,46
2024-05-03,44
2024-05-04,43
2024-05-05,43
2024-05-06,44
2024-05-07,46
2024-05-08,45
2024-05-09,44
2024-05-10,45
2024-05-11,43
2024-05-12,43
2024-05-13,44
2024-05-14,46
2024-05-15,45
2024-05-16,45
2024-05-17,44
2024-05-18,44
2024-05-19,47
2024-05-20,46
2024-05-21,48
2024-05-22,47
2024-05-23,47
2024-05-24,47
2024-05-25,49
2024-05-26,49
2024-05-27,49
2024-05-28,50
2024-05-29,50
2024-05-30,50
2024-05-31,52
2024-06-01,48
