date,available
2023-12-18,0
2023-12-19,161
2023-12-20,173
2023-12-21,180
2023-12-22,171
2023-12-23,176
2023-12-24,174
2023-12-25,178
2023-12-26,174
2023-12-27,179
2023-12-28,171
2023-12-29,173
2023-12-30,163
2023-12-31,179
2024-01-01,201
2024-01-02,205
2024-01-03,199
2024-01-04,201
2024-01-05,204
2024-01-06,200
2024-01-07,203
2024-01-08,204
2024-01-09,205
2024-01-10,209
2024-01-11,204
2024-01-12,205
2024-01-13,198
2024-01-14,198
2024-01-15,206
2024-01-16,207
2024-01-17,207
2024-01-18,205
2024-01-19,200
2024-01-20,199
2024-01-21,203
2024-01-22,206
2024-01-23,205
2024-01-24,204
2024-01-25,202
2024-01-26,202
2024-01-27,201
2024-01-28,205
2024-01-29,208
2024-01-30,208
2024-01-31,208
2024-02-01,207
2024-02-02,209
2024-02-03,207
2024-02-04,207
2024-02-05,209
2024-02-06,210
2024-02-07,208
2024-02-08,209
2024-02-09,204
2024-02-10,204
2024-02-11,208
2024-02-12,209
2024-02-13,211
2024-02-14,201
2024-02-15,200
2024-02-16,201
2024-02-17,202
2024-02-18,215
2024-02-19,216
2024-02-20,215
2024-02-21,219
2024-02-22,220
2024-02-23,217
2024-02-24,217
2024-02-25,221
2024-02-26,221
2024-02-27,219
2024-02-28,218
2024-02-29,222
2024-03-01,203
2024-03-02,208
2024-03-03,208
2024-03-04,208
2024-03-05,209
2024-03-06,209
2024-03-07,204
2024-03-08,210
2024-03-09,203
2024-03-10,204
2024-03-11,204
2024-03-12,214
2024-03-13,214
2024-03-14,207
2024-03-15,204
2024-03-16,203
2024-03-17,199
2024-03-18,200
2024-03-19,199
2024-03-20,193
2024-03-21,190
2024-03-22,190
2024-03-23,189
2024-03-24,198
2024-03-25,202
2024-03-26,204
2024-03-27,200
2024-03-28,193
2024-03-29,190
2024-03-30,185
2024-03-31,197
2024-04-01,197
2024-04-02,203
2024-04-03,204
2024-04-04,203
2024-04-05,203
2024-04-06,209
2024-04-07,214
