date,available
2023-12-18,1
2023-12-19,158
2023-12-20,163
2023-12-21,170
2023-12-22,166
2023-12-23,163
2023-12-24,167
2023-12-25,167
2023-12-26,159
2023-12-27,159
2023-12-28,155
2023-12-29,161
2023-12-30,156
2023-12-31,158
2024-01-01,179
2024-01-02,182
2024-01-03,186
2024-01-04,187
2024-01-05,194
2024-01-06,191
2024-01-07,188
2024-01-08,198
2024-01-09,198
2024-01-10,197
2024-01-11,194
2024-01-12,189
2024-01-13,187
2024-01-14,187
2024-01-15,190
2024-01-16,192
2024-01-17,191
2024-01-18,195
2024-01-19,190
2024-01-20,194
2024-01-21,192
2024-01-22,194
2024-01-23,195
2024-01-24,194
2024-01-25,193
2024-01-26,193
2024-01-27,195
2024-01-28,194
2024-01-29,199
2024-01-30,199
2024-01-31,204
2024-02-01,196
2024-02-02,201
2024-02-03,199
2024-02-04,200
2024-02-05,204
2024-02-06,207
2024-02-07,205
2024-02-08,206
2024-02-09,206
2024-02-10,206
2024-02-11,208
2024-02-12,209
2024-02-13,205
2024-02-14,198
2024-02-15,200
2024-02-16,200
2024-02-17,202
2024-02-18,209
2024-02-19,216
2024-02-20,217
2024-02-21,217
2024-02-22,217
2024-02-23,217
2024-02-24,216
2024-02-25,218
2024-02-26,209
2024-02-27,209
2024-02-28,209
2024-02-29,204
2024-03-01,194
2024-03-02,187
2024-03-03,189
2024-03-04,190
2024-03-05,188
2024-03-06,186
2024-03-07,180
2024-03-08,181
2024-03-09,187
2024-03-10,188
2024-03-11,190
2024-03-12,194
2024-03-13,193
2024-03-14,189
2024-03-15,187
2024-03-16,191
2024-03-17,191
2024-03-18,189
2024-03-19,195
2024-03-20,194
2024-03-21,192
2024-03-22,191
2024-03-23,195
2024-03-24,198
2024-03-25,199
2024-03-26,200
2024-03-27,198
2024-03-28,198
2024-03-29,199
2024-03-30,198
2024-03-31,194
2024-04-01,195
2024-04-02,194
2024-04-03,195
2024-04-04,192
2024-04-05,201
2024-04-06,203
2024-04-07,204
2024-04-08,204
2024-04-09,205
2024-04-10,205
2024-04-11,187
2024-04-12,150
2024-04-13,125
2024-04-14,122
2024-04-15,124
2024-04-16,179
2024-04-17,196
2024-04-18,200
2024-04-19,198
2024-04-20,200
2024-04-21,199
2024-04-22,197
2024-04-23,197
2024-04-24,195
2024-04-25,191
2024-04-26,195
2024-04-27,195
2024-04-28,197
2024-04-29,202
2024-04-30,204
2024-05-01,199
2024-05-02,192
2024-05-03,190
2024-05-04,189
2024-05-05,188
2024-05-06,195
2024-05-07,203
2024-05-08,203
2024-05-09,202
2024-05-10,201
2024-05-11,201
2024-05-12,202
2024-05-13,210
2024-05-14,207
2024-05-15,203
2024-05-16,196
2024-05-17,195
2024-05-18,195
2024-05-19,197
2024-05-20,201
2024-05-21,202
2024-05-22,198
2024-05-23,199
2024-05-24,198
2024-05-25,204
2024-05-26,204
2024-05-27,205
2024-05-28,205
2024-05-29,202
2024-05-30,201
2024-05-31,202
2024-06-01,204
2024-06-02,206
2024-06-03,206
2024-06-04,204
2024-06-05,204
2024-06-06,206
2024-06-07,206
2024-06-08,206
2024-06-09,207
2024-06-10,206
2024-06-11,205
2024-06-12,206
2024-06-13,207
2024-06-14,208
2024-06-15,196
2024-06-16,190
2024-06-17,189
2024-06-18,186
2024-06-19,186
2024-06-20,185
2024-06-21,190
2024-06-22,188
2024-06-23,189
2024-06-24,189
2024-06-25,188
2024-06-26,189
2024-06-27,191
2024-06-28,191
2024-06-29,189
2024-06-30,190
2024-07-01,191
2024-07-02,192
2024-07-03,192
2024-07-04,191
2024-07-05,188
2024-07-06,188
2024-07-07,189
2024-07-08,190
2024-07-09,189
2024-07-10,189
2024-07-11,192
2024-07-12,190
2024-07-13,190
2024-07-14,186
2024-07-15,188
2024-07-16,191
2024-07-17,190
2024-07-18,188
2024-07-19,187
2024-07-20,188
2024-07-21,184
2024-07-22,190
2024-07-23,191
2024-07-24,191
2024-07-25,191
2024-07-26,191
2024-07-27,190
2024-07-28,190
2024-07-29,191
2024-07-30,193
2024-07-31,193
2024-08-01,192
2024-08-02,192
2024-08-03,192
2024-08-04,193
2024-08-05,192
2024-08-06,192
2024-08-07,191
2024-08-08,190
2024-08-09,190
2024-08-10,187
2024-08-11,186
2024-08-12,188
2024-08-13,189
2024-08-14,190
2024-08-15,194
2024-08-16,196
2024-08-17,196
2024-08-18,195
2024-08-19,196
2024-08-20,197
2024-08-21,196
2024-08-22,195
2024-08-23,195
2024-08-24,196
2024-08-25,196
2024-08-26,194
2024-08-27,189
2024-08-28,189
2024-08-29,192
2024-08-30,192
2024-08-31,191
2024-09-01,189
2024-09-02,189
2024-09-03,188
2024-09-04,188
2024-09-05,188
2024-09-06,186
2024-09-07,185
2024-09-08,186
2024-09-09,185
2024-09-10,184
2024-09-11,184
2024-09-12,185
2024-09-13,180
2024-09-14,179
2024-09-15,181
2024-09-16,181
2024-09-17,179
2024-09-18,177
2024-09-19,178
2024-09-20,175
2024-09-21,174
2024-09-22,175
2024-09-23,175
2024-09-24,175
2024-09-25,176
2024-09-26,176
2024-09-27,174
2024-09-28,174
2024-09-29,174
2024-09-30,174
2024-10-01,173
2024-10-02,173
2024-10-03,174
2024-10-04,174
2024-10-05,173
2024-10-06,174
2024-10-07,174
2024-10-08,174
2024-10-09,174
2024-10-10,173
2024-10-11,173
2024-10-12,173
2024-10-13,174
2024-10-14,174
2024-10-15,174
2024-10-16,174
2024-10-17,174
2024-10-18,175
2024-10-19,174
2024-10-20,175
2024-10-21,176
2024-10-22,176
2024-10-23,176
2024-10-24,176
2024-10-25,176
2024-10-26,176
2024-10-27,176
2024-10-28,175
2024-10-29,175
2024-10-30,175
2024-10-31,172
2024-11-01,170
2024-11-02,170
2024-11-03,170
2024-11-04,170
2024-11-05,170
2024-11-06,169
2024-11-07,169
2024-11-08,169
2024-11-09,169
2024-11-10,169
2024-11-11,161
2024-11-12,161
2024-11-13,161
2024-11-14,161
2024-11-15,161
2024-11-16,160
2024-11-17,160
2024-11-18,161
2024-11-19,161
2024-11-20,159
2024-11-21,159
2024-11-22,159
2024-11-23,159
2024-11-24,159
2024-11-25,159
2024-11-26,160
2024-11-27,160
2024-11-28,160
2024-11-29,160
2024-11-30,160
2024-12-01,155
2024-12-02,155
2024-12-03,155
2024-12-04,155
2024-12-05,155
2024-12-06,155
2024-12-07,155
2024-12-08,155
2024-12-09,155
2024-12-10,155
2024-12-11,155
2024-12-12,155
2024-12-13,155
2024-12-14,154
2024-12-15,154
2024-12-16,154
2024-12-17,124
