date,available
2023-12-19,44
2023-12-20,45
2023-12-21,45
2023-12-22,37
2023-12-23,36
2023-12-24,34
2023-12-25,34
2023-12-26,34
2023-12-27,34
2023-12-28,39
2023-12-29,46
2023-12-30,47
2023-12-31,48
2024-01-01,44
2024-01-02,45
2024-01-03,44
2024-01-04,44
2024-01-05,44
2024-01-06,45
2024-01-07,45
2024-01-08,45
2024-01-09,44
2024-01-10,43
2024-01-11,43
2024-01-12,43
2024-01-13,41
2024-01-14,41
2024-01-15,43
2024-01-16,44
2024-01-17,44
2024-01-18,46
2024-01-19,46
2024-01-20,46
2024-01-21,46
2024-01-22,45
2024-01-23,45
2024-01-24,45
2024-01-25,46
2024-01-26,46
2024-01-27,46
2024-01-28,46
2024-01-29,45
2024-01-30,45
2024-01-31,46
2024-02-01,44
2024-02-02,46
2024-02-03,46
2024-02-04,47
2024-02-05,45
2024-02-06,45
2024-02-07,45
2024-02-08,46
2024-02-09,47
2024-02-10,47
2024-02-11,47
2024-02-12,46
2024-02-13,46
2024-02-14,46
2024-02-15,47
2024-02-16,47
2024-02-17,47
2024-02-18,47
2024-02-19,47
2024-02-20,46
2024-02-21,46
2024-02-22,47
2024-02-23,47
2024-02-24,47
2024-02-25,47
2024-02-26,46
2024-02-27,46
2024-02-28,46
2024-02-29,48
2024-03-01,47
2024-03-02,47
2024-03-03,46
2024-03-04,45
2024-03-05,43
2024-03-06,45
2024-03-07,45
2024-03-08,45
2024-03-09,47
2024-03-10,47
2024-03-11,47
2024-03-12,48
2024-03-13,48
2024-03-14,46
2024-03-15,45
2024-03-16,47
2024-03-17,34
2024-03-18,33
2024-03-19,32
2024-03-20,32
2024-03-21,32
2024-03-22,33
2024-03-23,33
2024-03-24,34
2024-03-25,32
2024-03-26,34
2024-03-27,33
2024-03-28,33
2024-03-29,33
2024-03-30,33
2024-03-31,32
2024-04-01,31
2024-04-02,32
2024-04-03,33
2024-04-04,33
2024-04-05,33
2024-04-06,33
2024-04-07,33
2024-04-08,33
2024-04-09,33
2024-04-10,33
2024-04-11,31
2024-04-12,22
2024-04-13,17
2024-04-14,16
2024-04-15,17
2024-04-16,28
2024-04-17,30
2024-04-18,32
2024-04-19,33
2024-04-20,33
2024-04-21,32
2024-04-22,32
2024-04-23,32
2024-04-24,33
2024-04-25,33
2024-04-26,31
2024-04-27,31
2024-04-28,31
2024-04-29,32
2024-04-30,32
2024-05-01,31
2024-05-02,26
2024-05-03,26
2024-05-04,26
2024-05-05,27
2024-05-06,31
2024-05-07,31
2024-05-08,32
2024-05-09,33
2024-05-10,31
2024-05-11,31
2024-05-12,33
2024-05-13,32
2024-05-14,33
2024-05-15,27
2024-05-16,27
2024-05-17,26
2024-05-18,23
2024-05-19,22
2024-05-20,23
2024-05-21,31
2024-05-22,30
2024-05-23,24
2024-05-24,25
2024-05-25,30
2024-05-26,32
2024-05-27,32
2024-05-28,31
2024-05-29,32
2024-05-30,33
2024-05-31,33
2024-06-01,34
2024-06-02,34
2024-06-03,34
2024-06-04,33
2024-06-05,33
2024-06-06,33
2024-06-07,33
2024-06-08,32
2024-06-09,32
2024-06-10,33
2024-06-11,33
2024-06-12,34
2024-06-13,29
2024-06-14,29
2024-06-15,25
2024-06-16,25
2024-06-17,25
2024-06-18,25
2024-06-19,26
2024-06-20,25
2024-06-21,24
2024-06-22,24
2024-06-23,24
2024-06-24,24
2024-06-25,24
2024-06-26,25
2024-06-27,25
2024-06-28,25
2024-06-29,25
2024-06-30,25
2024-07-01,26
2024-07-02,26
2024-07-03,26
2024-07-04,26
2024-07-05,26
2024-07-06,26
2024-07-07,26
2024-07-08,26
2024-07-09,26
2024-07-10,26
2024-07-11,26
2024-07-12,26
2024-07-13,26
2024-07-14,26
2024-07-15,26
2024-07-16,26
2024-07-17,26
2024-07-18,25
2024-07-19,25
2024-07-20,25
2024-07-21,27
2024-07-22,27
2024-07-23,27
2024-07-24,27
2024-07-25,26
2024-07-26,26
2024-07-27,26
2024-07-28,26
2024-07-29,26
2024-07-30,25
2024-07-31,26
2024-08-01,26
2024-08-02,26
2024-08-03,26
2024-08-04,26
2024-08-05,27
2024-08-06,27
2024-08-07,27
2024-08-08,27
2024-08-09,27
2024-08-10,27
2024-08-11,27
2024-08-12,27
2024-08-13,26
2024-08-14,27
2024-08-15,27
2024-08-16,27
2024-08-17,27
2024-08-18,27
2024-08-19,27
2024-08-20,27
2024-08-21,26
2024-08-22,27
2024-08-23,26
2024-08-24,26
2024-08-25,26
2024-08-26,26
2024-08-27,27
2024-08-28,27
2024-08-29,27
2024-08-30,27
2024-08-31,27
2024-09-01,27
2024-09-02,27
2024-09-03,27
2024-09-04,27
2024-09-05,27
2024-09-06,27
2024-09-07,27
2024-09-08,27
2024-09-09,27
2024-09-10,27
2024-09-11,27
2024-09-12,27
2024-09-13,20
2024-09-14,20
2024-09-15,20
2024-09-16,20
2024-09-17,20
2024-09-18,20
2024-09-19,20
2024-09-20,20
2024-09-21,20
2024-09-22,20
2024-09-23,19
2024-09-24,18
2024-09-25,18
2024-09-26,20
2024-09-27,20
2024-09-28,20
2024-09-29,20
2024-09-30,20
2024-10-01,19
2024-10-02,19
2024-10-03,19
2024-10-04,19
2024-10-05,19
2024-10-06,19
2024-10-07,19
2024-10-08,19
2024-10-09,19
2024-10-10,19
2024-10-11,18
2024-10-12,18
2024-10-13,19
2024-10-14,19
2024-10-15,19
2024-10-16,19
2024-10-17,19
2024-10-18,19
2024-10-19,19
2024-10-20,19
2024-10-21,19
2024-10-22,19
2024-10-23,19
2024-10-24,19
2024-10-25,19
2024-10-26,19
2024-10-27,19
2024-10-28,19
2024-10-29,19
2024-10-30,19
2024-10-31,19
2024-11-01,19
2024-11-02,20
2024-11-03,20
2024-11-04,20
2024-11-05,20
2024-11-06,20
2024-11-07,20
2024-11-08,20
2024-11-09,20
2024-11-10,19
2024-11-11,19
2024-11-12,19
2024-11-13,19
2024-11-14,19
2024-11-15,19
2024-11-16,19
2024-11-17,19
2024-11-18,19
2024-11-19,19
2024-11-20,19
2024-11-21,19
2024-11-22,19
2024-11-23,18
2024-11-24,18
2024-11-25,18
2024-11-26,18
2024-11-27,18
2024-11-28,18
2024-11-29,18
2024-11-30,18
2024-12-01,18
2024-12-02,18
2024-12-03,18
2024-12-04,18
2024-12-05,18
2024-12-06,18
2024-12-07,18
2024-12-08,18
2024-12-09,18
2024-12-10,18
2024-12-11,18
2024-12-12,18
2024-12-13,18
2024-12-14,18
2024-12-15,18
2024-12-16,18
2024-12-17,7
