date,available
2023-12-27,86
2023-12-28,90
2023-12-29,91
2023-12-30,96
2023-12-31,102
2024-01-01,94
2024-01-02,102
2024-01-03,102
2024-01-04,102
2024-01-05,103
2024-01-06,100
2024-01-07,111
2024-01-08,113
2024-01-09,112
2024-01-10,114
2024-01-11,114
2024-01-12,110
2024-01-13,114
2024-01-14,106
2024-01-15,110
2024-01-16,110
2024-01-17,108
2024-01-18,107
2024-01-19,107
2024-01-20,107
2024-01-21,105
2024-01-22,115
2024-01-23,110
2024-01-24,107
2024-01-25,109
2024-01-26,112
2024-01-27,115
2024-01-28,117
2024-01-29,117
2024-01-30,117
2024-01-31,119
2024-02-01,116
2024-02-02,125
2024-02-03,125
2024-02-04,126
2024-02-05,127
2024-02-06,127
2024-02-07,130
2024-02-08,128
2024-02-09,130
2024-02-10,133
2024-02-11,133
2024-02-12,132
2024-02-13,135
2024-02-14,133
2024-02-15,133
2024-02-16,132
2024-02-17,135
2024-02-18,135
2024-02-19,139
2024-02-20,138
2024-02-21,139
2024-02-22,132
2024-02-23,137
2024-02-24,136
2024-02-25,141
2024-02-26,140
2024-02-27,140
2024-02-28,140
2024-02-29,134
2024-03-01,138
2024-03-02,139
2024-03-03,144
2024-03-04,144
2024-03-05,122
2024-03-06,123
2024-03-07,122
2024-03-08,147
2024-03-09,145
2024-03-10,145
2024-03-11,144
2024-03-12,144
2024-03-13,143
2024-03-14,143
2024-03-15,143
2024-03-16,144
2024-03-17,143
2024-03-18,142
2024-03-19,142
2024-03-20,140
2024-03-21,136
2024-03-22,138
2024-03-23,138
2024-03-24,143
2024-03-25,143
2024-03-26,135
2024-03-27,133
2024-03-28,134
2024-03-29,135
2024-03-30,136
2024-03-31,140
2024-04-01,144
2024-04-02,145
2024-04-03,144
2024-04-04,143
2024-04-05,147
2024-04-06,146
2024-04-07,146
2024-04-08,144
2024-04-09,144
2024-04-10,144
2024-04-11,142
2024-04-12,129
2024-04-13,116
2024-04-14,115
2024-04-15,116
2024-04-16,133
2024-04-17,141
2024-04-18,143
2024-04-19,144
2024-04-20,145
2024-04-21,147
2024-04-22,148
2024-04-23,147
2024-04-24,147
2024-04-25,146
2024-04-26,148
2024-04-27,147
2024-04-28,147
2024-04-29,145
2024-04-30,143
2024-05-01,140
2024-05-02,139
2024-05-03,140
2024-05-04,144
2024-05-05,145
2024-05-06,150
2024-05-07,149
2024-05-08,149
2024-05-09,151
2024-05-10,149
2024-05-11,150
2024-05-12,150
2024-05-13,151
2024-05-14,152
2024-05-15,156
2024-05-16,152
2024-05-17,149
2024-05-18,148
2024-05-19,148
2024-05-20,145
2024-05-21,136
2024-05-22,133
2024-05-23,134
2024-05-24,140
2024-05-25,153
2024-05-26,159
2024-05-27,159
2024-05-28,152
2024-05-29,147
2024-05-30,145
2024-05-31,144
2024-06-01,151
2024-06-02,156
2024-06-03,158
2024-06-04,159
2024-06-05,158
2024-06-06,158
2024-06-07,160
2024-06-08,160
2024-06-09,160
2024-06-10,159
2024-06-11,160
2024-06-12,159
2024-06-13,159
2024-06-14,160
2024-06-15,160
2024-06-16,160
2024-06-17,161
2024-06-18,163
2024-06-19,163
2024-06-20,163
2024-06-21,164
2024-06-22,164
2024-06-23,161
2024-06-24,128
2024-06-25,128
2024-06-26,128
2024-06-27,128
2024-06-28,148
2024-06-29,148
2024-06-30,151
2024-07-01,149
2024-07-02,152
2024-07-03,152
2024-07-04,151
2024-07-05,152
2024-07-06,152
2024-07-07,149
2024-07-08,146
2024-07-09,147
2024-07-10,145
2024-07-11,146
2024-07-12,149
2024-07-13,152
2024-07-14,151
2024-07-15,144
2024-07-16,145
2024-07-17,147
2024-07-18,151
2024-07-19,151
2024-07-20,150
2024-07-21,150
2024-07-22,147
2024-07-23,145
2024-07-24,145
2024-07-25,151
2024-07-26,152
2024-07-27,152
2024-07-28,152
2024-07-29,152
2024-07-30,152
2024-07-31,153
2024-08-01,153
2024-08-02,153
2024-08-03,154
2024-08-04,154
2024-08-05,154
2024-08-06,155
2024-08-07,154
2024-08-08,154
2024-08-09,154
2024-08-10,156
2024-08-11,155
2024-08-12,155
2024-08-13,155
2024-08-14,155
2024-08-15,155
2024-08-16,155
2024-08-17,155
2024-08-18,155
2024-08-19,155
2024-08-20,155
2024-08-21,156
2024-08-22,155
2024-08-23,156
2024-08-24,154
2024-08-25,156
2024-08-26,157
2024-08-27,159
2024-08-28,158
2024-08-29,158
2024-08-30,158
2024-08-31,152
2024-09-01,153
2024-09-02,152
2024-09-03,152
2024-09-04,152
2024-09-05,153
2024-09-06,152
2024-09-07,152
2024-09-08,153
2024-09-09,152
2024-09-10,152
2024-09-11,152
2024-09-12,152
2024-09-13,152
2024-09-14,152
2024-09-15,152
2024-09-16,153
2024-09-17,154
2024-09-18,153
2024-09-19,154
2024-09-20,153
2024-09-21,154
2024-09-22,142
2024-09-23,142
2024-09-24,142
2024-09-25,142
2024-09-26,142
2024-09-27,142
2024-09-28,142
2024-09-29,142
2024-09-30,142
2024-10-01,141
2024-10-02,141
2024-10-03,141
2024-10-04,141
2024-10-05,142
2024-10-06,142
2024-10-07,142
2024-10-08,143
2024-10-09,142
2024-10-10,141
2024-10-11,142
2024-10-12,142
2024-10-13,142
2024-10-14,143
2024-10-15,142
2024-10-16,142
2024-10-17,142
2024-10-18,140
2024-10-19,143
2024-10-20,143
2024-10-21,143
2024-10-22,143
2024-10-23,144
2024-10-24,144
2024-10-25,142
2024-10-26,142
2024-10-27,144
2024-10-28,142
2024-10-29,144
2024-10-30,144
2024-10-31,144
2024-11-01,144
2024-11-02,144
2024-11-03,144
2024-11-04,144
2024-11-05,144
2024-11-06,144
2024-11-07,144
2024-11-08,141
2024-11-09,144
2024-11-10,144
2024-11-11,144
2024-11-12,144
2024-11-13,144
2024-11-14,144
2024-11-15,144
2024-11-16,144
2024-11-17,144
2024-11-18,144
2024-11-19,144
2024-11-20,144
2024-11-21,144
2024-11-22,144
2024-11-23,144
2024-11-24,144
2024-11-25,144
2024-11-26,144
2024-11-27,144
2024-11-28,144
2024-11-29,144
2024-11-30,144
2024-12-01,144
2024-12-02,144
2024-12-03,144
2024-12-04,144
2024-12-05,144
2024-12-06,144
2024-12-07,144
2024-12-08,144
2024-12-09,144
2024-12-10,144
2024-12-11,144
2024-12-12,144
2024-12-13,144
2024-12-14,144
2024-12-15,144
2024-12-16,144
2024-12-17,144
2024-12-18,144
2024-12-19,144
2024-12-20,141
2024-12-21,137
2024-12-22,137
2024-12-23,137
2024-12-24,137
2024-12-25,135
