date,available
2023-12-27,57
2023-12-28,68
2023-12-29,70
2023-12-30,74
2023-12-31,73
2024-01-01,84
2024-01-02,87
2024-01-03,89
2024-01-04,84
2024-01-05,83
2024-01-06,84
2024-01-07,88
2024-01-08,89
2024-01-09,87
2024-01-10,88
2024-01-11,88
2024-01-12,88
2024-01-13,83
2024-01-14,84
2024-01-15,89
2024-01-16,89
2024-01-17,87
2024-01-18,88
2024-01-19,88
2024-01-20,87
2024-01-21,89
2024-01-22,89
2024-01-23,87
2024-01-24,87
2024-01-25,86
2024-01-26,86
2024-01-27,79
2024-01-28,84
2024-01-29,85
2024-01-30,87
2024-01-31,90
2024-02-01,92
2024-02-02,91
2024-02-03,88
2024-02-04,89
2024-02-05,88
2024-02-06,88
2024-02-07,89
2024-02-08,87
2024-02-09,86
2024-02-10,84
2024-02-11,90
2024-02-12,89
2024-02-13,88
2024-02-14,86
2024-02-15,84
2024-02-16,81
2024-02-17,73
2024-02-18,79
2024-02-19,83
2024-02-20,84
2024-02-21,87
2024-02-22,84
2024-02-23,84
2024-02-24,85
2024-02-25,88
2024-02-26,92
2024-02-27,92
2024-02-28,92
2024-02-29,92
2024-03-01,84
2024-03-02,85
2024-03-03,88
2024-03-04,88
2024-03-05,86
2024-03-06,86
2024-03-07,87
2024-03-08,84
2024-03-09,84
2024-03-10,88
2024-03-11,87
2024-03-12,87
2024-03-13,83
2024-03-14,83
2024-03-15,85
2024-03-16,85
2024-03-17,87
2024-03-18,87
2024-03-19,86
2024-03-20,85
2024-03-21,84
2024-03-22,85
2024-03-23,85
2024-03-24,87
2024-03-25,88
2024-03-26,81
2024-03-27,82
2024-03-28,74
2024-03-29,74
2024-03-30,76
2024-03-31,83
2024-04-01,76
2024-04-02,76
2024-04-03,75
2024-04-04,74
2024-04-05,76
2024-04-06,79
2024-04-07,83
2024-04-08,82
2024-04-09,82
2024-04-10,78
2024-04-11,68
2024-04-12,59
2024-04-13,50
2024-04-14,51
2024-04-15,54
2024-04-16,78
2024-04-17,83
2024-04-18,84
2024-04-19,82
2024-04-20,84
2024-04-21,87
2024-04-22,87
2024-04-23,86
2024-04-24,83
2024-04-25,83
2024-04-26,82
2024-04-27,82
2024-04-28,82
2024-04-29,82
2024-04-30,81
2024-05-01,76
2024-05-02,75
2024-05-03,75
2024-05-04,76
2024-05-05,79
2024-05-06,81
2024-05-07,79
2024-05-08,77
2024-05-09,80
2024-05-10,76
2024-05-11,77
2024-05-12,79
2024-05-13,79
2024-05-14,80
2024-05-15,82
2024-05-16,77
2024-05-17,71
2024-05-18,70
2024-05-19,68
2024-05-20,67
2024-05-21,58
2024-05-22,53
2024-05-23,53
2024-05-24,62
2024-05-25,71
2024-05-26,75
2024-05-27,75
2024-05-28,74
2024-05-29,73
2024-05-30,64
2024-05-31,63
2024-06-01,64
2024-06-02,76
2024-06-03,78
2024-06-04,79
2024-06-05,77
2024-06-06,78
2024-06-07,78
2024-06-08,78
2024-06-09,80
2024-06-10,83
2024-06-11,81
2024-06-12,82
2024-06-13,91
2024-06-14,90
2024-06-15,90
2024-06-16,90
2024-06-17,93
2024-06-18,92
2024-06-19,92
2024-06-20,91
2024-06-21,89
2024-06-22,87
2024-06-23,91
2024-06-24,82
2024-06-25,80
2024-06-26,80
2024-06-27,80
2024-06-28,78
2024-06-29,83
2024-06-30,80
2024-07-01,82
2024-07-02,82
2024-07-03,82
2024-07-04,81
2024-07-05,81
2024-07-06,79
2024-07-07,80
2024-07-08,82
2024-07-09,82
2024-07-10,82
2024-07-11,82
2024-07-12,82
2024-07-13,83
2024-07-14,81
2024-07-15,80
2024-07-16,79
2024-07-17,80
2024-07-18,76
2024-07-19,75
2024-07-20,78
2024-07-21,83
2024-07-22,83
2024-07-23,83
2024-07-24,82
2024-07-25,79
2024-07-26,80
2024-07-27,81
2024-07-28,81
2024-07-29,80
2024-07-30,80
2024-07-31,82
2024-08-01,83
2024-08-02,83
2024-08-03,82
2024-08-04,85
2024-08-05,83
2024-08-06,83
2024-08-07,84
2024-08-08,85
2024-08-09,85
2024-08-10,85
2024-08-11,85
2024-08-12,86
2024-08-13,85
2024-08-14,85
2024-08-15,85
2024-08-16,85
2024-08-17,84
2024-08-18,74
2024-08-19,76
2024-08-20,76
2024-08-21,77
2024-08-22,78
2024-08-23,78
2024-08-24,78
2024-08-25,78
2024-08-26,78
2024-08-27,76
2024-08-28,76
2024-08-29,77
2024-08-30,77
2024-08-31,68
2024-09-01,66
2024-09-02,66
2024-09-03,66
2024-09-04,66
2024-09-05,74
2024-09-06,74
2024-09-07,74
2024-09-08,73
2024-09-09,73
2024-09-10,73
2024-09-11,71
2024-09-12,70
2024-09-13,71
2024-09-14,71
2024-09-15,72
2024-09-16,71
2024-09-17,72
2024-09-18,73
2024-09-19,71
2024-09-20,71
2024-09-21,71
2024-09-22,67
2024-09-23,67
2024-09-24,67
2024-09-25,67
2024-09-26,65
2024-09-27,65
2024-09-28,65
2024-09-29,65
2024-09-30,67
2024-10-01,64
2024-10-02,64
2024-10-03,64
2024-10-04,66
2024-10-05,65
2024-10-06,66
2024-10-07,66
2024-10-08,66
2024-10-09,66
2024-10-10,63
2024-10-11,62
2024-10-12,62
2024-10-13,65
2024-10-14,66
2024-10-15,64
2024-10-16,63
2024-10-17,61
2024-10-18,59
2024-10-19,52
2024-10-20,55
2024-10-21,57
2024-10-22,56
2024-10-23,56
