date,available
2023-12-26,6
2023-12-27,41
2023-12-28,44
2023-12-29,42
2023-12-30,48
2023-12-31,39
2024-01-01,54
2024-01-02,61
2024-01-03,59
2024-01-04,58
2024-01-05,58
2024-01-06,62
2024-01-07,67
2024-01-08,62
2024-01-09,61
2024-01-10,61
2024-01-11,61
2024-01-12,62
2024-01-13,63
2024-01-14,68
2024-01-15,67
2024-01-16,67
2024-01-17,66
2024-01-18,67
2024-01-19,67
2024-01-20,69
2024-01-21,71
2024-01-22,71
2024-01-23,71
2024-01-24,68
2024-01-25,67
2024-01-26,71
2024-01-27,71
2024-01-28,75
2024-01-29,74
2024-01-30,75
2024-01-31,76
2024-02-01,75
2024-02-02,76
2024-02-03,78
2024-02-04,78
2024-02-05,76
2024-02-06,76
2024-02-07,75
2024-02-08,76
2024-02-09,77
2024-02-10,76
2024-02-11,78
2024-02-12,76
2024-02-13,77
2024-02-14,77
2024-02-15,76
2024-02-16,77
2024-02-17,77
2024-02-18,78
2024-02-19,77
2024-02-20,79
2024-02-21,79
2024-02-22,79
2024-02-23,79
2024-02-24,79
2024-02-25,82
2024-02-26,81
2024-02-27,81
2024-02-28,82
2024-02-29,82
2024-03-01,79
2024-03-02,78
2024-03-03,77
2024-03-04,78
2024-03-05,78
2024-03-06,78
2024-03-07,78
2024-03-08,76
2024-03-09,81
2024-03-10,80
2024-03-11,80
2024-03-12,80
2024-03-13,80
2024-03-14,80
2024-03-15,79
2024-03-16,79
2024-03-17,79
2024-03-18,80
2024-03-19,82
2024-03-20,81
2024-03-21,81
2024-03-22,80
2024-03-23,80
2024-03-24,79
2024-03-25,77
2024-03-26,75
2024-03-27,74
2024-03-28,76
2024-03-29,73
2024-03-30,71
2024-03-31,73
2024-04-01,74
2024-04-02,74
2024-04-03,73
2024-04-04,73
2024-04-05,72
2024-04-06,76
2024-04-07,62
2024-04-08,64
2024-04-09,64
2024-04-10,63
2024-04-11,60
2024-04-12,46
2024-04-13,39
2024-04-14,39
2024-04-15,40
2024-04-16,52
2024-04-17,58
2024-04-18,58
2024-04-19,56
2024-04-20,56
2024-04-21,56
2024-04-22,56
2024-04-23,60
2024-04-24,59
2024-04-25,59
2024-04-26,58
2024-04-27,58
2024-04-28,62
2024-04-29,61
2024-04-30,57
2024-05-01,57
2024-05-02,56
2024-05-03,60
2024-05-04,57
2024-05-05,58
2024-05-06,58
2024-05-07,57
2024-05-08,57
2024-05-09,56
2024-05-10,56
2024-05-11,57
2024-05-12,59
2024-05-13,60
2024-05-14,59
2024-05-15,59
2024-05-16,60
2024-05-17,46
2024-05-18,45
2024-05-19,45
2024-05-20,52
2024-05-21,40
2024-05-22,35
2024-05-23,36
2024-05-24,44
2024-05-25,54
2024-05-26,59
2024-05-27,57
2024-05-28,50
2024-05-29,48
2024-05-30,45
2024-05-31,44
2024-06-01,40
2024-06-02,53
2024-06-03,54
2024-06-04,51
2024-06-05,54
2024-06-06,53
2024-06-07,54
2024-06-08,54
2024-06-09,57
2024-06-10,57
2024-06-11,57
2024-06-12,54
2024-06-13,54
2024-06-14,54
2024-06-15,54
2024-06-16,57
2024-06-17,57
2024-06-18,54
2024-06-19,54
2024-06-20,54
2024-06-21,54
2024-06-22,53
2024-06-23,47
2024-06-24,44
2024-06-25,43
2024-06-26,44
2024-06-27,44
2024-06-28,44
2024-06-29,45
2024-06-30,48
2024-07-01,70
2024-07-02,70
2024-07-03,69
2024-07-04,69
2024-07-05,68
2024-07-06,71
2024-07-07,68
2024-07-08,68
2024-07-09,68
2024-07-10,69
2024-07-11,69
2024-07-12,70
2024-07-13,70
2024-07-14,70
2024-07-15,70
2024-07-16,70
2024-07-17,70
2024-07-18,69
2024-07-19,69
2024-07-20,67
2024-07-21,69
2024-07-22,69
2024-07-23,70
2024-07-24,70
2024-07-25,73
2024-07-26,73
2024-07-27,73
2024-07-28,73
2024-07-29,71
2024-07-30,70
2024-07-31,70
2024-08-01,70
2024-08-02,70
2024-08-03,70
2024-08-04,70
2024-08-05,73
2024-08-06,73
2024-08-07,73
2024-08-08,73
2024-08-09,73
2024-08-10,70
2024-08-11,70
2024-08-12,73
2024-08-13,73
2024-08-14,73
2024-08-15,73
2024-08-16,73
2024-08-17,73
2024-08-18,73
2024-08-19,73
2024-08-20,73
2024-08-21,73
2024-08-22,73
2024-08-23,73
2024-08-24,73
2024-08-25,73
2024-08-26,73
2024-08-27,73
2024-08-28,73
2024-08-29,72
2024-08-30,72
2024-08-31,68
2024-09-01,68
2024-09-02,70
2024-09-03,70
2024-09-04,70
2024-09-05,70
2024-09-06,70
2024-09-07,70
2024-09-08,67
2024-09-09,67
2024-09-10,67
2024-09-11,67
2024-09-12,67
2024-09-13,67
2024-09-14,69
2024-09-15,66
2024-09-16,66
