date,available
2023-12-27,8
2023-12-28,20
2023-12-29,21
2023-12-30,22
2023-12-31,25
2024-01-01,28
2024-01-02,29
2024-01-03,30
2024-01-04,32
2024-01-05,34
2024-01-06,34
2024-01-07,34
2024-01-08,34
2024-01-09,30
2024-01-10,31
2024-01-11,33
2024-01-12,33
2024-01-13,34
2024-01-14,34
2024-01-15,33
2024-01-16,33
2024-01-17,34
2024-01-18,33
2024-01-19,30
2024-01-20,32
2024-01-21,35
2024-01-22,35
2024-01-23,32
2024-01-24,31
2024-01-25,31
2024-01-26,31
2024-01-27,30
2024-01-28,35
2024-01-29,37
2024-01-30,36
2024-01-31,39
2024-02-01,32
2024-02-02,33
2024-02-03,34
2024-02-04,32
2024-02-05,32
2024-02-06,31
2024-02-07,31
2024-02-08,30
2024-02-09,28
2024-02-10,27
2024-02-11,28
2024-02-12,31
2024-02-13,30
2024-02-14,31
2024-02-15,30
2024-02-16,28
2024-02-17,29
2024-02-18,30
2024-02-19,32
2024-02-20,31
2024-02-21,31
2024-02-22,31
2024-02-23,30
2024-02-24,31
2024-02-25,31
2024-02-26,32
2024-02-27,31
2024-02-28,33
2024-02-29,34
2024-03-01,33
2024-03-02,32
2024-03-03,32
2024-03-04,33
2024-03-05,32
2024-03-06,33
2024-03-07,33
2024-03-08,31
2024-03-09,32
2024-03-10,33
2024-03-11,34
2024-03-12,34
2024-03-13,33
2024-03-14,33
2024-03-15,31
2024-03-16,31
2024-03-17,31
2024-03-18,33
2024-03-19,33
2024-03-20,33
2024-03-21,33
2024-03-22,31
2024-03-23,31
2024-03-24,30
2024-03-25,30
2024-03-26,24
2024-03-27,25
2024-03-28,25
2024-03-29,24
2024-03-30,24
2024-03-31,25
2024-04-01,25
2024-04-02,24
2024-04-03,24
2024-04-04,25
2024-04-05,24
2024-04-06,24
2024-04-07,23
2024-04-08,24
2024-04-09,23
2024-04-10,22
2024-04-11,23
2024-04-12,17
2024-04-13,14
2024-04-14,14
2024-04-15,16
2024-04-16,22
2024-04-17,22
2024-04-18,24
2024-04-19,23
2024-04-20,22
2024-04-21,22
2024-04-22,23
2024-04-23,22
2024-04-24,23
2024-04-25,24
2024-04-26,24
2024-04-27,25
2024-04-28,25
2024-04-29,25
2024-04-30,27
2024-05-01,25
2024-05-02,25
2024-05-03,25
2024-05-04,25
2024-05-05,25
2024-05-06,27
2024-05-07,26
2024-05-08,26
2024-05-09,25
2024-05-10,26
2024-05-11,26
2024-05-12,26
2024-05-13,26
2024-05-14,26
2024-05-15,23
2024-05-16,20
2024-05-17,26
2024-05-18,27
2024-05-19,31
2024-05-20,32
2024-05-21,23
2024-05-22,19
2024-05-23,20
2024-05-24,23
2024-05-25,31
2024-05-26,35
2024-05-27,33
2024-05-28,29
2024-05-29,26
2024-05-30,25
2024-05-31,25
2024-06-01,26
2024-06-02,35
2024-06-03,38
2024-06-04,38
2024-06-05,38
2024-06-06,37
2024-06-07,37
2024-06-08,37
2024-06-09,37
2024-06-10,38
2024-06-11,38
2024-06-12,38
2024-06-13,38
2024-06-14,38
2024-06-15,38
2024-06-16,38
2024-06-17,39
2024-06-18,39
2024-06-19,39
2024-06-20,39
2024-06-21,39
2024-06-22,39
2024-06-23,39
2024-06-24,38
2024-06-25,38
2024-06-26,38
2024-06-27,37
2024-06-28,37
2024-06-29,37
2024-06-30,39
2024-07-01,39
2024-07-02,39
2024-07-03,39
2024-07-04,39
2024-07-05,39
2024-07-06,39
2024-07-07,39
2024-07-08,39
2024-07-09,39
2024-07-10,39
2024-07-11,39
2024-07-12,39
2024-07-13,39
2024-07-14,38
2024-07-15,38
2024-07-16,38
2024-07-17,38
2024-07-18,38
2024-07-19,38
2024-07-20,38
2024-07-21,38
2024-07-22,38
2024-07-23,38
2024-07-24,37
2024-07-25,37
2024-07-26,37
2024-07-27,37
2024-07-28,38
2024-07-29,38
2024-07-30,38
2024-07-31,40
2024-08-01,41
2024-08-02,41
2024-08-03,41
2024-08-04,41
2024-08-05,41
2024-08-06,41
2024-08-07,41
2024-08-08,41
2024-08-09,41
2024-08-10,41
2024-08-11,41
2024-08-12,41
2024-08-13,41
2024-08-14,41
2024-08-15,41
2024-08-16,42
2024-08-17,41
2024-08-18,41
2024-08-19,41
2024-08-20,41
2024-08-21,42
2024-08-22,42
2024-08-23,42
2024-08-24,42
2024-08-25,42
2024-08-26,42
2024-08-27,42
2024-08-28,40
2024-08-29,40
2024-08-30,40
2024-08-31,39
2024-09-01,38
2024-09-02,38
2024-09-03,38
2024-09-04,38
2024-09-05,39
2024-09-06,39
2024-09-07,39
2024-09-08,39
2024-09-09,39
2024-09-10,39
2024-09-11,39
2024-09-12,39
2024-09-13,39
2024-09-14,39
2024-09-15,38
2024-09-16,38
2024-09-17,38
2024-09-18,38
2024-09-19,38
2024-09-20,38
2024-09-21,36
2024-09-22,28
2024-09-23,28
2024-09-24,28
2024-09-25,28
2024-09-26,28
2024-09-27,28
2024-09-28,28
2024-09-29,28
2024-09-30,28
2024-10-01,28
2024-10-02,28
2024-10-03,28
2024-10-04,28
2024-10-05,28
2024-10-06,28
2024-10-07,28
2024-10-08,28
2024-10-09,28
2024-10-10,28
2024-10-11,28
2024-10-12,28
2024-10-13,28
2024-10-14,28
2024-10-15,28
2024-10-16,27
2024-10-17,26
2024-10-18,26
2024-10-19,26
2024-10-20,26
2024-10-21,27
2024-10-22,27
2024-10-23,27
2024-10-24,27
2024-10-25,27
2024-10-26,27
2024-10-27,28
2024-10-28,28
2024-10-29,28
2024-10-30,28
2024-10-31,28
2024-11-01,28
2024-11-02,28
2024-11-03,28
2024-11-04,28
2024-11-05,28
2024-11-06,28
2024-11-07,28
2024-11-08,28
2024-11-09,28
2024-11-10,28
2024-11-11,28
2024-11-12,28
2024-11-13,28
2024-11-14,28
2024-11-15,28
2024-11-16,28
2024-11-17,28
2024-11-18,28
2024-11-19,28
2024-11-20,28
2024-11-21,28
2024-11-22,28
2024-11-23,28
2024-11-24,28
2024-11-25,28
2024-11-26,28
2024-11-27,28
2024-11-28,28
2024-11-29,28
2024-11-30,28
2024-12-01,28
2024-12-02,28
2024-12-03,28
2024-12-04,28
2024-12-05,28
2024-12-06,28
2024-12-07,28
2024-12-08,28
2024-12-09,28
2024-12-10,28
2024-12-11,28
2024-12-12,28
2024-12-13,28
2024-12-14,28
2024-12-15,28
2024-12-16,28
2024-12-17,28
2024-12-18,28
2024-12-19,28
2024-12-20,28
2024-12-21,28
2024-12-22,28
2024-12-23,28
2024-12-24,28
2024-12-25,26
