date,available
2023-12-27,37
2023-12-28,42
2023-12-29,47
2023-12-30,48
2023-12-31,50
2024-01-01,56
2024-01-02,55
2024-01-03,59
2024-01-04,58
2024-01-05,56
2024-01-06,59
2024-01-07,59
2024-01-08,56
2024-01-09,56
2024-01-10,56
2024-01-11,50
2024-01-12,51
2024-01-13,52
2024-01-14,53
2024-01-15,55
2024-01-16,57
2024-01-17,56
2024-01-18,59
2024-01-19,61
2024-01-20,61
2024-01-21,61
2024-01-22,60
2024-01-23,61
2024-01-24,60
2024-01-25,59
2024-01-26,60
2024-01-27,64
2024-01-28,66
2024-01-29,66
2024-01-30,66
2024-01-31,63
2024-02-01,61
2024-02-02,64
2024-02-03,67
2024-02-04,67
2024-02-05,71
2024-02-06,69
2024-02-07,69
2024-02-08,70
2024-02-09,68
2024-02-10,67
2024-02-11,69
2024-02-12,70
2024-02-13,71
2024-02-14,70
2024-02-15,69
2024-02-16,71
2024-02-17,74
2024-02-18,76
2024-02-19,72
2024-02-20,73
2024-02-21,72
2024-02-22,71
2024-02-23,74
2024-02-24,75
2024-02-25,82
2024-02-26,80
2024-02-27,79
2024-02-28,77
2024-02-29,78
2024-03-01,75
2024-03-02,77
2024-03-03,75
2024-03-04,73
2024-03-05,74
2024-03-06,73
2024-03-07,74
2024-03-08,76
2024-03-09,77
2024-03-10,76
2024-03-11,78
2024-03-12,78
2024-03-13,77
2024-03-14,77
2024-03-15,75
2024-03-16,76
2024-03-17,77
2024-03-18,78
2024-03-19,77
2024-03-20,76
2024-03-21,78
2024-03-22,77
2024-03-23,80
2024-03-24,82
2024-03-25,82
2024-03-26,76
2024-03-27,78
2024-03-28,79
2024-03-29,78
2024-03-30,78
2024-03-31,78
2024-04-01,75
2024-04-02,77
2024-04-03,75
2024-04-04,76
2024-04-05,78
2024-04-06,78
2024-04-07,78
2024-04-08,79
2024-04-09,78
2024-04-10,75
2024-04-11,68
2024-04-12,55
2024-04-13,50
2024-04-14,50
2024-04-15,52
2024-04-16,72
2024-04-17,77
2024-04-18,80
2024-04-19,80
2024-04-20,79
2024-04-21,79
2024-04-22,78
2024-04-23,79
2024-04-24,77
2024-04-25,77
2024-04-26,73
2024-04-27,74
2024-04-28,78
2024-04-29,80
2024-04-30,77
2024-05-01,74
2024-05-02,73
2024-05-03,78
2024-05-04,78
2024-05-05,78
2024-05-06,80
2024-05-07,80
2024-05-08,81
2024-05-09,78
2024-05-10,78
2024-05-11,78
2024-05-12,79
2024-05-13,79
2024-05-14,76
2024-05-15,74
2024-05-16,73
2024-05-17,68
2024-05-18,66
2024-05-19,72
2024-05-20,66
2024-05-21,61
2024-05-22,60
2024-05-23,59
2024-05-24,66
2024-05-25,80
2024-05-26,85
2024-05-27,86
2024-05-28,80
