date,available
2023-12-27,20
2023-12-28,25
2023-12-29,28
2023-12-30,30
2023-12-31,32
2024-01-01,38
2024-01-02,38
2024-01-03,34
2024-01-04,33
2024-01-05,34
2024-01-06,36
2024-01-07,35
2024-01-08,36
2024-01-09,36
2024-01-10,36
2024-01-11,33
2024-01-12,33
2024-01-13,34
2024-01-14,35
2024-01-15,38
2024-01-16,39
2024-01-17,42
2024-01-18,41
2024-01-19,42
2024-01-20,42
2024-01-21,45
2024-01-22,45
2024-01-23,44
2024-01-24,42
2024-01-25,38
2024-01-26,37
2024-01-27,38
2024-01-28,43
2024-01-29,44
2024-01-30,43
2024-01-31,45
2024-02-01,44
2024-02-02,45
2024-02-03,46
2024-02-04,44
2024-02-05,43
2024-02-06,44
2024-02-07,45
2024-02-08,42
2024-02-09,42
2024-02-10,40
2024-02-11,41
2024-02-12,41
2024-02-13,42
2024-02-14,41
2024-02-15,40
2024-02-16,39
2024-02-17,43
2024-02-18,47
2024-02-19,48
2024-02-20,48
2024-02-21,48
2024-02-22,47
2024-02-23,46
2024-02-24,47
2024-02-25,49
2024-02-26,49
2024-02-27,49
2024-02-28,49
2024-02-29,49
2024-03-01,49
2024-03-02,49
2024-03-03,50
2024-03-04,49
2024-03-05,48
2024-03-06,48
2024-03-07,47
2024-03-08,46
2024-03-09,46
2024-03-10,48
2024-03-11,49
2024-03-12,49
2024-03-13,48
2024-03-14,47
2024-03-15,43
2024-03-16,44
2024-03-17,47
2024-03-18,49
2024-03-19,51
2024-03-20,49
2024-03-21,48
2024-03-22,49
2024-03-23,49
2024-03-24,50
2024-03-25,49
2024-03-26,49
2024-03-27,50
2024-03-28,50
2024-03-29,48
2024-03-30,47
2024-03-31,47
2024-04-01,45
2024-04-02,43
2024-04-03,42
2024-04-04,44
2024-04-05,41
2024-04-06,42
2024-04-07,44
2024-04-08,44
2024-04-09,44
2024-04-10,48
2024-04-11,47
2024-04-12,41
2024-04-13,35
2024-04-14,33
2024-04-15,34
2024-04-16,43
2024-04-17,47
2024-04-18,47
2024-04-19,48
2024-04-20,48
2024-04-21,48
2024-04-22,47
2024-04-23,47
2024-04-24,47
2024-04-25,47
2024-04-26,47
2024-04-27,45
2024-04-28,45
2024-04-29,44
2024-04-30,44
2024-05-01,42
2024-05-02,42
2024-05-03,42
2024-05-04,42
2024-05-05,42
2024-05-06,46
2024-05-07,46
2024-05-08,46
2024-05-09,46
2024-05-10,45
2024-05-11,45
2024-05-12,46
2024-05-13,46
2024-05-14,44
2024-05-15,44
2024-05-16,41
2024-05-17,41
2024-05-18,41
2024-05-19,42
2024-05-20,40
2024-05-21,38
2024-05-22,41
2024-05-23,41
2024-05-24,46
2024-05-25,46
2024-05-26,48
2024-05-27,47
2024-05-28,46
2024-05-29,44
2024-05-30,44
2024-05-31,44
2024-06-01,49
2024-06-02,51
2024-06-03,53
2024-06-04,53
2024-06-05,53
2024-06-06,52
2024-06-07,51
2024-06-08,52
2024-06-09,52
2024-06-10,52
2024-06-11,53
2024-06-12,53
2024-06-13,53
2024-06-14,53
2024-06-15,53
2024-06-16,54
2024-06-17,53
2024-06-18,52
2024-06-19,52
2024-06-20,52
2024-06-21,53
2024-06-22,53
2024-06-23,53
2024-06-24,53
2024-06-25,52
2024-06-26,52
2024-06-27,53
2024-06-28,53
2024-06-29,53
2024-06-30,53
2024-07-01,52
2024-07-02,52
2024-07-03,52
2024-07-04,53
2024-07-05,53
2024-07-06,52
2024-07-07,51
2024-07-08,51
2024-07-09,50
2024-07-10,51
2024-07-11,52
2024-07-12,52
2024-07-13,51
2024-07-14,52
2024-07-15,52
2024-07-16,52
2024-07-17,53
2024-07-18,50
2024-07-19,50
2024-07-20,50
2024-07-21,52
2024-07-22,52
2024-07-23,52
2024-07-24,53
2024-07-25,54
2024-07-26,54
2024-07-27,54
2024-07-28,54
2024-07-29,54
2024-07-30,54
2024-07-31,54
2024-08-01,53
2024-08-02,52
2024-08-03,52
2024-08-04,52
2024-08-05,53
2024-08-06,53
2024-08-07,51
2024-08-08,51
2024-08-09,52
2024-08-10,52
2024-08-11,53
2024-08-12,53
2024-08-13,53
2024-08-14,53
2024-08-15,53
2024-08-16,53
2024-08-17,53
2024-08-18,52
2024-08-19,52
2024-08-20,52
2024-08-21,52
2024-08-22,52
2024-08-23,53
2024-08-24,53
2024-08-25,53
2024-08-26,53
2024-08-27,53
2024-08-28,53
2024-08-29,54
2024-08-30,54
2024-08-31,46
2024-09-01,45
2024-09-02,45
2024-09-03,45
2024-09-04,45
2024-09-05,45
2024-09-06,45
2024-09-07,45
2024-09-08,45
2024-09-09,45
2024-09-10,45
2024-09-11,45
2024-09-12,45
2024-09-13,45
2024-09-14,45
2024-09-15,45
2024-09-16,45
2024-09-17,45
2024-09-18,45
2024-09-19,43
2024-09-20,43
2024-09-21,42
2024-09-22,40
2024-09-23,40
2024-09-24,40
