date,available
2023-12-16,53
2023-12-17,91
2023-12-18,101
2023-12-19,107
2023-12-20,105
2023-12-21,99
2023-12-22,90
2023-12-23,84
2023-12-24,79
2023-12-25,82
2023-12-26,89
2023-12-27,98
2023-12-28,107
2023-12-29,100
2023-12-30,103
2023-12-31,112
2024-01-01,117
2024-01-02,131
2024-01-03,135
2024-01-04,134
2024-01-05,139
2024-01-06,137
2024-01-07,141
2024-01-08,144
2024-01-09,143
2024-01-10,141
2024-01-11,132
2024-01-12,127
2024-01-13,125
2024-01-14,131
2024-01-15,138
2024-01-16,141
2024-01-17,140
2024-01-18,138
2024-01-19,135
2024-01-20,139
2024-01-21,145
2024-01-22,144
2024-01-23,145
2024-01-24,143
2024-01-25,141
2024-01-26,139
2024-01-27,139
2024-01-28,144
2024-01-29,147
2024-01-30,147
2024-01-31,148
2024-02-01,145
2024-02-02,144
2024-02-03,146
2024-02-04,149
2024-02-05,150
2024-02-06,150
2024-02-07,149
2024-02-08,148
2024-02-09,148
2024-02-10,148
2024-02-11,151
2024-02-12,153
2024-02-13,152
2024-02-14,152
2024-02-15,152
2024-02-16,145
2024-02-17,146
2024-02-18,147
2024-02-19,152
2024-02-20,152
2024-02-21,150
2024-02-22,149
2024-02-23,148
2024-02-24,148
2024-02-25,150
2024-02-26,150
2024-02-27,151
2024-02-28,154
2024-02-29,148
2024-03-01,134
2024-03-02,134
2024-03-03,145
2024-03-04,152
2024-03-05,155
2024-03-06,153
2024-03-07,149
2024-03-08,147
2024-03-09,143
2024-03-10,147
2024-03-11,150
2024-03-12,149
2024-03-13,150
2024-03-14,149
2024-03-15,122
2024-03-16,124
2024-03-17,124
2024-03-18,125
2024-03-19,124
2024-03-20,124
2024-03-21,123
2024-03-22,117
2024-03-23,116
2024-03-24,119
2024-03-25,122
2024-03-26,124
2024-03-27,126
2024-03-28,125
2024-03-29,122
2024-03-30,123
2024-03-31,128
2024-04-01,128
2024-04-02,127
2024-04-03,123
2024-04-04,107
2024-04-05,97
2024-04-06,84
2024-04-07,84
2024-04-08,87
2024-04-09,108
2024-04-10,120
2024-04-11,122
2024-04-12,124
2024-04-13,123
2024-04-14,127
2024-04-15,129
2024-04-16,132
2024-04-17,131
2024-04-18,129
2024-04-19,127
2024-04-20,128
2024-04-21,133
2024-04-22,133
2024-04-23,134
2024-04-24,131
2024-04-25,128
2024-04-26,126
2024-04-27,126
2024-04-28,127
2024-04-29,131
2024-04-30,132
2024-05-01,129
2024-05-02,127
2024-05-03,127
2024-05-04,127
2024-05-05,129
2024-05-06,129
2024-05-07,129
2024-05-08,129
2024-05-09,129
2024-05-10,127
2024-05-11,127
2024-05-12,129
2024-05-13,130
2024-05-14,130
2024-05-15,129
2024-05-16,128
2024-05-17,128
2024-05-18,129
2024-05-19,132
2024-05-20,132
2024-05-21,132
2024-05-22,132
2024-05-23,132
2024-05-24,129
2024-05-25,130
2024-05-26,130
2024-05-27,132
2024-05-28,132
2024-05-29,132
2024-05-30,131
2024-05-31,130
2024-06-01,134
2024-06-02,132
2024-06-03,135
2024-06-04,135
2024-06-05,134
2024-06-06,133
2024-06-07,133
2024-06-08,133
2024-06-09,134
2024-06-10,136
2024-06-11,136
2024-06-12,136
2024-06-13,104
2024-06-14,102
2024-06-15,102
2024-06-16,103
2024-06-17,103
2024-06-18,103
2024-06-19,103
2024-06-20,101
2024-06-21,101
2024-06-22,101
2024-06-23,103
2024-06-24,103
2024-06-25,103
2024-06-26,102
2024-06-27,101
2024-06-28,101
2024-06-29,101
2024-06-30,103
2024-07-01,104
2024-07-02,105
2024-07-03,104
2024-07-04,104
2024-07-05,104
2024-07-06,104
2024-07-07,104
2024-07-08,104
2024-07-09,105
2024-07-10,105
2024-07-11,105
2024-07-12,105
2024-07-13,105
2024-07-14,105
2024-07-15,105
2024-07-16,105
2024-07-17,105
2024-07-18,105
2024-07-19,105
2024-07-20,105
2024-07-21,106
2024-07-22,105
2024-07-23,105
2024-07-24,105
2024-07-25,103
2024-07-26,102
2024-07-27,102
2024-07-28,104
2024-07-29,105
2024-07-30,105
2024-07-31,105
2024-08-01,103
2024-08-02,103
2024-08-03,103
2024-08-04,103
2024-08-05,103
2024-08-06,103
2024-08-07,103
2024-08-08,103
2024-08-09,103
2024-08-10,102
2024-08-11,102
2024-08-12,102
2024-08-13,102
2024-08-14,102
2024-08-15,102
2024-08-16,102
2024-08-17,102
2024-08-18,102
2024-08-19,102
2024-08-20,102
2024-08-21,101
2024-08-22,101
2024-08-23,101
2024-08-24,101
2024-08-25,101
2024-08-26,101
2024-08-27,101
2024-08-28,101
2024-08-29,101
2024-08-30,101
2024-08-31,101
2024-09-01,101
2024-09-02,101
2024-09-03,102
2024-09-04,102
2024-09-05,102
2024-09-06,103
2024-09-07,103
2024-09-08,103
2024-09-09,103
2024-09-10,103
2024-09-11,75
2024-09-12,74
2024-09-13,74
2024-09-14,74
2024-09-15,74
2024-09-16,74
2024-09-17,74
2024-09-18,74
2024-09-19,74
2024-09-20,74
2024-09-21,74
2024-09-22,74
2024-09-23,74
2024-09-24,74
2024-09-25,74
2024-09-26,74
2024-09-27,74
2024-09-28,74
2024-09-29,74
2024-09-30,74
2024-10-01,74
2024-10-02,74
2024-10-03,74
2024-10-04,74
2024-10-05,74
2024-10-06,74
2024-10-07,74
2024-10-08,74
2024-10-09,74
2024-10-10,74
2024-10-11,73
2024-10-12,73
2024-10-13,73
2024-10-14,74
2024-10-15,74
2024-10-16,71
2024-10-17,67
2024-10-18,65
2024-10-19,65
2024-10-20,68
2024-10-21,72
2024-10-22,74
2024-10-23,75
2024-10-24,75
2024-10-25,75
2024-10-26,75
2024-10-27,75
2024-10-28,75
2024-10-29,75
2024-10-30,75
2024-10-31,75
2024-11-01,74
2024-11-02,74
2024-11-03,74
2024-11-04,74
2024-11-05,74
2024-11-06,74
2024-11-07,73
2024-11-08,73
2024-11-09,73
2024-11-10,74
2024-11-11,74
2024-11-12,74
2024-11-13,72
2024-11-14,73
2024-11-15,72
2024-11-16,73
2024-11-17,73
2024-11-18,73
2024-11-19,73
2024-11-20,73
2024-11-21,73
2024-11-22,73
2024-11-23,73
2024-11-24,73
2024-11-25,73
2024-11-26,73
2024-11-27,73
2024-11-28,73
2024-11-29,73
2024-11-30,73
2024-12-01,73
2024-12-02,73
2024-12-03,73
2024-12-04,73
2024-12-05,72
2024-12-06,72
2024-12-07,73
2024-12-08,73
2024-12-09,73
2024-12-10,73
2024-12-11,73
2024-12-12,73
2024-12-13,73
2024-12-14,73
2024-12-15,8
